TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Egyéb	Audio	Szín
Lenovo ThinkPad EDGE E531 (N4I9XHV) Notebook	173900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 377 x 250mm x 26.6-29.6mm	2 év garancia	6 cella, 6 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	Win 7 Pro64 preload+Win 8 Prof64 RDVD/licence	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, OneLink Docking port, HDMI out	720p HD webkamera				
Dell Latitude E5530 (E5530_156180) Notebook	174900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -3120M 2,5 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,4 kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DVI, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Dell Vostro 5470 (V5470-4) Notebook	175900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA GeForce GT 740M / 2GB	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100/1000, Intel Dual Brand Wireless-N 7260 2x2 bgn	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera	Érintőképernyő			
Dell Latitude E5430 (E5430_153284) Notebook	176900 Ft	14,1'', 1600*900, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2 kg, 350 mm x 240mm x 29,90–32,5 mm	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Samsung ATIV Book 9 Lite NP915S3G-K01HU Notebook	176900 Ft	13,3", 1366x768, 16:9	AMD , A10-4600M 2.3GHz Quad-Core / 4MB Cache	4 GB, DDR3 1066MHz		128GB SSD, SSD	ATI / AMD Radeon Alaplapi integrált	1,4 kg, 324 x 224 x 16.9mm	2 év garancia	2 cella, 6 óra átlagos üzemidő, 3000 mAh		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	1 x USB 3.0 + 1 x USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, micro HDMI	720p HD webkamera	Érintőképernyő			
Lenovo Ideapad S510p (59-390206) Notebook	176900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	Nvidia GeForce GT 720M 2GB DDR3	2,6 kg, 380 x 259 x 24,9 mm	2 év garancia	4 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Dell Latitude E5430 (DE5430I-3230-4GH50D6BLFP-11) Notebook	176900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2 kg, 350 mm x 240mm x 29,90–32,5 mm	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Toshiba Satellite M50-A-110 Notebook	176900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	NVIDIA GeForce GT 740M / 2GB	2,2 kg, 377.5 x 249.5 x 21.3 mm	2 év garancia	3 cella, 7 óra átlagos üzemidő		Windows 8.1 64bit	10/100/1000, Intel 7260 2x2BGN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Latitude E5530 (E5530-35) Notebook	176900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -3120M /2.50 GHz/3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,4 kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DVI, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Samsung Ativ Book 5 NP540U4E-K01HU Notebook	178900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		24GB SSD + 500GB HDD, SATA-2	Intel GMA HD Graphics 4000	1,8 kg, 338 x 234 x 19.5mm	2 év garancia	4 cella, 7 óra átlagos üzemidő, 57WHr		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Latitude E5430 (E5430-31) Notebook	179900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -3120M /2.50 GHz/3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2 kg, 350 mm x 240mm x 29,90–32,5 mm	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Lenovo ThinkPad EDGE E431 (N4G7SHV) Notebook	180900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -3120M 2,5 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	NVIDIA GeForce GT 730M 2GB	2,1 kg, 344mm x 239mm x 25mm	2 év garancia	6 cella, 6 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	Win 7 Pro64 preload+Win 8 Prof64 RDVD/licence	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, OneLink Docking port, HDMI out	720p HD webkamera				
Fujitsu Lifebook AH562 Touch - MW8 (VFY:AH562M65A2HU) Notebook	180900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,4 kg, 323 x 234 x 18,0 mm	2 év garancia	6 cella, 5,5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	Windows 8 64 bit	10/100, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	HD Webkamera				
Dell Vostro 3460 (V3460_157916) Notebook	180900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Dell Vostro 3460 (V3460_157922) Notebook	180900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Dell Inspiron 5737 (DI5737A2-4500-8GH1TD6MS-11) Notebook	181900 Ft	17,3", 1600*900, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8870M 2GB GDDR5	2,4 kg, 412 x 270 x 28,34 x 35,6 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Latitude E5430 (L025430101E-HDP-11) Notebook	181900 Ft	14,1'', 1600*900, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2 kg, 350 mm x 240mm x 29,90–32,5 mm	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Dell Vostro 5470 (DV5470N2-4200-4GH50DT3RD-11) Notebook	181900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA GeForce GT 740M / 2GB	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100/1000, Intel Dual Brand Wireless-N 7260 2x2 bgn	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera	Érintőképernyő			
Dell Vostro 5470 (DV5470N2-4200-4GH50DT3SI-11) Notebook	181900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA GeForce GT 740M / 2GB	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100/1000, Intel Dual Brand Wireless-N 7260 2x2 bgn	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera	Érintőképernyő			
Dell Inspiron 7537 (7537_160289) Notebook	182900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	6 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA GeForce GT 750M / 2GB GDDR5	2,6 kg, 379.4mm*20.5mm(22.2mm)*254.8mm	3 év garancia	4 cella, 5800mAh		Linux	10/100/1000, Intel Dual Brand Wireless-N 7260 2x2 bgn	4 db USB3.0 port, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Háttérvilágításos billentyűzet			
Dell Vostro 3360 (V3360_157720) Notebook	183900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Windows 8 64 bit	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (V3360_157721) Notebook	183900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Windows 8 64 bit	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Inspiron 5537 (INSP5537-7) Notebook	184900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (INSP5537-4) Notebook	184900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (INSP5537-5) Notebook	184900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (INSP5537-6) Notebook	184900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (DI5537A2-4500-8GH1TDF6PK-11) Notebook	185900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (DI5537A2-4500-8GH1TDF6PR-11) Notebook	185900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5737 (5737_157768) Notebook	186900 Ft	17,3", 1600*900, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8870M 2GB GDDR5	2,4 kg, 412 x 270 x 28,34 x 35,6 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5737 (5737_157769) Notebook	186900 Ft	17,3", 1600*900, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8870M 2GB GDDR5	2,4 kg, 412 x 270 x 28,34 x 35,6 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 3560 (V3560-42) Notebook	186900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	AMD Radeon HD 7670 / 1GB	2,6 kg, 28,8(elöl)/32,5(hátul) x 375 x 259 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	Camera 1.0 MPix HD	Háttérvilágításos billentyűzet			
Dell Vostro 3360 (DV3360I-3537-4GH50D4BR-11) Notebook	187900 Ft	13,3", 1366x768, 16:9	Intel Core i7, -3537U / 2,00GHz max. 3,10GHz / 4MB cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (DV3360I-3537-4GH50D4SI-11) Notebook	187900 Ft	13,3", 1366x768, 16:9	Intel Core i7, -3537U / 2,00GHz max. 3,10GHz / 4MB cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Latitude E5430 (E5430_154935) Notebook	193900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2 kg, 350 mm x 240mm x 29,90–32,5 mm	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Lenovo Ideapad U430p (59-390455) Notebook	193900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	NVIDIA GeForce GT 730M 2GB	1,7 kg, 33.6*23.3*0.48-1.9cm	2 év garancia	4 cella, 10 óra átlagos üzemidő, 5200mAh		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Toshiba Satellite U840W-108 Notebook	194900 Ft	14,4 ", 1792x768 Cinema HD, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 368,7 x 200,0 x 20,33 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.3MPix				
Dell Inspiron 7537 (7537_160287) Notebook	194900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	6 GB, DDR3 1600MHz		750GB, SATA-2	INTEL GMA HD Graphics 4400	2,6 kg, 379.4mm*20.5mm(22.2mm)*254.8mm	3 év garancia	4 cella, 5800mAh		Linux	10/100/1000, Intel Dual Brand Wireless-N 7260 2x2 bgn	4 db USB3.0 port, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Háttérvilágításos billentyűzet			
Dell Vostro 3460 (V3460_157915) Notebook	194900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	6 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia GeForce GT 630M 1GB	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Dell Vostro 3460 (V3460_157964) Notebook	194900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	6 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia GeForce GT 630M 1GB	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Lenovo ThinkPad L530(N2S4YHV) Notebook	199900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 380mm x 247mm x 31.7–33.4mm	1 év garancia	6 cella, 7,5 óra átlagos üzemidő, 57WHr	DVD +/- RW, Super Multi	Win 7 Pro64 preload+Win 8 Prof64 RDVD/licence	10/100/1000, Intel WiFi Link 1000 BGN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Dokkolható, ExpressCard	HD-minőségű webkamera (1280x800)				
Toshiba Satellite P845T-10C Notebook	200900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	8 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia GeForce GT 630M 2GB	2 kg, 349 x 234 x 24,0 (elöl) / 29,0 (hátul) mm	2 év garancia	6 cella, 6,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 2.0 Mp				
Lenovo Ideapad G700 (59-390402) Notebook	201900 Ft	17,3", 1600*900, 16:9	Intel Core i7, -4702MQ, 2.2/3.2GHz / 6MB cache	8 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	Nvidia GeForce GT 720M 2GB DDR3	2,9 kg, 418 mm x 278 mm x 36,8 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Toshiba Satellite U920t-10K Notebook	205900 Ft	12,5", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		128GB SSD, SSD	Intel GMA HD Graphics 4000	1,5 kg, 326,5 x 213,0 x 19,9 mm	2 év garancia	3 cella, 4 óra átlagos üzemidő		Windows 8	802.11.b/g/n WLAN	2 db USB 3.0, Bluetooth 4.0 (low energy), SD kártyaolvasó, HDMI out	1.0 MP (elöl), 3.0MP (hátul) webkamera	Kapacitív érintőképernyő			
