TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
Lenovo IdeaPad G710 17,3" 59-390397	0 Ft	17,3 " (1600 x 900 pixel)	Nem	Intel Core i3 4000M (2,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	Intel HD Graphics	2,9 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	2 db		Fekete	Intel HM86 Express	1 db	8 GB							Dolby® Advanced Audio™ v2																																																																																																																																																																						
Lenovo IdeaPad G505 15,6" 59-402610	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-5000 (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8330M	2,6 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete		2 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
Lenovo IdeaPad G505 15,6" 59-390258	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-5000 (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8570M	2,6 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete		2 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
Lenovo IdeaPad Z510 Csokoládé barna 59-403839	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 3550M (2,3 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 740M	2,2 kg	Garancialeveles 3 év	4 cellás	DVD+-RW DL	Free DOS	Lenovo	Multimédia	Lenovo IdeaPad Z	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	1 db	380 x 265 x 25,6 mm	Barna	Intel HM86 Express	2 db								JBL Dolby Home Theater® v4																																																																																																																																																																						
Lenovo IdeaPad Z510 Csokoládé barna 59-403846	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200M (2,5 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 740M	2,2 kg	Garancialeveles 3 év	4 cellás	DVD+-RW DL	Free DOS	Lenovo	Multimédia	Lenovo IdeaPad Z	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	1 db	380 x 265 x 25,6 mm	Barna	Intel HM86 Express	2 db								JBL Dolby Home Theater® v4																																																																																																																																																																						
NBK DELL Vostro 5470 14.0" Ci5-4200U 8GB 128GB GT	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
Lenovo IdeaPad G500 15,6" 59-390067	0 Ft	15,6 " (1366x768 pixel)	Nem	2020M	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	Intel HD Graphics	2600 g	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	N	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Y	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete	Intel HM76 Express	2 db						N		Dolby Advanced Audio v2	2.4 GHz	Intel Pentium		2	2	5 GT/s	2 Mb		4 GB	DDR3-SDRAM	1000 GB	HDD	Y	MMC, RS-MMC	15.6 "	1366 x 768 pixelek	Y		Intel HD Graphics	N	DVD Super Multi DL	N	Y		Y	802.11b, 802.11g, 802.11n	Y		N	2	N	Y	N	Y	N	N	N	TouchPad	Y	FreeDOS	Notebook	Fekete	Clamshell		Lithium-Ion (Li-Ion)	6	Y	N	N	N	N	N		16 GB	1000 GB		Serial ATA	16:9	10, 100 Mbit/s		1	1	1	1	1	377 mm	250 mm		1			2				N	1.5 W			34 mm			5 ó												Y										Y													N			N			1333 MHz																																										
NBK Sony VAIO SVF1521G6E 15,5"	0 Ft									24 hónap saját				Sony																																																																																																																																																																																															
NBK Sony VAIO SVF1521C6E 15,5"	0 Ft									24 hónap saját				Sony																																																																																																																																																																																															
NBK Sony VAIO SVF1521A6E 15,5"	0 Ft									24 hónap saját				Sony																																																																																																																																																																																															
Lenovo IdeaPad G505s 15,6" 59-390295	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A8-4500M (1,9 GHz, 4 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8570M	2,4 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	1 db	380 x 260 x 25,8 mm	Fekete		2 db	8 GB							Dolby® Advanced Audio™ v2																																																																																																																																																																						
Acer Aspire E1-530-21178G1TMNKK fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	8 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	Intel HD Graphics	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	381,6 x 256 x 12,07-25,3 mm	Fekete	Intel HM70 Express	1 db																																																																																																																																																																														
Acer Aspire E1-522-65204G1TMNKK fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-5200M (2 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	AMD Radeon HD 8400M	2,4 kg	Garancialeveles 1 év	4 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	382 x 256 x 25,3 mm	Fekete		1 db																																																																																																																																																																														
Acer Aspire E1-522-45004G75MNKK fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-5000 (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	AMD Radeon HD 8330M	2,4 kg	Garancialeveles 1 év	4 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	382 x 256 x 25,3 mm	Fekete		1 db																																																																																																																																																																														
Lenovo IdeaPad G505 15,6" 59-402609	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-5000 (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8570M	2,6 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete		2 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
Apple MacBook Pro Retina 15" Ci7 2.3GHz 16GB 512GB	0 Ft	15,4 " (2880x1800 pixel)	Nem	Intel Core i7 (2,6 GHz, 6 MB cache)	16 GB DDR III 1600 MHz	Nem		NVIDIA GeForce GT 750M	2 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Üzleti	Apple MacBook Pro Retina	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	Nincs		356x247x18 mm	Ezüst		2 db	512 GB																																																																																																																																																																													
Apple MacBook Pro Retina 15" Ci7 2.0GHz 8GB 256GB	0 Ft	15,4 " (2880x1800 pixel)	Nem	Intel Core i7 (2,0 GHz, 6 MB cache)	8 GB DDR III 1600 MHz	Nem		Intel HD Graphics	2 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Üzleti	Apple MacBook Pro Retina	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	Nincs		356x247x18 mm	Ezüst		2 db	256 GB																																																																																																																																																																													
Lenovo IdeaPad G500 15,6" 59-402605	0 Ft	15,6 " (1366x768 pixel)	Nem	i3-3110M	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8570M	2600 g	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	N	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Y	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	1 db	377x250x34 mm	Fekete	Intel HM76 Express	2 db						Y		Dolby Advanced Audio v2	2.4 GHz	Intel Core i3		2	4	5 GT/s	3 Mb		4 GB	DDR3-SDRAM	1000 GB	HDD	Y		15.6 "	1366 x 768 pixelek	Y		Intel HD Graphics 4000	AMD Radeon HD 8570M	DVD Super Multi DL	N	Y		Y	802.11b, 802.11g, 802.11n	Y		N	2	N	Y	N	Y	N	N	N	TouchPad	Y	FreeDOS	Notebook	Fekete	Clamshell		Lithium-Ion (Li-Ion)	6	Y	Y	N	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	N		16 GB	1000 GB		Serial ATA	16:9	10, 100 Mbit/s		1	1	1	1	1	377 mm	250 mm		1	2048 Mb		2				N	1.5 W			34 mm			5 ó												Y										Y	Y												N			N																																													
Apple MacBook Pro Retina 13" Ci5 2.4GHz 4GB 128GB	0 Ft	13,3 " (2560 x 1600 pixel)	Nem	Intel Core i5 (2,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem		Intel HD Graphics	1,57 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Üzleti	Apple MacBook Pro Retina	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	Nincs		314x219x18 mm	Ezüst		2 db	128 GB																																																																																																																																																																													
Apple MacBook Pro Retina 13" Ci5 2.4GHz 8GB 256GB	0 Ft	13,3 " (2560 x 1600 pixel)	Nem	Intel Core i5 (2,4 GHz, 3 MB cache)	8 GB DDR III 1600 MHz	Nem		Intel HD Graphics	1,57 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Üzleti	Apple MacBook Pro Retina	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	Nincs		314x219x18 mm	Ezüst		2 db	256 GB																																																																																																																																																																													
Apple MacBook Pro Retina 13" Ci5 2.6GHz 8GB 512GB	0 Ft	13,3 " (2560 x 1600 pixel)	Nem	Intel Core i5 (2,6 GHz, 3 MB cache)	8 GB DDR III 1600 MHz	Nem		Intel HD Graphics	1,57 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Üzleti	Apple MacBook Pro Retina	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	Nincs		314x219x18 mm	Ezüst		2 db	512 GB																																																																																																																																																																													
NBK HP ProBook 455 15,6" A4-4300M 4GB 500GB HD875	0 Ft									Garancialeveles 3 év				HP																																																																																																																																																																																															
NBK ACER TravelMate TMP453-M-53234G50MTKK_LIN 15,	0 Ft									Garancialeveles 2 év				Acer																																																																																																																																																																																															
NBK HP ProBook 455 15,6" A4-4400M 4GB 750GB HD875	0 Ft									Garancialeveles 3 év				HP																																																																																																																																																																																															
NBK HP ProBook 455 15,6" A8-4500M 8GB 750GB HD875	0 Ft									Garancialeveles 3 év				HP																																																																																																																																																																																															
NBK HP 250 15,6" Celeron 1000M 4GB 500GB W8	0 Ft									Garancialeveles 2 év				HP																																																																																																																																																																																															
Toshiba Satellite L50-A-19N 15,6"	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i7 4700MQ (2,4 GHz, 6 MB cache)	8 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	NVIDIA GeForce GT 740M	2,4 kg	24 hónap saját		DVD+-RW DL	Windows 8.1	Toshiba	Általános	Toshiba Satellite	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	377,5 x 244 x 25,95 mm	Fekete		2 db																																																																																																																																																																														
Toshiba Satellite C55-A-1NK	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 710M	2,3 kg	24 hónap saját		DVD+-RW DL	Windows 8.1	Toshiba	Általános	Toshiba Satellite	Nem	Realtek ALC269Q-VB5-GR	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100 Mb/s	2 db	380x242x30,8/33,35 mm	Fekete		1 db																																																																																																																																																																														
Acer Aspire V5-122P-42154G50nss ezüst	0 Ft	11,6 " (1366x768 pixel)	Nem	AMD A Series A4-1250 (1 GHz, 1 MB cache)	4 GB DDR III	Nem	500 GB 5400 rpm	AMD Radeon HD 8210	1,38 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Acer	Netbook	Acer Aspire V	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		Nincs	1 db	289 x 206 x 20,8 mm	Ezüst		1 db																																																																																																																																																																														
Acer Aspire V3-772G-54208G1.12TMamm pezsgőszínű	0 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i5 4200M (2,5 GHz, 3 MB cache)	8 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	NVIDIA GeForce GTX 760M	3,2 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Multimédia	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	414,8 x 275 x 34,6 mm	Arany		2 db	120 GB							Dolby Home Theater v4																																																																																																																																																																						
Acer Aspire V3-772G-747a8G1.12TMamm 17,3" Arany	0 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i7 4702MQ (2,2 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GTX 760M	3,2 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Multimédia	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	414,8 x 275 x 34,6 mm	Arany		2 db	120 GB																																																																																																																																																																													
Acer Aspire V5-573G-34014G1TAKK 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 4010U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Fekete		1 db																																																																																																																																																																														
Acer Aspire V5-573-54204G1TAMM 15,6" Pezsgő	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	Intel HD Graphics 4400	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Arany		1 db																																																																																																																																																																														
Acer Aspire V5-573G-54204G1TAKK 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Fekete		1 db																																																																																																																																																																														
NBK DELL Vostro 2521 15.6" HD AG Ci3-3227U 4GB 50	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Dell Latitude E7440 14" HD AG Ci5-4200U 4GB 5	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Dell Latitude E7240 12,5" HD AG Ci5-4200U 4GB	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Lenovo IdeaPad A10 10,1" Android RockChip RK3	0 Ft									Garancialeveles 2 év				Lenovo																																																																																																																																																																																															
Acer Aspire V5-573G-54204G1Takk 15,6" FHD	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Fekete		1 db																																																																																																																																																																														
NBK Toshiba Satellite C55-A-1NU 15,6" i5-3230M 4G	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 710M	2,3 kg	24 hónap saját		DVD+-RW DL	Windows 8.1	Toshiba	Általános	Toshiba Satellite	Nem	Realtek ALC269Q-VB5-GR	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100 Mb/s	2 db	380x242x30,8/33,35 mm	Fekete		1 db																																																																																																																																																																														
NBK HP EliteBook 840 14" i5-4200U 4GB 500GB	0 Ft									Garancialeveles 3 év				HP																																																																																																																																																																																															
NBK Lenovo IdeaPad YOGA 11S (59-402958)	0 Ft									Garancialeveles 3 év				Lenovo																																																																																																																																																																																															
Acer Aspire E1-572G-74508G1TMnii	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 4500U (1,8 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	AMD Radeon R7 M265	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	381,6 x 256 x 12,07-25,3 mm	Szürke		1 db																																																																																																																																																																														
NBK ACER Aspire E1-772-34004G1TMnsk 17,3" i3-4000	0 Ft									Garancialeveles 2 év				Acer																																																																																																																																																																																															
NBK ACER Aspire E1-772G-34004G1TMnsk 17,3" i3-400	0 Ft									Garancialeveles 2 év				Acer																																																																																																																																																																																															
NBK ACER Aspire E1-772G-54204G1TMnsk 17,3" i5-420	0 Ft									Garancialeveles 2 év				Acer																																																																																																																																																																																															
Acer Aspire V5-572G-33214G1Takk fekete	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	1000 GB 5400 rpm	NVIDIA GeForce GT 720M	1,38 kg	Garancialeveles 2 év	3 cellás	Nincs	Linux	Acer	Netbook	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		Nincs	1 db	289 x 206 x 20,8 mm	Fekete		1 db																																																																																																																																																																														
Acer Aspire V5-573G-74504G1Takk 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 4500U (1,8 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Fekete		1 db																																																																																																																																																																														
NBK ACER Aspire E1-772G-54208G1TMnsk 17,3" i5-420	0 Ft									Garancialeveles 2 év				Acer																																																																																																																																																																																															
Acer Aspire V5-573G-34014G1Takk 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 4010U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Fekete		1 db																																																																																																																																																																														
