TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
Asus X550CC-XO028D Grey FD	90472 Ft	15.6ʺ HD LED matt	Pentium 2117U (1800)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Fujitsu LifeBook A512 DUK Black NoOs 3Y LH5	90472 Ft	15.6ʺ HD LED matt	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	3.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Asus X550CC-XO034D Grey FD	90472 Ft	15.6ʺ HD LED matt	Pentium 2117U (1800)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Dell Inspiron N5050 CE S Black 3113854 LX 2Y	90472 Ft	15.6ʺ HD (1366x768)	Celeron B710 (1600)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (L)		Új	fekete	3.0	3 db	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Inspiron			van	Első noteszgépem		van						
Fujitsu LifeBook A512 VUK SW NOS 3Y Clip19/R	90472 Ft	15.6ʺ HD LED matt	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	3.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Acer E1-530-21172G50Mnrr Red Win8.1 2Y	90472 Ft	15.6ʺ HD fényes	Pentium 2117U (1800)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	Windows 8.1 32Bit		Új	piros	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Lenovo IdeaPad S400 Silver 59-367004 FD	92047 Ft	14ʺ HD LED (1366x768)	Pentium 2117U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	4 cellás	nincs (F)		Új	ezüst	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				IdeaPad	IdeaPad S		van	Első noteszgépem		van						
Lenovo IdeaPad G575GC 59-324665 Black FD XT	92598 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	4096 (DDR3) MB	500 GB	AMD Radeon HD 6320	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete		2 db		magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van		van							
Asus X550CA-XX207D Blue FD	92835 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	4 cellás	nincs (F)		Új	kék	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Asus X550CA-XO160D White FD	92835 Ft	15.6ʺ HD LED matt	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	4 cellás	nincs (F)		Új	fehér	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Acer AS E1-571-33114G75Mnks Blk LX 2Y	94409 Ft	15.6ʺ HD LED fényes	Core i3 3110M (2400)	4096 (DDR3) MB	750 GB	Intel HD Graphics 4000	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)		Új	fekete		3 db	5 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
HP 250 H6Q59EA Win8	94409 Ft	15.6ʺ HD LED matt	Pentium 2020M (2400)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows 8.1 64Bit		Új	ezüstszürke	4.0	3 db	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van		Ajándék táska				
