TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
Dell Inspiron 15R 5537 160333 Notebook	184961 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i7-4500U (Dual-Core, 1.8 - 3.0 GHz)		15,6" Full HD LED matt TFT (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 31,3 mm	magyar teljes méretű, numerikus billentyűkkel		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ HD 8850M 2GB GDDR5	Beépített sztereó hangszórók	6cellás (65WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,32 kg	3 év					
Dell Inspiron 15R 5537 160335 Piros Notebook	184961 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i7-4500U (Dual-Core, 1.8 - 3.0 GHz)		15,6" Full HD LED matt TFT (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 31,3 mm	magyar teljes méretű, numerikus billentyűkkel		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ HD 8850M 2GB GDDR5	Beépített sztereó hangszórók	6cellás (65WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,32 kg	3 év					
Dell Inspiron 15R 5537 160336 Kék Notebook	184961 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i7-4500U (Dual-Core, 1.8 - 3.0 GHz)		15,6" Full HD LED matt TFT (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 31,3 mm	magyar teljes méretű, numerikus billentyűkkel		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ HD 8850M 2GB GDDR5	Beépített sztereó hangszórók	6cellás (65WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,32 kg	3 év					
Dell Inspiron 15R 5537 160334 Lila Notebook	184961 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i7-4500U (Dual-Core, 1.8 - 3.0 GHz)		15,6" Full HD LED matt TFT (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 31,3 mm	magyar teljes méretű, numerikus billentyűkkel		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ HD 8850M 2GB GDDR5	Beépített sztereó hangszórók	6cellás (65WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,32 kg	3 év					
Sony VAIO Fit E SVF1521V1EB Notebook	186535 Ft	15,5" (HD 1366x768, 16:9, fényes, LED)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		15,5" (HD 1366x768, 16:9, fényes, LED)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380,3 x 260,8 x 25,1 mm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 740M 1GB DDR3	Beépített sztereó hangszórók mélysugárzóval	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS, NFC		2,6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Dell Vostro 3360 157720 Notebook	186535 Ft	13,3" (HD 1366x768, 16:9, matt, LED)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		13,3" (HD 1366x768, 16:9, matt, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	332 x 232 x 18,6 - 19,2 mm	magyar, csepálló		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	4 cellás (49WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS		1,670 kg	3 év helyszíni garancia					
Dell Vostro 3360 157721 Bronz Notebook	186535 Ft	13,3" (HD 1366x768, 16:9, matt, LED)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		13,3" (HD 1366x768, 16:9, matt, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	332 x 232 x 18,6 - 19,2 mm	magyar, csepálló		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	4 cellás (49WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS		1,670 kg	3 év helyszíni garancia					
Dell Vostro 3360 157722 Piros Notebook	186535 Ft	13,3" (HD 1366x768, 16:9, matt, LED)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		13,3" (HD 1366x768, 16:9, matt, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	332 x 232 x 18,6 - 19,2 mm	magyar, csepálló		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	4 cellás (49WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS		1,670 kg	3 év helyszíni garancia					
Dell Inspiron 15 7537 157788 Notebook	188898 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	379.4 x 254.8 x 20.5 mm	magyar, LED világítással		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM87 Express Chipset	NVIDIA® GeForce® GT 750M 2GB GDDR5	Beépített sztereó hangszórók	4 cellás (58WHr) lithium-ion	Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)		2.6 kg	3 év					
Lenovo IdeaPad U430p 59-390460 Notebook	188898 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)	8GB DDR3 1600MHz	14" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	337 x 234 x 5 ~ 19,8 mm	magyar, LED világítással		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 730M 2GB DDR3	Dolby® Home Theater® v4 hangrendszer	4 cellás (52WHr) lithium-ion	USB 2.0 (2db), Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,71 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad Z710 59-390191 Notebook	188898 Ft	17,3" Full HD LED fényes TFT 16:9 (1920 x 1080)	Intel® Core™ i5-4200M (Dual-Core, 2.5 - 3.1 GHz)		17,3" Full HD LED fényes TFT 16:9 (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	414 x 270 x 32,5 mm	magyar, LED világítással		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 745M 2GB DDR3	Beépített JBL® sztereó hangszórók	4 cellás (41WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,9 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad Z510 59-390319 Fehér Notebook	188898 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200M (Dual-Core, 2.5 - 3.1 GHz)	16GB DDR3 1600MHz	15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	2.2 kg	magyar teljes méretű, numerikus billentyűkkel	1TB SATA 5400rpm + 8GB SSD	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 740M 2GB DDR3	Beépített JBL® sztereó hangszórók	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS			2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V3-772G-54208G1TMakk NX.M74EU.013 Notebook	188898 Ft	17,3" Full HD LED matt TFT 16:9 (1920 x 1080)	Intel® Core™ i5-4200M (Dual-Core, 2.5 - 3.1 GHz)		17,3" Full HD LED matt TFT 16:9 (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	414.8 x 275 x 31 / 34.65 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 750M 4GB DDR3	Dolby® Home Theater® v4 hangrendszer	6cellás (48WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, USB 3.0 (2db), Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		3.2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Dell Inspiron 15 7537 160287 Notebook	188898 Ft		Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)		15,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	379.4 x 254.8 x 20.5 mm	magyar, LED világítással		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM87 Express Chipset	Intel® HD Graphics 4400	Beépített sztereó hangszórók	4 cellás (58WHr) lithium-ion	Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)		2.6 kg	3 év	15,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
Dell Latitude E5430 154935 Notebook	190472 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		14" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	350 x 240 x 29,90 – 32,5 mm	magyar, LED világítással		SD/SDHC/SDXC kártyahely, beépített Full HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (60WHr) lithium-ion	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, USB 3.0 (2db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		2,04 kg	3 év helyszíni garancia					
Lenovo ThinkPad L530 N2S4YHV Notebook	192047 Ft	15,6" HD+ LED matt TFT 16:9 (1600 x 900)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD+ LED matt TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 247 x 31.7 - 33.4 mm	magyar		4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	ujjlenyomat olvasó, TPM chip		2.45 kg	1 év nemzetközi		VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, Docking port ( dokkolható ), Mini DisplayPort, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS			
HP ProBook 6570b H5E77EA Notebook	192835 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-3120M (Dual-Core, 2.5 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	33,8 x 23,13 x 3,4 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (55WHr) lithium-ion	ujjlenyomat olvasó, TPM chip		2,03 kg	3 év nemzetközi, belföldön el- és visszaszállítás		USB 2.0 (2db), VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), soros port, Express card kártyahely, Docking port ( dokkolható ), Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), kombinált eSATA/USB 2.0, DisplayPort, Bluetooth v4.0 + HS			
Lenovo IdeaPad U430p 59-390455 Piros Notebook	196772 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)	8GB DDR3 1600MHz	14" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	337 x 234 x 5 ~ 19,8 mm	magyar, LED világítással		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 730M 2GB DDR3	Dolby® Home Theater® v4 hangrendszer	4 cellás (52WHr) lithium-ion	USB 2.0 (2db), Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,71 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G710 59-390402 Notebook	196772 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i7-4702MQ (Quad-Core, 2.2 - 3.2 GHz)		17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	418 x 278 x 36.8 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,9 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Dell Vostro 3460 157915 Ezüst Notebook	198347 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		14" HD LED matt TFT 16:9 (1366 x 768)	8x DVD író (+/-RW Dual Layer)	Üzembehelyezés / installáció 6000Ft	345,5 x 244 x 28 x 30,1 mm	magyar, LED világítással		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 630M 1GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)		2,232 kg	3 év helyszíni garancia					
Dell Vostro 3460 157964 Bronz Notebook	198347 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		14" HD LED matt TFT 16:9 (1366 x 768)	8x DVD író (+/-RW Dual Layer)	Üzembehelyezés / installáció 6000Ft	345,5 x 244 x 28 x 30,1 mm	magyar, LED világítással		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 630M 1GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)		2,232 kg	3 év helyszíni garancia					
Dell Vostro 3460 157923 Piros Notebook	198347 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		14" HD LED matt TFT 16:9 (1366 x 768)	8x DVD író (+/-RW Dual Layer)	Üzembehelyezés / installáció 6000Ft	345,5 x 244 x 28 x 30,1 mm	magyar, LED világítással		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 630M 1GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)		2,232 kg	3 év helyszíni garancia					
Dell Latitude E5430 153324 Notebook	199134 Ft	14" WXGA HD+ LED matt 16:9 (1600 x 900)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		14" WXGA HD+ LED matt 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	350 x 240 x 29,90 – 32,5 mm	magyar, LED világítással		SD/SDHC/SDXC kártyahely, beépített Full HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (60WHr) lithium-ion	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, USB 3.0 (2db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		2,04 kg	3 év helyszíni garancia					
Toshiba Satellite P845t-10C Notebook	204646 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		14" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	349 x 234 x 24,0 / 29,0 mm	magyar		Univerzális kártyaolvasó, beépített Full HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 630M 2GB DDR3	Beépített Harman Kardon® sztereó hangszórók	6 cellás lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS		2,05 kg						
Lenovo ThinkPad Edge Plus E531 N4I29HV	204646 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" Full HD LED matt TFT (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 25 mm	magyar teljes méretű, numerikus billentyűkkel		4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 730M 2GB DDR3	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	ujjlenyomat olvasó		2.44 kg			VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS			
HP Split 13-m103sh x2 F4U00EA Notebook	204646 Ft		Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)	4GB DDR3L	13,3" (Multi-touch, 1366 x 768, 16:9, matt, UWVA)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	34 x 23 x 2,34 cm	magyar	64GB SSD + 500GB SATA 5400rpm HDD	beépített Full HD webkamera	Mobile Intel® HM86 Express Chipset	Intel® HD Graphics 4400	Beépített Beats Audio™ sztereó hangszórók	3 cellás 33Wh (Táblagép) + 32Wh (Alap) Li-polymer	USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3kg		13,3" (Multi-touch, 1366 x 768, 16:9, matt, UWVA)				
Lenovo IdeaPad Y510P 59-390561 Notebook 8GB	0 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-4200M (Dual-Core, 2.5 - 3.1 GHz)		15,6" Full HD LED matt TFT (1920 x 1080)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	38.6 x 25.8 x 1.5 - 3.5 cm	magyar, LED világítással		6 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 750M 2GB GDDR5 SLI	Beépített JBL® sztereó hangszórók	6 cellás lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.69 kg	3 év, belföldön el- és visszaszállítás					
Dell Inspiron 15 7537 160290 Notebook	204646 Ft		Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)		15,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	379.4 x 254.8 x 20.5 mm	magyar, LED világítással		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM87 Express Chipset	NVIDIA® GeForce® GT 750M 2GB GDDR5	Beépített sztereó hangszórók	4 cellás (58WHr) lithium-ion	Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)		2.6 kg	3 év	15,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
HP ProBook 6470b H5E56EA Notebook	206221 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		14" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	33,8 x 23,1 x 3,4 cm	magyar, csepálló		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (55WHr) lithium-ion	ujjlenyomat olvasó, TPM chip		2,03 kg	3 év nemzetközi, belföldön el- és visszaszállítás		VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), kombinált eSATA/USB 2.0, DisplayPort, Bluetooth v4.0 + HS			
Toshiba Tecra R950-1NP Notebook	207008 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	379,0 x 252,0 x 20,8 / 25,4 mm	magyar teljes méretű, numerikus billentyűkkel		5 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® QM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6 cellás lithium-ion	TPM chip, Intel Anti-Theft védelem (előfizetés szükséges)		2,49 kg	3 év nemzetközi, belföldön el- és visszaszállítás		VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), Docking port ( dokkolható ), Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), kombinált eSATA/USB 2.0, DisplayPort, Bluetooth v4.0 + HS, WiDi támogatás			
Dell Latitude E5530 153326 Notebook	208583 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" Full HD LED matt TFT (1920 x 1080)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	388 x 251 x 30,20 – 33,20 mm	magyar, LED világítással		SD/SDHC/SDXC kártyahely, beépített Full HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (60WHr) lithium-ion	ujjlenyomat olvasó, TPM chip		2,38 kg	3 év helyszíni garancia		VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, USB 3.0 (2db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS			
Toshiba Satellite R850-17C Ezüst 3G Notebook	210158 Ft	15,6" HD+ LED matt TFT 16:9 (1600 x 900)	Intel® Core™ i5-2520M (Dual-Core, 2.5 - 3.2GHz)		15,6" HD+ LED matt TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380,0 x 242,0 x 33,52 mm	magyar teljes méretű, numerikus billentyűkkel		beépített 0,3Mpixel webkamera, Univerzális kártyaolvasó	Mobile Intel® HM65 Express Chipset	AMD Radeon™ HD 6450M 1GB DDR3 VRAM	Beépített sztereó hangszórók	6 cellás lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), Docking port ( dokkolható ), beépített 3G mobilinternet modem, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), DisplayPort, Bluetooth v3.0 + HS		2,3 kg						
