TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Háttértár HDD meghajtó méret	Háttértár Tipus	Háttértár Jellemzők	Videókártya Jellemzők	Egyéb technikai paraméretek Billentyűzet	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	Fizikai paraméterek Egyéb leírás	Optikai meghajtó Jellemzők	Operációs rendszer Verzió	Operációs rendszer Nyelv	Videókártya Dedikált memória	Fizikai paraméterek Ajándék kiegészítők	Háttértár SSD / Flash meghajtó méret	OS Jell.
Dell Inspiron 7737	3.9292101769894E+38 Ft	17,3 "	1920x1080 Full HD 1080	Fényes, Érintőképernyő, LED	Truelife Touch	Intel®	Core i7	4500U 1.8 GHz - 3,0 GHz	4M Cache	16 GB	DDR3 1600 MHz	DDR3L (8GBx2) max. 16GB				nVidia	GeForce GT 750M 2GB	Dedikált, saját memóriával		3.29 kg	3 év (1 év az akkura és töltőre)	Szerviz, Világ	4-cellás Lithium Ion (58WHr)7 h 41 min (Mobile Mark 12)	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Ezüst hátlap	Igen	1000 GB	HDD	5400RPM SATA		Magyar, Háttérvilágításos, Numerikus billentyűzet	háttérvilágítással, cseppálló	Multi-touch Touchpad	headphone/ microphone jack	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth	Bluetooth 4.0(4) USB 3.0 (1 PowerShare)HDMI™ v1.4a	kártyaolvasó: SD, SDHC, SDXC, MS, MS Pro, MSXC, MMC	HD (720p) webkamera digitális mikrofonnal	WLAN	Intel Dual Band Wireless-N 7260 2x2 AGNGigabit Ethernet	Külön vásárolható	Ubuntu Linux 12.04 SP1	Szélesség: 16.2” (412.4mm) Magasság: 1.0” (25.4mm)Mélység: 10.6” (269.4mm)		tálcás DVD+/-RW	64 bit	Magyar, Angol, Választható	2048 MB			(MUI DVD)	
Sony VAIO® Pro SVP1321S1E Ultrabook	9.0476189770951E+40 Ft	13,3 "	1920x1080 Full HD 1080	LED	TRILUMINOS kijelző, Tükröződésgátló, fényes felülettelX-Reality Képjavítás funkció	Intel®	Core i5	4200U 1,6GHz	Turbo Boost technológiával, max. 2,6 GHz3MB L3 cache	4 GB	DDR3 1600 MHz	az alaplapon				Intel	HD 4400	Alaplapi integrált		0,94kg	2 év (1 év az akkura és töltőre)	Szerviz	Lítium-ionos polimer akkumulátor 35,55 Whmax. 2,5hTeszt: MobileMark 2007	Nincs		2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Fekete hátlap	Igen		SSD / Flash	SATA 6 Gb/s Solid state drive		Háttérvilágításos, Magyar	HáttérvilágításASSIST gomb	Érintőpanel (kézmozdulat felismerése támogatott)	Belső sztereó hangsugárzókBeépített kettős mikrofonClearAudio+ módS-Force Front Surround 3D	Bluetooth, Webkamera, Memóriakártya olvasó, USB 3.0, HDMI	Bluetooth 4.0 + HS1 db SuperSpeed USB (USB 3.0) port, A típusú csatlakozó töltő funkcióval, 1 db SuperSpeed USB (USB 3.0) port, A típusú csatlakozó töltő funkcióvalHDMI® kimenet	1 db SD-memóriakártya: SDHC, SDXC kompatibilis, UHS (SDR50) támogatott, másolásvédelmi funkció (CPRM)	0,92MP Exmor RTM for PC HD webkamera 1280 x 720NFC,Gyorsulásmérő, Giroszkóp, Digitális iránytű	WLAN	Gigabit LAN, Wlan IEEE 802.11a/b/g/n	Windows 8	VAIO Message CenterPlayMemories Home, VAIO Movie CreatorVAIO Transfer Support, VAIO Update, VAIO Control CenterAdobe® Reader® 11, NoteAnytime for VAIO, CamScannerMcAfee Internet Security 30 napos előfizetés, McAfee Parental Controls, Intel® Anti-Theft Service 90 napos próbaidőEgyérintéses zenehallgatás NFC technológiával, Xperia LinkInternet Explorer® 10	216*11,3 - 15,8*322mm	Ház anyaga: Karbonszál (lent/fent)			Választható, Angol, Magyar			128 GB		
Lenovo Thinkpad Edge E431	2.382597589826E+26 Ft	14,1 "	1600x900 WXGA HD+	Matt, LED		Intel®	Core i7	3632QM 2.20 GHz	6M Cache	8 GB		(2x 4GB) max. 16 GB (2 DIMM Slot)				nVidia	Geforce GT 730M 2GB	Dedikált, saját memóriával		2.14 kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	6 Cellás 48Wh Lithium Ionmax. 6,3h	DVD író	Mobile Intel HM77 Express Chipset	Játék/3D grafika, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	HDD	5400rpm SATA 3.0Gb/s, 2.5"Active Protection System™		Magyar	"Island" típusú6-soros, cseppálló, multimedia Fn gomb	5 gombos UltraNav™ TouchPad és TrackPoint	Dolby® Advanced Audio, sztereo hangszórók, dual mikrofoncombo audio/mic jack csatlakozó	Dokkolócsatlakozó, Ujjlenyomat olvasó, Webkamera, Memóriakártya olvasó, VGA, Bluetooth, HDMI, USB 3.0	Bluetooth 4.02 USB 3.0, 1 USB 2.0 (powered), VGA DB-15, HDMI	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)OneLink Docking port	HD 720p Webkamera Ujjlenyomat olvasó	WLAN	WiFi: ThinkPad BGN 1x1 Gigabit Ethernet	Windows 7 / 8 Pro	• Access Connections™• ThinkVantage Power Manager• ThinkVantage Tools• Lenovo SimpleTap• Adobe® Reader® • ThinkVantage System Update• Norton™ Internet Security (30 nap)• Skype™ • Microsoft Ofﬁce 2013 próbaverzió	344mm x 239mm x 25mm		DVD CD Multi Burner (9.5mm), fix, tray-in	64 bit	Magyar	2048 MB			Windows 7 Professional előtelepítve +Win 8 Pro 64bit Recovery DVD/licensz	
Samsung Ativ Book 7	2.3991299647324E+32 Ft	13,3 "	1920x1080 Full HD 1080	Érintőképernyő	Touch Screen PanelSuperBright+ 350nit, Környezeti fény érzékelő	Intel®	Core i5	3337U 1.80 GHz - 2.70GHz	3 MB L3 Cache	4 GB	DDR3 1600 MHz	(alaplapi 2GB+2GB)				AMD/ATI	Radeon™ HD 8570m 1GB gDDR3	Dedikált, saját memóriával		1.65 Kg	2 év (1 év az akkura és töltőre)	Szerviz	Li-ion 4 cellás (57Wh)		Intel HM76	Játék/3D grafika, 2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Nem		SSD / Flash		PowerExpress	Háttérvilágításos	Billentyűzetvilágítás		JBL Stereo hangszórók, 2 wattSoundAlive ™ Beépített mikrofon kombinált fejhallgató / mikrofon csatlakozó	VGA, HDMI, Bluetooth, Memóriakártya olvasó, Webkamera, USB 3.0	Bluetooth 4.0mini-VGA-csatlakozó HDMI csatlakozó 1 USB3.0, 2 USB2.0, töltés alvó módban	3in1 kártyaolvasó (SD / SDHC / SDXC)	720p HD Webkamera	WLAN	Intel® Centrino® Advanced-N 6235, 2x2 802.11 abg/n (300Mbps), Widi támogatásGigabit Ethernet [10/100/1000]	Windows 8	S Player S Gallery S Camera Evernote Microsoft Office (próbaverzió)Support Center SW Update Norton Internet Security (próbaverzió 60 napig) Norton Online Backup (30 napos próbaverzió)	324,0 x 224,0 x 18,9 mm			64 bit	Magyar, Angol, Választható	1024 MB		128 GB		
Lenovo Thinkpad T430	3.261335989826E+31 Ft	14,1 "	1600x900 WXGA HD+	Matt, LED	anti-glare, 250 nit, 16:9, 300:1	Intel®	Core i5	3230M 2,6 GHz	3 MB cache, max. 3.20 GHz	4 GB	DDR3 1600 MHz	max. 16GB				Intel	HD Graphics 4000	Alaplapi integrált		2.166kg	3 év (1 év az akkura és töltőre)	Helyszíni, Világ	6 cellás 57WHr (2.6 Ah)max. 9.7 h	DVD író	Mobile Intel QM77 Express Chipset	Professzionális, Üzleti, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	180 GB	SSD / Flash	SATA 6.0Gb/s, 2.5", 7mmActive Protection System™, Shock Mounted Hard Drive	Optimus technológia	Magyar	"island-style" 6 soros, multimedia gombokkal	UltraNav	Dolby® Advanced AudioTM 2.0(1) 3.5mm Combo Jack Headphone/MIC	Bluetooth, DisplayPort, VGA, Memóriakártya olvasó, ExpressCard, Webkamera, Dokkolócsatlakozó, USB 3.0, Smart Card olvasó	Bluetooth 4.0, (1) MiniDisplayPort, (1) VGA, (2) USB 3.0, (1) USB 2.0, (1) Always on USB 2.0	(1) Express Card 34mm Slot, 4 in 1 kártyaolvasó (SD/SDHC/SDXC/MMC slot), Smart Card olvasó	720p HD kamera	WLAN	WiFi: 11b/g/n; Ethernet RJ45	Windows 7 / 8 Pro	• Power Manager 6.0• Access Connections 5.9• Active Protection SystemTM• Password Manager 4.0• Norton™ Internet Security 2012• Microsoft® Office Starter 2010• Lenovo Cloud Storage• Evernote	350.5mm x 232mm x 29.9mm		DVD CD Multi Burner Swap (12.7mm)	64 bit	Magyar	2048 MB			Windows 7 Professional előtelepítve +Win 8 Pro 64bit Recovery DVD/licensz	
Acer Aspire V3-772G-747a8G1.12TMamm	9.4413189304662E+47 Ft	17,3 "	1920x1080 Full HD 1080	LED, Matt	Acer ComfyView™ (300-nit)	Intel®	Core i7	4702MQ - 2,20GHz	6MB Cache, max. 3.20 GHz	8 GB	DDR3 1600 MHz	1*8GB, 2 slot / max. 16GB				nVidia	GeForce® GTX 760M 2GB GDDR5	Dedikált, saját memóriával		3,20 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	48 Wh 4400 mAh 11.1 V 6-cellás Li-ionMaximális akkumulátor üzemidő 3 óra	DVD író	Mobile Intel® HM86 Express	Játék/3D grafika	Notebook / Laptop	Új	Arany hátlap	Igen	1000 GB	Hibrid (HDD + SSD)	Serial ATA 5400rpm HDD + SATA 6 Gb/s SSD		Magyar, Numerikus billentyűzet	103-/104-/107-gombos FineTip	Acer ZoomPerfect touchpad, multi-gesture	Dolby® Home Theater® v4 audioSztereo hangszórók, mikrofonHeadphone/speaker és microphone-in jack	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA, Bluetooth	Bluetooth 4.0, HDMI, USB 2.0*2, USB 3.0*3, VGA	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	414.8 (W) x 275 (D) x 31/34.65 (H) mm	Video megtekintése ->	8X DVD-Super Multi double-layer			2048 MB		120 GB		
Lenovo ThinkPad X240 Ultrabook	3.6392850041319E+36 Ft	12,5 "	1366x768 WXGA HD	Matt, IPS, LED	anti-glare, 300 nit, 700:1 IPS	Intel®	Core i7	4600U vPro (2,1/3,3GHz)	4MB cache	4 GB	DDR3 1600 MHz	4GBx1 DDR3L, 8GB max / 1 SO-DIMM hely				Intel	HD Graphics 4400	Alaplapi integrált		1.42kg	3 év (1 év az akkura és töltőre)	Helyszíni, Világ	Li-Ion vagy Li-Polymer 3-cellás (23.5Wh) + Li-Ion 3-cellás (23.5Wh) külső, együtt max. 8.7hPower Bridge: az akkumulátorok anélkül cserélhetők, hogy kikapcsolná a laptopot	Nincs	Intel 4th Generation core 1 chip, processzorba integrált	Professzionális, Üzleti, 2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	SSD / Flash	OPAL Solid State Drive (SSD) / SATA 6.0Gb/s, 2.5"Shock Mounted Hard Drive, Active Protection System™		Magyar, Háttérvilágításos	6-soros, cseppálló, multimedia Fn gombok, LED háttérvilágítás	TrackPoint® és Mylar felületű touchpad, 5 integrált gomb, multi-touch	HD Audio, Realtek® ALC3232 codec, Dolby® Advanced Audio™ v2 /sztereo hangszórók: 1.5W x 2 / dual mikrofon, combo audio/mic jack	VGA, Bluetooth, DisplayPort, Memóriakártya olvasó, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth 4.0 2* USB 3.0 (1* Always On), VGA, Mini DisplayPort	4-in-1 kártyaolvasó (SD, SDHC, SDXC, MMC)dokkolócsatlakozó	HD720p Webkamera Trusted Platform Module, TCG 1.2, Ujjlenyomat olvasó	WLAN	Intel Dual Band Wireless-AC 7260, 2x2 Wi-FiIntel® Ethernet I218-LM 10/100/1000	Windows 7 / 8 Pro	• Lenovo Solution Center• Lenovo Support• Lenovo Companion• ThinkVantage System Update• Lenovo Cloud Storage• PC Device Stage• AccuWeather• Amazon Kindle• Nitro Pro• Rara Streaming• Norton Studio• Norton™ Internet Security (30 nap)	305.5mm x 208.5mm x 19.9mm			64 bit	Választható, Angol, Magyar			180 GB	Windows 8 Pro előtelepítve	
Acer Aspire V7-581G-73538G25AKK Ultrabook	3.9293046664859E+41 Ft	15,6 "	1920x1080 Full HD 1080	Matt, IPS, LED	Acer ComfyView ™super-slim design	Intel®	Core i7	3537U 2,0GHz	4MB Intel® Smart Cache, max. 3.1 GHz, 17 W	8 GB	DDR3 1600 MHz	4GB alaplapon + 4GB, 1 slot, max. 12GB				nVidia	GeForce® GT 720M 2GB DDR3	Dedikált, saját memóriával		2.2 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	53 Wh 3560 mAh 4-cellás Li-polymermax. 5h	Nincs	Mobile Intel® HM77 Express Chipset	Ultrabook™, Játék/3D grafika, Multimédiás	Notebook / Laptop	Új	Fekete hátlap	Igen		SSD / Flash	SATA 6 Gb/s SSD	NVIDIA® CUDA, PhysXTM, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0,Microsoft® DirectX® 11, OpenGL® 4.1, OpenCLTM 1.1	Numerikus billentyűzet, Magyar	105-/106-/109-gombos FineTouch	Acer ZoomPerfect touchpad	Dolby® Home Theater® v4 audio4 hangszóró, digitális mikrofonHeadphone/speaker jack	VGA, USB 3.0, HDMI, Bluetooth, Webkamera, Memóriakártya olvasó	Bluetooth 4.0, HDMI, Acer Converter Port, 2*USB 2.0, USB 3.0 (power-off USB)	SD kártyaolvasó	Acer Crystal Eye 720p HD Webkamera 1280 x 720	WLAN	Acer Nplify 802.11a/b/g/n WifiGigabit Ethernet	Windows 8	• AcerCloud• AcerCloud Docs• Cyberlink® MediaEspresso• Nero BackItUp 12 Essentials• Spotify• McAfee® Internet Security Suite próbaverzió• Norton Online Backup• Acer Identity Card• Acer Instant Update Utility• Acer Power Management• Acer Recovery Management• Acer Theft Shield• Acer Updater• Acer USB Charge Manager• ExpressCache• Launch Manager• Soluto	381.6 (W) x 255.95 (D) x 20/22.85 (H) mm			64 bit	Választható, Magyar, Angol	2048 MB	Acer Converter kábel (VGA)	256 GB		
Toshiba PORTÉGÉ Z930-18W	2.4983423647619E+35 Ft	13,3 "	1366x768 WXGA HD	Matt, LED	Tükröződésmentes, nagy fényerejű Toshiba HD kijelző 16: 9 oldalaránnyal	Intel®	Core i3	3227U 1.90 GHz	3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1600 MHz	(2048 az alaplapon + 2048) MB bővíthetőség felső határa : 6,144 MB				Intel	HD Graphics 4000	Alaplapi integrált		min. 1,12 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Szerviz, Világ	8 cellás maximális üzemidő : akár 8 óra (Mobile Mark™ 2007)	Nincs		Ultrabook™, 2 kg alatt	Notebook / Laptop		Fémes acélszürke magnéziumház, matt fekete billentyűzet	Nem		SSD / Flash		akár 1696 MB megosztott memória 4 GB telepített rendszermemória mellett (előre telepített 64 bites operációs rendszer esetén) memória típusa : megosztott	Magyar, Háttérvilágításos	háttér-világítású billentyűkkel billentyűk : 87 Windows billentyűk : Igen speciális szolgáltatások : Matt fekete billentyűzet, teljes méretű, cseppálló billentyűzet Gyorskezelő felület 2 vezérlőgombbal (Energiagazdálkodást segítő Eco Utility gomb, Toshiba-bemutatókhoz rendelt gomb)	A kétujjas görgetést, csippentést, tükrözést és forgatást támogató, több érintést érzékelő érintőtábla. A számítógépen az érintőtáblához külön be- és kikapcsológomb is található	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók SRS Premium Sound HD™ hangtechnológiával 1 × külső mikrofon 1 × beépített mikrofon 1 × sztereó fejhallgató	VGA, USB 3.0, Ujjlenyomat olvasó, Webkamera, Memóriakártya olvasó, HDMI, Bluetooth	Bluetooth® 4.0 + LE 1 × külső monitor1 (a jobb oldalon) × USB 3,0 2 (hátul) × USB 2.0 (a bal oldali támogatja a Sleep-and-Charge USB-technológiát) 1 × HDMI-kimenet, 1080p jelformátum támogatása	1 × SD™-kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	1,3 megapixeles webkamera AutoMacro-támogatással ujjlenyomat azonosítás	WLAN	Wi-Fi™ Intel® Centrino® Wireless-N 2230, Intel® Wireless Display technológia Gigabit Ethernet LAN	Windows 8	Intel® AppUp Center Intel® Rapid Start technológia kezelőszoftvere Intel® Rapid Storage technológia Intel® Wireless Display technológia McAfee® AntiTheft McAfee® Internet Security (30 napos ingyenes előfizetéssel) McAfee® Security Advisor for Toshiba Microsoft® FreshPaint Microsoft® Office-próbaverzió Microsoft® Solitair Collection SRS Premium Sound 3D™ TOSHIBA Desktop Assist TOSHIBA Eco Utility™ TOSHIBA Intelligent Display Management TOSHIBA PC Health Monitor TOSHIBA Places TOSHIBA Places ikonkezelő segédprogram TOSHIBA Recovery Media Creator TOSHIBA Resolution+ beépülő modul a Windows Media Player lejátszóhoz TOSHIBA Service Station TOSHIBA System Settings TOSHIBA Tempro TOSHIBA VIDEOLEJÁTSZÓ TOSHIBA funkcióbillentyű-kezelő TOSHIBA médialejátszó (sMedio TrueLink+)	Sz x H x M : 316,0 x 227,0 x 8,3 (elöl)/15,9 (hátul) mm	Tartós kialakítás, Rázkódás- és ütéselnyelő kialakítás		64 bit	Választható, Angol, Magyar			128 GB	előtelepítve	
Acer Aspire V3-772G-747A161TMAMM_LIN_N14EGL2GB	9.4413189304662E+42 Ft	17,3 "	1920x1080 Full HD 1080	Matt, LED	Acer ComfyView™	Intel®	Core i7	4702MQ - 2,20GHz	max. 3,20GHz / 6MB Cache	16 GB	DDR3 1600 MHz	DDR3L, 2 slot / max. 16GB				nVidia	NVIDIA® GeForce® GTX 760M 2GB	Dedikált, saját memóriával		3,20 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	6-cellás Li-ion 4400 mAhMaximális akkumulátor üzemidő 3,50 óra	DVD író	Mobile Intel® HM86 Express	Játék/3D grafika	Notebook / Laptop	Új	Arany hátlap	Igen	1000 GB	HDD	Serial ATA		Magyar, Numerikus billentyűzet		TouchPad, multi-gesture	Mikrofon	USB 3.0, VGA, Webkamera, Memóriakártya olvasó, Bluetooth, HDMI	Bluetooth 4.0, HDMI, USB 2.0*2, USB 3.0*3, VGA	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye HD Webkamera	WLAN	Acer Nplify 802.11a/b/g/n WifiGigabit Ethernet	Külön vásárolható	Linpus Lite Mobiln	34,7 mm * 414,8 mm * 275,0 mm	Video megtekintése ->	DVD-Super Multi DL			2048 MB				
Dell Latitude E7440 Ultrabook	3.5550361898261E+35 Ft	14,1 "	1920x1080 Full HD 1080	LED, Matt	Anti-Glare	Intel®	Core i7	4600U (2.1GHz - 3.3GHz)	3M Cache	8 GB	DDR3 1600 MHz	(1*8GB), Max. 16GB DDR3L - 2 soDIMM				Intel	HD graphics 4400	Alaplapi integrált		1,63 kg	3 év (1 év az akkura és töltőre)	Világ, Helyszíni	4 cellás (45 Wh-s) lítiumion akkumulátor ExpressCharge™ funkcióval	Nincs	Integrálva a processzorral (Lynx Point-LP)	Professzionális, Üzleti, 2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	SSD / Flash	Full Mini card, Félvezető-alapú merevlemez		Háttérvilágításos, Magyar	háttérvilágítással ellátott Két mutatóeszközt tartalmazó billentyűzet	Többérintéses érintőpad	Kombinált sztereó fejhallgató/mikrofon csatlakozó	DisplayPort, HDMI, Bluetooth, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0, Smart Card olvasó	Bluetooth 4.0, USB 3.0 (3), mDisplayPort, HDMI	Dokkolócsatlakozó1 teljes és 1 félmagasságú minikártya-foglalat	Full HD kamera mikrofonnalintegrált ujjlenyomat és SmartCard-olvasó, NFC modul	WLAN	Intel DualBand Wireless-AC 7260 802.11a/g/nGigabit LAN Hálózati csatlakozó (RJ-45)	Windows 7 / 8 Pro		Szélesség: 337 mm Magasság: 21 mmMélység: 231,5 mm			64 bit	Angol, Magyar, Választható			128 GB	ENG/HUN/RUS(Win 8 Pro licensz+DVD)	
Acer Aspire S7-391-53334G12AWSW8	2.536931139119E+30 Ft	13,3 "	1920x1080 Full HD 1080	LED, Fényes, Érintőképernyő	Acer CineCrystal LCD, Multi-touch Érintőképernyő	Intel®	Core i5	3337U - 1,80GHz	3MB cache, Turbo Boost 2,70GHz	4 GB	DDR3 1600 MHz	onboard, Nem bővíthető				Intel	HD Graphics 4000	Alaplapi integrált		1,30 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	35 Wh 4680 mAh 4-cellás Li-polymermax. 6h	Nincs	Intel HM77 Express chipset	Ultrabook™, 2 kg alatt	Notebook / Laptop	Új	Fehér hátlap	Nem		SSD / Flash		Microsoft® DirectX® 11, OpenGL® 3.1, OpenCL™ v1.1	Magyar, Háttérvilágításos	háttérvilágítású billentyűzet 68-/69-/73-gombos	Multi-gesture touchpad	Dolby® Home Theater® v4beépített hangszórók, mikrofonHeadphone/speaker jack	Webkamera, Bluetooth, Memóriakártya olvasó, USB 3.0, HDMI	Bluetooth® 4.0+HSMicro HDMI, 2xUSB3.0	2-in-1 kártyaolvasó: Secure Digital (SD) kártya, MultiMediaCard (MMC)	Acer Crystal Eye 720p HD Webkamera	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-FiGigabit LAN	Windows 8	• Acer Backup Manager• AcerCloud• Acer Instant Update Utility• Acer Power Management• Acer Recovery Management• Acer Ring with Device Control Lite• Acer USB Charge Manager• Norton™ Online Backup• Acer Theft Shield• McAfee® Internet Security Suite próbaverzió• MyWinLocker• Acer clear.fi• Cyberlink® MediaEspresso• Acer Identity Card• Acer Updater	323.3 (W) x 223.5 (D) x 11.9 (H) mm	Video megtekintése ->		64 bit	Választható, Magyar, Angol			128 GB		
Lenovo ThinkPad T440 Ultrabook	3.6975555898261E+30 Ft	14,1 "	1600x900 WXGA HD+	Matt, LED	anti-glare, 250 nit, 400:1	Intel®	Core i7	4600U 2.10GHz	4MB cache, Intel Turbo Boost 2.0 (3.30GHz)	8 GB	DDR3 1600 MHz	4GB alaplapon + 4GB, 12GB max, 1 SO-DIMM hely				Intel	HD Graphics 4400	Alaplapi integrált		1.68kg	3 év (1 év az akkura és töltőre)	Világ, Helyszíni	Li-Polymer 3-cellás (23.5Wh), max. 4,3h	Nincs	Intel 4th Generation core 1 chip (processzorba integrált)	Professzionális, Üzleti, 2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	SSD / Flash	SATA 6.0Gb/s, 2.5"Shock Mounted Hard Drive, Active Protection System™		Magyar, Háttérvilágításos	6-soros, cseppálló, multimedia Fn gombok	TrackPoint® és Mylar felületű touchpad, integrált 5 gomb, multi-touch	HD Audio, Realtek® ALC3232 codec, Dolby® Advanced Audio™ v2 / sztereo hangszórók, 1W x 2 / dual mikrofon, combo audio/microphone jack	Memóriakártya olvasó, Bluetooth, DisplayPort, VGA, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth 4.0 2* USB 3.0 (1* Always On), VGA, Mini DisplayPort	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC) dokkolócsatlakozó	HD720p webkamera Trusted Platform Module, TCG 1.2, Ujjlenyomat olvasó	WLAN	Intel Dual Band Wireless-AC 7260, 2x2 Wi-FiIntel Gigabit Ethernet I218 (Clarkville)	Windows 7 / 8 Pro	• Lenovo Solution Center • Lenovo Support • Lenovo Companion • ThinkVantage System Update • Lenovo Cloud Storage • Intel AppUp® • PC Device Stage • AccuWeather • Amazon Kindle • Nitro Pro • Evernote® • Skype™ • Rara Streaming • Norton Studio • Norton™ Internet Security (30 nap)	339mm x 232.5mm x 21mm			64 bit	Angol, Magyar, Választható			180 GB	Windows 7 Pro előtelepítve + Windows 8 Pro licensz	
HP-Compaq EliteBook 850 G1	3.9723581896686E+30 Ft	15,6 "	1920x1080 Full HD 1080	Matt, LED	WVA csillogásmentes	Intel®	Core i7	4600U 2.1 GHz	4 MB gyorsítótár, 2 mag	8 GB	DDR3 1600 MHz	(2 x 4 GB)DDR3L, 2 SODIMM hely, max. 16 GB				AMD/ATI	Radeon HD 8750M 1GB GDDR5	Dedikált, saját memóriával		Kezdő tömeg: 1,88 kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	3-cellás (50 WHr) HP Long Life	Nincs	A chipkészlet integrálva van a processzorba	2 kg alatt, Üzleti, Játék/3D grafika, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	SSD / Flash	SATA SSDHP 3D DriveGuard		Magyar	Folyadékelvezető, cseppálló billentyűzet	Érintőtábla be- és kikapcsológombbal, kétirányú görgetéssel, kézmozdulat-érzékeléssel és két választógombbal; Mutatópálca, két további választógomb	HD Audio DTS Studio Sound technológiával Beépített kétcsatornás mikrofon 2 beépített sztereó hangszóró1 kombinált sztereó fejhallgató- és mikrofoncsatlakozó	DisplayPort, VGA, Memóriakártya olvasó, USB 3.0, Bluetooth, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó	Bluetooth 4.03 USB 3.0 1 USB 3.0 töltéshez 1 DisplayPort 1 VGA	1 dokkolócsatlakozó 1 médiakártya-olvasó	720p HD webkameraTPM 1.2 beágyazott biztonsági chip, HP ujjlenyomat-olvasó	WLAN	Intel kétsávos 7260AN 802.11a/b/g/n (2x2) WiFi Intel I218-LM Gigabit hálózati csatlakozó (10/100/1000 NIC)	Windows 7 / 8 Pro	A HP Client Security szoftvercsomag a következőket tartalmazza: HP Credential Manager, HP Password Manager, HP File Sanitizer és Just In Time hitelesítési funkcióval ellátott HP Device Access Manager (Eszközhozzáférés-kezelő)HP 3D DriveGuard HP Connection Manager (Windows 7) HP Wireless HotSpot HP PageLift HP Recovery Manager HP Support Assistant HP ePrint	37.55 x 25.36 x 2.14 cm (elöl)			64 bit	Magyar	1024 MB		180 GB	Windows 7 Professional előtelepítve, illetve a Windows 8 Pro szoftver lemeze és licence is jár hozzá	
