TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
LG G-Pad 8.3 Notebook	73220 Ft	8.30 inch	WUXGA (1920x1200)	APQ8064 Pro processzor Quad Core	1700 MHz	2048 MB	DDR3 SDRAM			-	- MB	0.35 Kg	2 év	4600 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth	micro SD, Memóriakártya-olvasó	182 x119 x 9 mm	egyéb	Érintőképernyő, Flash memória, 16GB, Front Camera, Back Camera	új				
Toshiba Satellite C50-A-14L Notebook	73220 Ft		WXGA (1366x768)	Intel® Celeron™ processzor 1000M	1800 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® GMA HD	- MB		2 év	6 mAh	opció	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 1xUSB 3.0, 2xUSB 2.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer V5-431-10074G50Mabb_Lin Notebook	74795 Ft	14.00 inch	WXGA (1366x768)	Intel® Celeron™ Dual Core processzor CM1007UB	1500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	-	- MB	2.40 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	Webcamera	új				
Acer V5-431-10074G50Mass_Lin Notebook	74795 Ft	14.00 inch	WXGA (1366x768)	Intel® Celeron™ Dual Core processzor CM1007UB	1500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	-	- MB	2.40 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	Webcamera	új				
Acer V5-431-10074G50Mauu_Lin Notebook	74795 Ft	14.00 inch	WXGA (1366x768)	Intel® Celeron™ Dual Core processzor CM1007UB	1500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	-	- MB	2.40 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	Webcamera	új				
Lenovo IdeaPad B590 Notebook	114953 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	1024 MB	2.70 Kg	2 év	6 mAh	DVD-RW	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, 2xUSB 3.0, USB 2.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Galaxy Tab 3 8.0 WiFi + 16GB Notebook	75583 Ft	8.00 inch	WXGA (1280x800)	ARM Cortex processzor Cortex A9 Dual Core	1500 MHz	1536 MB	DDR3 SDRAM			-	- MB	0.31 Kg	2 év	4450 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	209.8 x 123.8 x 7.4 mm	egyéb	Érintőképernyő, Front Camera, Back Camera, GPS, Flash memória, 16GB	új				
HP 250 Notebook	104717 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Celeron™ processzor C1000 Dual Core	1800 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® GMA HD	- MB	2.45 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új	Táska			
Samsung Galaxy Tab 3 7.0 WiFi + 3G + 8GB Notebook	77157 Ft	8.00 inch	1024 x 600	ARM Cortex processzor Cortex A9 Dual Core	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.30 Kg	2 év	4000 mAh	-	Android 4.1	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	111.1 x 188.0 x 9.9 mm	egyéb	Érintőképernyő, Flash memória, 8GB, Front Camera, Back Camera, GPS	új				
Toshiba Satellite C50-A-14G Notebook	77945 Ft	15.60 inch	WXGA (1366x768)	Intel® Celeron™ processzor 1005M	1900 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® GMA HD	- MB	2.30 Kg	2 év	6 mAh	opció	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0, VGA	Memóriakártya-olvasó		magyar	HD Webcamera	új				
