TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
Dell Vostro 3560 Notebook	186606 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD Radeon™ HD7670	1024 MB	2.57 Kg	3 év	6 mAh	DVD+-RW Dual Layer	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Billentyűzet megvilágítás	új		32 GB		
HP EliteBook 8470p Notebook	342512 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3540M	3000 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	AMD Radeon™ HD 7570M	- MB	2.25 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, Webcamera	új				
Samsung Ativ XE700 Series 7 BT + WiFi + 3G + TPM Notebook	286606 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i5 processzor 3317U	1700 MHz	4096 MB	DDR3 SDRAM			Intel HD Graphics 4000	- MB	0.88 Kg	2 év	6450 mAh	-	Windows 8 Professional 64bit HUN	128 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro HDMI, 1xUSB 3.0	micro SD, Memóriakártya-olvasó	304 x 189.4 x 11.9 mm	magyar	Érintőképernyő, Front Camera, Back Camera	új	sPen ceruza, billentyűzet			
Toshiba Satellite P855-32E Notebook	292118 Ft		FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	NVIDIA® GeForce® GT 640M	- MB		2 év	6 mAh	Blue-Ray RW	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Billentyűzet megvilágítás	új				
Samsung Ativ XE700 Tab 7 BT + WiFi + 3G + TPM Notebook	294480 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i5 processzor 3317U	1700 MHz	4096 MB	DDR3 SDRAM			Intel HD Graphics 4000	- MB	0.88 Kg	2 év	6450 mAh	-	Windows 8 Professional 64bit HUN	128 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	1xUSB 3.0, Micro HDMI	micro SD, Memóriakártya-olvasó	304 x 189.4 x 11.9 mm	magyar	Érintőképernyő, Front Camera, Back Camera	új	sPen ceruza, billentyűzet			
Toshiba Satellite P855-33R Notebook	304717 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	NVIDIA® GeForce® GT 640M	- MB	2.94 Kg	2 év	6 mAh	Blue-Ray RW	Windows 8 64bit HUN		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP EliteBook 8470w Notebook	329913 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	AMD Discrete VGA	- MB	2.50 Kg	3 év	6 mAh	DVD+-RW Dual Layer	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Webcamera, Ujjlenyomat olvasó, Billentyűzet megvilágítás	új				
Dell Latitude E6330 Notebook	344087 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3340M	2700 MHz	4096 MB	DDR3 1600MHz	750 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.90 Kg	5 év	6 mAh	DVD-RW	Windows 7 Professional	128 GB	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, eSATA, 2xUSB 3.0, Dock	Memóriakártya-olvasó		magyar	Webcamera, SSD drive	új				
HP EliteBook 8570w Notebook	446449 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i5 processzor 3360M	2800 MHz	8192 MB	DDR3 SDRAM	256 GB	5400 rpm	NVIDIA® Quadro 1000M	2048 MB	3.10 Kg	3 év	8 mAh	DVD+-RW Dual Layer	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Webcamera, SSD drive	új				
HP EliteBook 2570p Notebook	356685 Ft	12.50 inch	WXGA (1366x768)	Intel® Core™ i7 processzor 3520M	2900 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.80 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Display Port, 1xUSB 3.0, Bluetooth, eSATA, USB 2.0	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, Webcamera	új				
HP EliteBook 8770w Notebook	529126 Ft	17.30 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	nVIDIA Quadro 3000M	2048 MB	3.57 Kg	3 év	8 mAh	DVD-RW SuperMulti DL	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Webcamera, Ujjlenyomat olvasó	új				
Dell XPS Duo 12 Notebook	433850 Ft	12.50 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 4500U	3000 MHz	8096 MB	DDR3 1600MHz	256 GB		Intel HD Graphics 4000	- MB	1.36 Kg	3 év	6 mAh	opció	Windows 8 64bit HUN		igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, 2xUSB 3.0, Mini Display Port			angol	Webcamera, Billentyűzet megvilágítás, SSD drive	új				
Dell Latitude E6530 Notebook	378732 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3540M	3000 MHz	8192 MB	DDR3 1600MHz	256 GB		NVIDIA® NVS 5200M	1024 MB	2.44 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, eSATA, 2xUSB 3.0, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
HP EliteBook 8570p Notebook	409441 Ft	15.60 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3540M	3000 MHz	4096 MB	DDR3 1600MHz	180 GB		AMD Radeon™ HD 7570M	- MB	2.85 Kg	3 év	6 mAh	DVD+-RW Dual Layer	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Webcamera, SSD drive, Billentyűzet megvilágítás	új				
Toshiba Qosmio X70-A-10F Notebook	479520 Ft	17.30 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 4700MQ	2400 - 3400 MHz	32768 MB	DDR3 1600MHz	1024 GB	5400 rpm	nVidia® GeForce® GTX 770M	3072 MB	3.60 Kg	3 év	8 mAh	Blue-Ray RW	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Billentyűzet megvilágítás	új				
Dell XPS 13 Notebook	340150 Ft	13.30 inch	HD WXGA (1366x768)	Intel® Core™ i5 processzor 3337U	2000 - 2600 MHz	4096 MB	DDR3 SDRAM	500 GB		Intel HD Graphics 4000	- MB	1.36 Kg	3 év	6 mAh	opció	Windows 8 64bit HUN		igen	WLAN a/b/g/n	802.11b/g/n	opció	Mini Display Port, Bluetooth, 2xUSB 3.0			angol	HD Webcamera	új				
Toshiba Qosmio X70-A-11L Notebook	513378 Ft	17.30 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 4700MQ	2400 - 3400 MHz	32768 MB	DDR3 1600MHz	2048 GB	5400 rpm	nVidia® GeForce® GTX 770M	3072 MB	3.60 Kg	3 év	8 mAh	Blue-Ray RW	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Billentyűzet megvilágítás	új				
Funsreen Luna 7C40W Notebook	15740 Ft	7.00 inch	(800x480)	Boxchip processzor A10 Cortex A8	522 MHz	256 MB	DDR3 SDRAM			Mali 400 MP4	- MB	0.45 Kg	1 év	2450 mAh	-	Android 4.0 ICS	4 GB	igen	WLAN b/g	802.11b/g	opció	Mini USB	Memóriakártya-olvasó, micro SD	192x117x11 mm	egyéb	Front Camera, Flash Memória, 4 GB	új				
GoClever R104 Notebook	30701 Ft	10.00 inch	WSVGA (1024x600)	RockChip RK3066 processzor Cortex A9	1024 MHz	1024 MB	DDR3 SDRAM			Mali 400 MP4	- MB	0.60 Kg	2 év	5000 mAh	-	Android 4.1	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	HDMI, Micro USB	micro SD, Memóriakártya-olvasó	262x164x11 mm	egyéb	Érintőképernyő, Flash memória, 8GB, Front Camera	új				
Acer Iconia Tab Mango A1-810 Notebook	46449 Ft	8.00 inch	Multi-Touch IPS LCD (1024x768)	MTK Quad Core processzor	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.41 Kg	1 év	4960 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	208.7 x 145.7 x 11.1 mm	egyéb	Érintőképernyő, GPS, Front Camera, Back Camera, Flash memória, 16GB	új				
Samsung Galaxy Tab 2 Espresso 7.0 WiFi + 8GB Notebook	49598 Ft	7.00 inch	1024 x 600	ARM Cortex processzor Cortex A9 Dual Core	1024 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.34 Kg	2 év	4000 mAh	-	Android 4.0 ICS	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	TV-out, Micro USB, HDMI	micro SD, Memóriakártya-olvasó	193.7 x 122.4 x 10.5 mm	egyéb	Érintőképernyő, Flash memória, 8GB, Front Camera, Back Camera	új				
Samsung Galaxy Tab 2 Espresso 7.0 Notebook	58260 Ft	7.00 inch	1024 x 600	ARM Cortex processzor Cortex A9 Dual Core	1000 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.34 Kg	2 év	4000 mAh	-	Android 4.0 ICS	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	193.7 x 122.4 x 10.5 mm	egyéb	Érintőképernyő, Flash memória, 8GB, Front Camera, Back Camera	új				
Acer Mini V5-121-C72G32Akk_Lin Notebook	59047 Ft	11.60 inch	WXGA (1366x768) LED	AMD Brazos processzor C70 Dual Core	1300 MHz	2048 MB	DDR3 SDRAM	320 GB	5400 rpm	AMD UMA	- MB	1.00 Kg	2 év	4 mAh	-	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, VGA, HDMI, 2xUSB 2.0, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer E1-531-10052G32Mnks Notebook	69283 Ft	15.60 inch	WXGA (1366x768)	Intel® Celeron™ Dual Core processzor CM1005M	1800 MHz	2048 MB	DDR3 SDRAM	320 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer E1-531-10052G50Mnrr Notebook	71646 Ft	15.60 inch	WXGA (1366x768)	Intel® Celeron™ Dual Core processzor 1005M	1800 MHz	2048 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer E1-532-29552G50Dnkk Notebook	71646 Ft	15.60 inch	WXGA (1366x768)	Intel® Celeron™ Dual Core processzor 2955U	1400 MHz	2048 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer E1-531-10054G50Mnks_Lin Notebook	72433 Ft	15.60 inch	WXGA (1366x768)	Intel® Celeron™ Dual Core processzor 1005M	1900 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP 650 Notebook	103929 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2348	2300 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.45 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI, Bluetooth	Memóriakártya-olvasó		magyar	Webcamera	új	Táska			
Packard Bell EASYNOTE_F5211-HC-260HG Notebook	72490 Ft		WXGA (1366x768) LED	Intel® Celeron™ M processzor B820	1800 MHz	2048 MB	DDR3 1333MHz	500 GB	5400 rpm	-	- MB		2 év	6 mAh	DVD-RW SuperMulti DL	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Gigabyte Q2542C Notebook	103929 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.80 Kg	2 év	6 mAh	DVD SuperMulti	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	380 x 262 x 29.1 mm	magyar	Webcamera	új				
Toshiba Tegra AT300-101 Notebook	76670 Ft		WXGA (1280x800)	NVIDIA® Tegra™ processzor Tegra 3 4+1 magos	1300 MHz	1024 MB	DDR3 1333MHz	16 GB		-	256 MB		2 év	6 mAh	-	Android 4.0 ICS		igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, 3xUSB 2.0, Bluetooth, Micro HDMI	Memóriakártya-olvasó		magyar	Webcamera, SSD drive	új				
Lenovo IdeaPad G580C Notebook	85819 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics 3000	- MB	2.70 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C850-1CH Notebook	79520 Ft		WXGA (1366x768)	Intel Pentium processzor B960	2200 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® GMA HD	- MB		2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 2xUSB 3.0, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer E1-531-B964G75Maks_LIN Notebook	80307 Ft	15.60 inch	WXGA (1366x768)	Intel® Pentium™ M Dual-Core processzor B960	2200 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Asus X55U-SX035D Notebook	81862 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E-450	1650 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD6320	- MB	2.45 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	378 x 253 x 26,2-31,9 mm	magyar	Webcamera	új				
Acer E1-531-B9604G50Mnks_Lin Notebook	82390 Ft	15.60 inch	WXGA (1366x768)	Intel® Pentium™ M Dual-Core processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	-	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Packard Bell EASYNOTE_TE11-HC-260HG Notebook	82390 Ft		WXGA (1366x768) LED	Intel® Celeron™ M processzor B830	1800 MHz	2048 MB	DDR3 1333MHz	500 GB	5400 rpm	-	- MB		2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer V5-431-987B4G50Mass_Lin Notebook	84244 Ft	14.00 inch	WXGA (1366x768)	Intel Pentium processzor 987B Dual Core	1500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® GMA HD	- MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	Webcamera	új				
Acer E1-531-20204G50Mnks_Lin Notebook	84244 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer E1-531-B964G50Mnrr_Lin Notebook	84244 Ft	15.60 inch	WXGA (1366x768)	Intel® Pentium™ M Dual-Core processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C855-2G2 Notebook	85031 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Celeron™ processzor 1000M	1600 MHz	6144 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel® HD Graphics	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo Ideapad G585A Notebook	85250 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800	1700 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Mobility Radeon™ HD6470M	1024 MB	2.70 Kg	2 év	6 mAh	DVD+-RW	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo IdeaPad G585 Notebook	97630 Ft	15.60 inch	HD WXGA (1366x768)	AMD Brazos processzor E1-1200	1400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	ATI Mobility Radeon™ HD6370	1024 MB	2.60 Kg	2 év	6 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo ThinkPad L430 Notebook	87890 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Celeron™ processzor B815	1600 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.36 Kg	1 év	6 mAh	DVD-RW SuperMulti DL	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, VGA, 1xUSB 3.0, Mini Display Port			magyar	Webcamera	új				
Packard Bell EASYNOTE_F6244-CM-451HG Notebook	88181 Ft	15.60 inch	WXGA (1366x768) LED	AMD A series processzor A6-4400M	3200 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Radeon™ HD 7670M	1024 MB	2.25 Kg	2 év	6 mAh	DVD SuperMulti	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA			magyar	HD Webcamera	új				
Lenovo IdeaPad M490S Notebook	100780 Ft	14.00 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 2375M	1500 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.00 Kg	2 év	4 mAh	opció	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új			5400 rpm	
Toshiba Satellite C855-1UF Notebook	91331 Ft		WXGA (1366x768)	Intel Pentium processzor B960	2200 MHz	6144 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7610M	1024 MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer E1-531G-20204G50Mnks_Lin Notebook	92906 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C850-1MK Notebook	92906 Ft		WXGA (1366x768)	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7610M	- MB		2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP Compaq CQ58-D51SH Notebook	95268 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E1-1500	1480 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	-	- MB	2.35 Kg	2 év	6 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI			magyar	Webcamera	új				
Acer E1-571-33114G50Marr Notebook	96843 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo IdeaPad G500 Notebook	97630 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.40 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C855-2FU Notebook	97630 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7610M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	HD Webcamera	új				
Toshiba Satellite C850-176 Notebook	98340 Ft		WXGA (1366x768)	Intel® Core™ i3 processzor 2310M	2100 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® GMA HD	- MB		2 év	6 mAh	DVD+-RW	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 2xUSB 3.0, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer E1-531-B9604G50Mnks_W8 Notebook	98417 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
