TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HDD RPM	HSDPA	ExpressCard	Dokk	USB 3	eSata	FW	DP	Mikrofon be	Bill. Num	Multitouch	AC	Backlit KB	TPM	Utazó akkumulátor csatlakozó	Modem	Com	Éjjeli megvilágítás	Beépített kamera	Vonal bemenet	TFT 3D
LENOVO Ideapad Z500 TOUCH notebook (barna)	170787 Ft	15.6" Multi-Touch, HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	2,2 kg	LENOVO IdeaPad Z500 4-cell	4	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Z	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	375 mm	263 mm	25 mm	5400 fordulat/perc				1 db USB3				Igen	Igen	Igen											
TOSHIBA Satellite U940 notebook (jégkék)	151102 Ft	14.0" HD (1366x768) TruBrite LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3227U	Intel	Core i3	2	1,90 GHz	1,9 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD	500 GB	HDD	GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg	TOSHIBA Satellite U940 4-cell	4	45 Wh	Li-Ion Polymer	kiváló						Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	TOSHIBA Satellite U	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	340 mm	238 mm	21 mm	5400 fordulat/perc				2 db USB3				Igen		Igen	45 W	Igen									
FUJITSU Lifebook UH552 notebook (ezüst)	165275 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3217U	Intel	Core i3	2	1,80 GHz	1,8 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,6 kg	FUJITSU Lifebook UH552 4-cell	4	42 Wh	Li-Ion Polymer	kiváló						Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	FUJITSU Lifebook UH	belépő szint	üzleti		802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	323 mm	234 mm	18 mm	5400 fordulat/perc				2 db USB3				Igen		Igen	65 W										
SAMSUNG 400B notebook (fekete)	163700 Ft	12.5" HD (1366x768) AG LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,7 kg	SAMSUNG 400B 6-cell	6	48 Wh	Li-Ion	kiváló						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	SAMSUNG 400B	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	302 mm	224 mm	34 mm	7200 fordulat/perc		Igen	Igen	1 db USB3	Igen			Igen			60 W		Igen								
LENOVO IdeaPad G710 notebook	105433 Ft	17.3" HD+ (1600x900) VibrantView LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Pentium 3550M	Intel	Pentium Dual Core	2	2,30 GHz	2,3 GHz	Igen	2 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD	1000 GB	HDD	GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,9 kg	6-cell Lithium-ion	6	0 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad G	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	418 mm	278 mm	37 mm	5400 fordulat/perc				1 db USB3				Igen	Igen		90 W										
ASUS X550CC notebook	102283 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 2117U	Intel	Pentium	2	1,80 GHz	1,8 GHz	Igen	2 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB	4 GB	-	500 GB	HDD			GeForce GT 720M / 2GB	NVIDIA	GeForce	dedikált (belépő szint)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,3	2,3 kg	ASUS X550 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS X5xx	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	380 mm	251 mm	25 mm	5400 fordulat/perc				1 db USB3				Igen	Igen	Igen	65 W										
DELL Inspiron 5737 notebook (ezüst)	154252 Ft	17.3" HD+ (1600x900) Glare LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 8870M / 2GB	AMD	Radeon	dedikált (felső kategória)	2,0 GB	GDDR5	28 nm	11,0	5,1	4,3	2,7 kg	DELL Inspiron 5737 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 17R	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	412 mm	270 mm	28 mm	5400 fordulat/perc				2 db USB3				Igen	Igen												
DELL Inspiron 5737 notebook (lila)	154252 Ft	17.3" HD+ (1600x900) Glare LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 8870M / 2GB	AMD	Radeon	dedikált (felső kategória)	2,0 GB	GDDR5	28 nm	11,0	5,1	4,3	2,7 kg	DELL Inspiron 5737 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 17R	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	412 mm	270 mm	28 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		90 W										
DELL Inspiron 5737 notebook (piros)	154252 Ft	17.3" HD+ (1600x900) Glare LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 4500U	Intel	Core i7	2	1,80 GHz	3,0 GHz	Igen	4 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 8870M / 2GB	AMD	Radeon	dedikált (felső kategória)	2,0 GB	GDDR5	28 nm	11,0	5,1	4,3	2,7 kg	DELL Inspiron 5737 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 17R	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	412 mm	270 mm	28 mm	5400 fordulat/perc				2 db USB3				Igen	Igen												
ACER Aspire E1-570G notebook (fekete)	112519 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3217U	Intel	Core i3	2	1,80 GHz	1,8 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD			GeForce GT 740M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,4 kg	ACER Aspire E1-570 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire E series	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	256 mm	25 mm	5400 fordulat/perc				1 db USB3				Igen	Igen		65 W										
TOSHIBA Satellite C55-A notebook (fekete)	124330 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,3 kg	TOSHIBA Satellite C50/C55 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite C	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	380 mm	242 mm	31 mm	5400 fordulat/perc				1 db USB3				Igen	Igen		45 W										
HP Pavilion dm4-2100sl Dark Umber notebook (Renew*)	148819 Ft	14.0" HD (1366x768) BrightView LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2430M	Intel	Core i5	2	2,40 GHz	3,0 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	160 GB	SSD			Radeon HD 6490M / 1GB	ATI	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,0 kg	HP Pavilion dm4-2xxx 6-cell	6	47 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion dm4	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	341 mm	228 mm	32 mm									Igen		Igen	90 W										
TOSHIBA Satellite C55-A notebook (fehér)	74724 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Celeron 1005M	Intel	Celeron	2	1,90 GHz	1,9 GHz	Igen	2 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	2,3 kg	TOSHIBA Satellite C50/C55 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite C	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	világos alapon sötét karakterek			Igen	380 mm	242 mm	31 mm	5400 fordulat/perc				1 db USB3				Igen	Igen		45 W										
ACER V5-571G notebook (kék)	146378 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3227U	Intel	Core i3	2	1,90 GHz	1,9 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce 710M / 1GB	NVIDIA	GeForce	dedikált (belépő szint)	1,0 GB	GDDR3	28 nm	11,0	5,0	4,1	2,3 kg	ACER V5-4xx/5xx 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	ACER V5	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	253 mm	21 mm	5400 fordulat/perc				1 db USB3				Igen	Igen	Igen	65 W										
ASUS S550CB notebook	145590 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3217U	Intel	Core i3	2	1,80 GHz	1,8 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 740M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,6 kg	ASUS S550 4-cell	4	44 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS VivoBook S5xx			10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	380 mm	266 mm	23 mm	5400 fordulat/perc				1 db USB3				Igen			65 W										
SAMSUNG Ativ Book 450R notebook	141653 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD													2,0 kg	SAMSUNG 450R 3-cell	3	43 Wh	Li-Ion	normál						Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	SAMSUNG 450		otthoni	10/100/1000 gigabit	802.11(a/b/g/n) + WiDi 2x2	Igen	Igen	3 db USB	Igen	Igen	Igen			Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	376 mm	248 mm	23 mm	5400 fordulat/perc				1 db USB3				Igen	Igen												
ASUS K55VD notebook (fehér)	118031 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce 610M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	ASUS K55 6-cell	6	50 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS K5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	378 mm	251 mm	26 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	65 W										
LENOVO IdeaPad G510 notebook	141653 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD			Radeon HD 8750M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,2	2,6 kg	6-cell Lithium-ion	6	0 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	LENOVO IdeaPad G	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	377 mm	250 mm	34 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		65 W										
SAMSUNG Ativ Book 270E notebook (fekete)	121181 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce 710M / 2GB	NVIDIA	GeForce	dedikált (belépő szint)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,1	2,2 kg	SAMSUNG 270E 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	SAMSUNG 270	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	376 mm	248 mm	32 mm	5400 fordulat/perc				0 db USB3				Igen	Igen	Igen											
DELL Vostro 2521 notebook	129055 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3227U	Intel	Core i3	2	1,90 GHz	1,9 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7670M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,4 kg	DELL Vostro 2521 4-cell	4	40 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 2xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	90 W										
ACER V5-132P notebook (ezüst)	136141 Ft	11.6" Multi-Touch HD (1366x768) Glare LED	WXGA	11,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Core i3 3229Y	Intel	Core i3	2	1,40 GHz	1,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	13 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,2 kg											Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit					802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek				289 mm	206 mm	21 mm	5400 fordulat/perc				1 db USB3				Igen		Igen											
HP Probook 4340s notebook (Renew*)	133779 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB	4 GB	-	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,8 kg	HP Probook 4340s 6-cell	6	51 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 43xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	326 mm	229 mm	24 mm	5400 fordulat/perc	3G/HSDPA			3 db USB3				Igen		Igen	65 W										
ACER TravelMate TMP253 notebook	101496 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 2020M	Intel	Pentium	2	2,40 GHz	2,4 GHz	Igen	2 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	2,6 kg	ACER TravelMate TMP253 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER TravelMate P	belépő szint	üzleti	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	33 mm	5400 fordulat/perc								Igen		Igen	65 W										
ACER Aspire E1-771 notebook (szürke)	132204 Ft	17.3" HD+ (1600x900) Glare LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3120M	Intel	Core i3	2	2,50 GHz	2,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD			GeForce 710M / 1GB	NVIDIA	GeForce	dedikált (belépő szint)	1,0 GB	GDDR3	28 nm	11,0	5,0	4,1	3,2 kg	6-cell Lithium-ion	6	0 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire E series			10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek							5400 fordulat/perc				2 db USB3				Igen	Igen												
HP Pavilion 17-e051sh Sparkling Black notebook	131417 Ft	17.3" HD+ (1600x900) BrightView LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		AMD A4-5150M	AMD	A4 Series	2	2,70 GHz	3,3 GHz	Igen	1 MB	32 GB	Igen	32 nm	35 W	Igen		8GB DDR3	8 GB	DDR3	1000 GB	HDD			Radeon HD 8670 / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	28 nm	11,1	5,0	4,3	2,9 kg	HP Pavilion 17-exxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Pavilion 17	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	420 mm	267 mm	33 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	65 W										
SAMSUNG 535U3C ultrabook (hamufekete)	129842 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-4355M	AMD	A4 Series	2	1,90 GHz	2,4 GHz		2 MB	16 GB	Igen	32 nm	17 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7400G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,2	1,5 kg	SAMSUNG 530U3 4-cell	8	45 Wh	Li-Ion Polymer	kiváló						Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	SAMSUNG 530U	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	315 mm	219 mm	18 mm	5400 fordulat/perc				1 db USB3				Igen		Igen	60 W										
