TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Méret	Audio	LAN	WLAN	BT	HSDPA	Kamera	CR	HDMI	VGA ki	USB	TV ki	DP	FP	ExpressCard	FW	eSata	Egyéb	Tárhely	Tárhely bővítés	Interfészek
Acer Aspire V5-573G-74508G1Takk	0 Ft	15.6" FULL HD IPS LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-4500U Processor (4M Cache, up to 3.00 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 750M 4096MB	2.041 kg	24 hónap	Nem	USB DVD-RW (vásárolható)	Linux	Intel® HM86 Express	381.6 x 255.95 x 20.75 mm	Dolby® Advanced Audio™ v2	Nem	Wireless 802.11a/b/g/n	Bluetooth 4.0	Nincs	beépített HD webkamera	Multi in 1 Card reader	Van	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Vostro 3360 155823 Ezüst	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3227U Processor (3M Cache, up to 1.90 GHz)	4GB DDR3/1600 MHz	32GB SSD + 500GB SATA 5400RPM	Intel® GMA HD 4000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® Mobile HM77 Panther Point Express	332 x 232,5 x 18,6/19,2 mm	HD Audio	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
DELL Vostro 3460 157964 Bronz	0 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.3kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Intel® Mobile HM77 Panther Point Express	345,5 x 244 x 28/30,1 mm	HD Audio	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Van	Nincs	Nincs	Nincs	Backlit keyboard				
DELL Vostro 3360 151932 Ezüst	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-3537U Processor (4M Cache, up to 3.10 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	332 x 232,5 x 18,6/19,2 mm	HD Audio	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
HP Split 13-M103SH F4U00EA	0 Ft	13.3" Multi-Touch WXGA HD LED AntiGlare 1366x768 pixel	Intel® Core™ i5-4200Y Processor (3M Cache, up to 1.90 GHz)	4GB DDR3L		Intel® HD Graphics 4200	2,3 kg; csak táblagép esetén: 1 kg	24 hónap	32 Wh (Lithium Polymer)		Windows 8		34 x 23 x 2,34 cm; csak táblagép esetén: 34 x 21,6 x 1,13 cm	Beats Audio™ hangrendszer 2 hangszóróval					Elülső oldali HP TrueVision FHD kamera (2,0 MP) két beépített digitális mikrofonnal és szoftverrel (1080p)					Nem						Akku: 3 cellás 33Wh (Táblagép) + 32Wh (Alap) Li-polymer	64GB SSD + 500GB HDD 5400RPM SATA	1 többformátumú digitális memóriakártya-olvasó SD-kártyákhoz	Bluetooth 4.0, Wireless 802.11b/g/n, USB 2.0 (1db), USB 3.0 (1db), HDMI	
DELL Vostro 3460 157915 Ezüst	0 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.3kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Intel® Mobile HM77 Panther Point Express	345,5 x 244 x 28/30,1 mm	HD Audio	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Van	Nincs	Nincs	Nincs	Backlit keyboard				
Dell Latitude E6430 151172	0 Ft	14" WXGA HD+ LED AntiGlare 1600x900 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	NVIDIA® Quadro NVS 5200M 1024MB	2.0kg	36 hónap helyszíni garancia	60 Wh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® QM77 Express	352 x 241 x 26.6-32.4 cm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Nincs	Van	Backlit keyboard				
ACER V3-772G-54208G1TMakk	0 Ft	17.3" FULL HD-LED AntiGlare (Matt) 1920x1080 pixel	Intel® Core™ i5-4200M Processor (3M Cache, up to 3.10 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GTX 760M 2048MB	3.2kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW SM	Linux	Intel® HM86 Express	414,8 x 275 x 31-34.6 mm	Dolby® Home Theater® v4 hangrendszer	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Acer Crystal Eye HD webcam with	Multi in1 Card reader	Van	Van	2db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Toshiba Satellite U920t-10L	0 Ft	12.5" WXGA HD-LED Multi-Touch 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.52kg	24 hónap	3420 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel HM76 Express	326,5 x 213,0 x 19,9 mm	SRS Premium Sound 3D™	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 3,0 megapixeles hátoldali webkamera autofókusszal, és 1,0 megapixeles előlapi webkamera környezetifény-érzékelővel és beépített mikrofonnal	SD Card reader	Van	Nincs	2db USB 3.0	http://www.youtube.com/watch?v=ZacGDFX2tUw&feature=youtu.be	Nincs	Nincs	Nincs	Nincs	Nincs	Corning® Gorilla® Glass kijelzőborítás, Háttérvilágítású billentyűzet, 3D-s gyorsulásérzékelő, GPS, NFC-támogatás				
Dell Latitude E5430 153324	0 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.0kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobil Intel® HM77 Express	350 x 240 x 29.9-32.5 cm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Van	Van	Backlit keyboard				
DELL Inspiron 7520 148284	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 7730M 2048MB	2.766kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Mobile Intel® 7 Series Express chipkészlet (HM77)	378 x 252 x 30,3-34,1 mm	Waves MaxxAudio 4.0 stúdióminőségű hangzás csomag + Skullcandy hangszórók	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Van	Van	4db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad Y510 59-390558	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-4700MQ Processor (6M Cache, up to 3.40 GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA + 8GB ExpressCache	NVIDIA® GeForce® GT 755M 2048MB	2.6kg	36 hónap	Nem	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	386 x 258 x 35 mm	Beépített JBL® sztereó hangszórók	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	720p HD webcam	6in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Háttérvilágítású billentyűzet				
DELL Vostro 5470 157880	0 Ft	14" MultiTouch WXGA HD LED Glare 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	NVIDIA® GeForce® GT 740M 2048MB	1,62 kg	36 hónap helyszíni garancia	51,2 Wh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM86 Express Chipset	337,6 x 233,5 x 18,3 mm	Beépített sztereó hangszórók mélysugárzóval	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	beépített HD webkamera	8in1 Card reader	Van	Nem	1db USB 3.0, 2db USB 2.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Nem				
Sony Vaio SVS1512S1E Silver	0 Ft	15.5" FULL HD-LED GlareType 1980x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 640M LE 1024MB	2kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 8	Intel® HM76 Express	380 x 255.4 x 23.9–23.9mm	Belső sztereó hangfalak, Belső monó mikrofon, Dolby® Home Theater® v4	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1,31 megapixel, Valós pixelszám:1280 x 1024	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Nincs	Nincs	Nincs	Nem				
SAMSUNG Ativ Book 7 NP740U3E-X01HU	0 Ft	13.3" Full HD-LED Multi-Touch 1920x1080 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	AMD Radeon™ HD 8570M 1024MB	1.65kg	24 hónap	57 Wh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM76	324 x 224 x 18.9 mm	JBL Stereo Speakers	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	720p HD Web Camera	3in1 Card reader	Van	Van	1db USB 3.0 - 2db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
DELL Inspiron 7737 157836	0 Ft	17.3" WXGA Multi-Touch HD LED GlareType 1600x900 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	6GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 750M 2048MB	3.29kg	36 hónap	58WHr (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Mobile Intel® HM87 Express Chipset	412 x 269 x 25,4 mm	Sztereó hangszórók Waves MaxxAudio® Pro hangfeldolgozási technológiával és beépített digitális mikrofonnal	Gigabit LAN	Intel® Dual Band Wireless-N 7260 2x2 AGN	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 3.0 (4db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Billentyűzet világítás				
LENOVO IdeaPad Y510 59-404675	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-4700MQ Processor (6M Cache, up to 3.40 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA + 8GB ExpressCache	NVIDIA® GeForce® GT 755M 2048MB (SLI)	2.6kg	36 hónap	Nem	USB DVD-RW (vásárolható)	FreeDos	Intel® HM76 Express	386 x 258 x 35 mm	Beépített JBL® sztereó hangszórók	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	720p HD webcam	6in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Háttérvilágítású billentyűzet				
Toshiba Satellite P855-33U	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3630QM Processor (6M Cache, up to 3.40 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 640M 2048MB	2.94kg	24 hónap	4200 mAh (Lithium-ion)	Blu-ray író	Windows 8	Intel® HM77 Express	385,0 x 252,5 x 29,77 - 33,52 mm	Harman Kardon® sztereó hangszóró, Realtek (ALC280Q-GR), SRS Premium Sound 3D™ rendszerrel	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Beépített HD minőségű webkamera (1280x800) szemkövetési funkcióval és beépített mikrofonnal	2in1 Card reader	Van	Van	4db USB 3.0	http://www.youtube.com/watch?v=SDGD_Iz7P5E	Nincs	Nincs	Nincs	Nincs	Nem	Háttérvilágítású billentyűzet				
ACER V3-772G-747a8G1.12TMakk	0 Ft	17.3" FULL HD-LED AntiGlare (Matt) 1920x1080 pixel	Intel® Core™ i7-4702MQ Processor (6M Cache, up to 3.20 GHz)	8GB DDR3/1600 MHz	120GB SSD + 1TB 5400rpm SATA	NVIDIA® GeForce® GTX 760M 2048MB	3.2kg	24 hónap	4800 mAh (Lithium-ion)	8x DVD+-RW SM	Linux	Intel® HM86 Express	414,8 x 275 x 31-34.6 mm	Dolby® Home Theater® v4 hangrendszer	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Acer Crystal Eye HD webcam with	Multi in1 Card reader	Van	Van	2db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Dell Latitude E5530 154938	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-3540M Processor (4M Cache, up to 3.70 GHz)	8GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobil Intel® HM77 Express	388 x 251 x 30.2-33.2 cm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Nincs	Van	Backlit keyboard				
Dell Latitude E6230 153703	0 Ft	12.5" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3340M Processor (3M Cache, up to 3.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.38kg	36 hónap helyszíni garancia	5200 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM77 Express	309 x 226 x 25.4-20.1 mm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Opcionális 3G/HSDPA modem	2 Mpixel Full HD + Zajcsökkentő tömbmikrofon	4in1 Card reader, SmartCard olvasó	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Nincs	Van	Dokkolócsatlakozó, Backlit keyboard				
SAMSUNG Ativ Book 9 NP900X3E-K02HU	0 Ft	13.3" Full HD-LED AntiGlare (matt kijelző) 1920x1080 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	256GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.16kg	36 hónap	40 Wh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM75	313,8 x 218,5 x 12,9 mm	HD Audio	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	1,3 megapixel HD webkamera	4in1 Card reader	micro HDMI	Van	1db USB 3.0 - 1db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
Dell Latitude E6530 153707	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3340M Processor (3M Cache, up to 3.40 GHz)	6GB DDR3/1600 MHz	750GB 7200RPM SATA	Intel® GMA HD 4000	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® QM77 Express	384 x 258 x 28-34.2 cm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader	Van	Van	2db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Van	Van	Backlit keyboard				
SAMSUNG Ativ Book 9 NP900X3E-K01HU	0 Ft	13.3" Full HD-LED AntiGlare (matt kijelző) 1920x1080 pixel	Intel® Core™ i7-3537U Processor (4M Cache, up to 3.10 GHz)	4GB DDR3/1600 MHz	256GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.16kg	36 hónap	40 Wh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM75	313,8 x 218,5 x 12,9 mm	HD Audio	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	1,3 megapixel HD webkamera	4in1 Card reader	micro HDMI	Van	1db USB 3.0 - 1db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
LENOVO ThinkPad S1 Yoga 20CD000MHV_TS	0 Ft	12.5" Multi-Touch FullHD LED GlareType (1920x1080) IPS	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	16GB SSD + 500GB 5400rpm SATA	Intel® GMA HD 4400	1.63kg	36 hónap helyszíni garancia	47WHr (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8.1 Professional	Nem	316,6 x 221 x 18,8 - 19,4 mm	Dolby® Home Theater® v4 hangrendszer	Nem	Intel® 7260 2x2 AC	Bluetooth 4.0	Nincs	HD 720p webkamera	4in1 Card reader	mini HDMI	Nem	2db USB 3.0	Nem	Nem	Nem	Nem	Nincs	Nem	Háttérvilágítású billentyűzet				
LENOVO ThinkPad S1 Yoga 20CD0035HV_TS	0 Ft	12.5" Multi-Touch FullHD LED GlareType (1920x1080) IPS	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	16GB SSD + 1TB 5400rpm SATA	Intel® GMA HD 4400	1.63kg	36 hónap helyszíni garancia	47WHr (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8.1	Nem	316,6 x 221 x 18,8 - 19,4 mm	Dolby® Home Theater® v4 hangrendszer	Nem	Intel® 7260 2x2 AC	Bluetooth 4.0	Nincs	HD 720p webkamera	4in1 Card reader	mini HDMI	Nem	2db USB 3.0	Nem	Nem	Nem	Nem	Nincs	Nem	Háttérvilágítású billentyűzet				
Dell Latitude E6330 156992	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-3540M Processor (4M Cache, up to 3.70 GHz)	8GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	1.6kg	36 hónap helyszíni garancia	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM77 Express	335 x 223,3 x 25.4-20.1 mm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader, SmartCard olvasó	Van	Van	3db USB 3.0	Nem	Nincs	Van	Van	Nincs	Van	Dokkolócsatlakozó, Backlit keyboard				
Dell Latitude E6430 154939	0 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i7-3540M Processor (4M Cache, up to 3.70 GHz)	8GB DDR3/1600 MHz	750GB 7200RPM SATA	Intel® GMA HD 4000	2.0kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® QM77 Express	352 x 241 x 26.6-32.4 cm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader	Van	Van	2db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Van	Van	Backlit keyboard				
Dell Latitude E6530 154940	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-3540M Processor (4M Cache, up to 3.70 GHz)	8GB DDR3/1600 MHz	750GB 7200RPM SATA	Intel® GMA HD 4000	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® QM77 Express	384 x 258 x 28-34.2 cm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader	Van	Van	2db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Van	Van	Backlit keyboard				
DELL XPS 15 156892	0 Ft	15.6" FULL HD-LED GlareType 1980x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 640M 2048MB	2.6kg	36 hónap helyszíni garancia	6050 mAh (Lithium Polymer)	8x DVD+-RW DL drive	Windows 8	Intel® Mobile HM77	23,2 mm x 371 mm x 249 mm	Waves MaxxAudio® 4 2x2	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nem	1,3 megapixel felbontású webkamera, digitális duál tömbmikrofonnal	3in1 Card reader	Van	Nincs	3db USB 3.0	Nem	Mini DisplayPort	Nincs	Nincs	Nincs	Nincs	Angol billentyűzet				
DELL XPS 18 AIO Tablet 156884	0 Ft	18.4" FULL HD-LED Multi-Touch 1920x1080 pixel IPS	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	8GB DDR3/1600 MHz	32GB SSD + 500GB SATA 5400RPM	Intel® GMA HD 4000	2,45kg	36 hónap helyszíni garancia	69WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Intel® Mobile HM77 Express	464 x 284 x 18 mm	MaxxAudio® 4	Nincs	Killer Wireless-n 1202	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal	8in1 Card reader	Nem	Nem	2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Gyorsulásmérő, Fényszenzor, Digitális iránytű, Dell KM714 Wireless keyboard UK/Irish + Mouse				
LENOVO ThinkPad S1 Yoga 20CD0038HV_TS	0 Ft	12.5" Multi-Touch FullHD LED GlareType (1920x1080) IPS	Intel® Core™ i7-4500U Processor (4M Cache, up to 3.00 GHz)	8GB DDR3/1600 MHz	256GB Solid State Drive (SSD)	Intel® GMA HD 4400	1.63kg	36 hónap helyszíni garancia	47WHr (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8.1 Professional	Nem	316,6 x 221 x 18,8 - 19,4 mm	Dolby® Home Theater® v4 hangrendszer	Nem	Intel® 7260 2x2 AC	Bluetooth 4.0	Nincs	HD 720p webkamera	4in1 Card reader	mini HDMI	Nem	2db USB 3.0	Nem	Nem	Nem	Nem	Nincs	Nem	Háttérvilágítású billentyűzet				
DELL XPS 18 AIO Tablet 156888	0 Ft	18.4" FULL HD-LED Multi-Touch 1920x1080 pixel IPS	Intel® Core™ i7-3537U Processor (4M Cache, up to 3.10 GHz)	8GB DDR3/1600 MHz	32GB SSD + 500GB SATA 5400RPM	Intel® GMA HD 4000	2,45kg	36 hónap helyszíni garancia	69WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Intel® Mobile HM77 Express	464 x 284 x 18 mm	MaxxAudio® 4	Nincs	Killer Wireless-n 1202	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal	8in1 Card reader	Nem	Nem	2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Gyorsulásmérő, Fényszenzor, Digitális iránytű, Dell KM714 Wireless keyboard UK/Irish + Mouse				
DELL XPS 27 AIO PC 155053	0 Ft	27" WQHD-LED Touch AntiGlare (2560x1440) IPS	Intel® Core™ i5-4430S Processor (6M Cache, up to 2.7 GHz)	4GB DDR3/1600 MHz	1TB 7200RPM SATA	NVIDIA® GeForce® GT 750M 2048MB	15.95 kg	36 hónap helyszíni garancia	Nem	8x DVD+-RW DL drive	Windows 8	Intel H77	490,75 x 664 x 31,76 - 71,6 mm	Waves MaxxAudio® Pro	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Beépített FullHD (1080p) kamera tömbmikrofonokkal	8in1 Card reader	HDMI 1.4	Nem	4db USB 3.0 + 2db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Dell KM714 Wireless Keyboard & Mouse UK/Irish				
