TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Bill.	Specifikáció	Softver	SDD
acer Aspire E1-530-21174G75MNK - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	4GB DDR3 memória	750 GB SATA HDD		Intel HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Ultrabook Aspire V7-581-53334G1.02Takk - Fekete - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	1000 GB SATA HDD + 20GB Cache SSD		Intel®HD Graphics 4000	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-581-53334G12aii - Ezüst - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	-	120 GB	Intel®HD Graphics 4000	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate TMP253-M-33114G50Maks - Matt kijelző - Most 3 év garanciával!	0 Ft	15,6"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		Intel® HD Graphics 4000	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V3-772G-54208G1.12TMAKK Fekete - Már 2 év garanciával!	0 Ft	17.3"		Full HD 1920 x 1080 felbontású, Acer ComfyView™ MATT LCD	Intel® Core™ i5-4200M (3M Cache, 2.5 to 3.10 GHz)	8GB DDR3 memória	1 TB SATA HDD	120GB	NVIDIA® GeForce® GTX 760M 2GB	414 x 275 x 34.8/36.1 mm, 3.4 kg	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 3.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS Acer Crystal Eye webkamera 1.3MPix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 2x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-570-33214G50Mnkk - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	500GB		Intel®HD Graphics 4000	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD Super-Multi dvd író	Windows 8	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-572 - 54204G1TMnii Fekete - Matt kijelző! - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású MATT kijelző, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-4200U ( 1,60GHz - 2,60GHz 3MB)	4GB DDR3 memória	1 TB		Intel® HD Graphics 4400	381 x 256 x 25.3 mm / 2.35 kg	2 év	2500 mAh. 4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Travelmate B113-M-53334G50tkk - Matt kijelző - Most 3 év garanciával!	0 Ft	11.6"	1366x768	Acer ComfyView WXGA nagy fényerejű, tükröződésmentes MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i5-3337U (3M Cache, 1.80 - 2.70GHz)	4GB DDR3 memória	500 GB S-ATA merevlemez		Intel® HD Graphics 4000	1.38kg	3 év + véletlen sérülésre is!	4-cellás lítium-ion akkumulátorakár 5 óra akkumulátor üzemidő	-----	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 2-az-egyben kártyaolvasó (SD™, MMC) * 2 x USB 2.0 * 1 x USB 3.0 * 1 x HDMI™ csatlakozó * 1 x csatlakozó külső kijelzőhöz (VGA) * 1 x Gigabit Ethernet (RJ-45) csatlakozó * 1 x Mikrofon csatlakozó * 1 x Audio kimenet csatlakozó * 1 x hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-581-53334G12akk - Fekete - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	-	120 GB	Intel®HD Graphics 4000	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate B113-M-33214G50akk - Matt kijelző - Most 3 év garanciával!	0 Ft	11.6"	1366x768	Acer ComfyView WXGA nagy fényerejű, tükröződésmentes MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	500 GB S-ATA merevlemez		Intel® HD Graphics 4000	1.38kg	3 év + véletlen sérülésre is!	4-cellás lítium-ion akkumulátorakár 5 óra akkumulátor üzemidő	-----	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 2-az-egyben kártyaolvasó (SD™, MMC) * 2 x USB 2.0 * 1 x USB 3.0 * 1 x HDMI™ csatlakozó * 1 x csatlakozó külső kijelzőhöz (VGA) * 1 x Gigabit Ethernet (RJ-45) csatlakozó * 1 x Mikrofon csatlakozó * 1 x Audio kimenet csatlakozó * 1 x hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V5-473G-54204GTaii - Szürke - Már 2 év garanciával!	0 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-4200U (3M Cache, 1.60 to 2.60 GHz)	4GB DDR3 memória	1000 GB SATA HDD		NVIDIA® GeForce® GT 740 2GB	340 x 240 x 18-20.5 mm / 1.95 kg	2 év	4-cellás Li-ion akkumulátor	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3MPixGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91- gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-530-21174G50Mnrr - Piros - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	4GB DDR3 memória	500GB GB SATA HDD		Intel HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire V5-572G-33214G1Taii - Szürke - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer ComfyView™ LED-háttérvilágítású MATT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	1000GB		NVIDIA® GeForce® GT 720M 2GB	381.6 x 256 x 23 mm~2.0 kg	2 év	4-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate B113-E-21174G50tkk - Matt kijelző - Most 3 év garanciával!	0 Ft	11.6"	1366x768	Acer ComfyView WXGA nagy fényerejű, tükröződésmentes MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	4GB DDR3 memória	500 GB S-ATA merevlemez		Intel® HD Graphics	1.38kg	3 év + véletlen sérülésre is!	4-cellás lítium-ion akkumulátorakár 5 óra akkumulátor üzemidő	-----	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 2-az-egyben kártyaolvasó (SD™, MMC) * 2 x USB 2.0 * 1 x USB 3.0 * 1 x HDMI™ csatlakozó * 1 x csatlakozó külső kijelzőhöz (VGA) * 1 x Gigabit Ethernet (RJ-45) csatlakozó * 1 x Mikrofon csatlakozó * 1 x Audio kimenet csatlakozó * 1 x hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-571-73634G75MNKS - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3632QM (6M Cache, 2.20 to 3.20 GHz)	4GB DDR3 memória	750 GB SATA HDD		Intel HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Travelmate P653-M-53234G50Mtkk - Matt kijelző - Most 3 év garanciával!	0 Ft	15.6"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel Core i5-3230 (3M Cache, up to 3.2 GHz)	4GB DDR3	500 GB		nVIDIA GeForce GT 640 1GB	n/a	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 3.0* 1x USB/eSATA kombó * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó* 1 Express Card* 1 Acer ProDock csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate TMP455-M-54204G50Mtkk - Matt kijelző - Most 3 év garanciával!	0 Ft	15.6"	1366x768	Acer ComfyView WXGA nagy fényerejű MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i5-4200U (3M Cache, up to 2.60 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA		Intel®HD Graphics 4400	38,16 cm x 25,6 cm (2,4 kg)	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 7 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Windows 8 Pro / Windows 7 Pro - Dual load	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 1 x USB 3.0 * 2 x USB 2.0 * 1 x HDMI™ csatlakozó * 1 x csatlakozó külső kijelzőhöz (VGA) * 1 x Gigabit Ethernet (RJ-45) csatlakozó * 1 x Mikrofon csatlakozó * 1 x Vonalbemenet csatlakozó * 1 x hálózati tápegység csatlakozó * 1 x Express Card	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentésAcer Bio Protection ujjlenyomat olvasó				
acer Aspire E1-572 - 34014G50Mnkk - Fekete - Matt kijelző! - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású MATT kijelző, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-4010U (3M Cache, 1.70 GHz)	4GB DDR3 Low Voltage	500 GB		Intel® HD Graphics 4400	381 x 256 x 25.3 mm / 2.35 kg	2 év	2500 mAh. 4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
