TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU	RAM	RAM Típus	HDD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	WLAN	Modem	USB	USB 3	FP	CR	BT	FW	Audio	Kamera	TV in	VGA ki	Portok	HSDPA	Szín	Dokk	Szoftverek	Tartozék	Backlit KB	Info	Mely típushoz	Méret	Foglalat típusa	Kiszerelés	Magszám	Valós frekvencia	Szorzó	Cache	L1 Cache	L2 Cache	L3 Cache	FSB	Egyéb képességek	FDD	Busz
LENOVO NB ThinkPad Edge E530, 15.6" HD, Intel Pentium B970 2.30GHz, 4GB, 500GB, DVD-RW, NVIDIA Geforce 610M 1GB,DOS, 6cell	121576 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Pentium	4096	DDRIII	500	n.a.	2,57	1 év szervizgarancia	6 cella	DVD-RW +/- DL	DOS	10/100/1000	802.11a/g/n	Nem	3		Igen	Nem	4.0		Igen		Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB porton			Nem	http																
Packard Bell NB EASYNOTE_F5211-BZ-452HG 15.6" AMD E1-1200 (Dual Core 1,4 Ghz), 4GB, 320GB, DVD-RW SM, AMD UMA, Card Reader, Linux, 6cell, fekete	75816 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRII	320	AMD GMA HD	2,59	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	1,3	Nem	D-Sub	n.a.	Nincs	Fekete	USB porton			Nem	http																
HPQ NB Elitebook 2570p 12.5" HD Core i5-3360M 2,8GHz, 4GB, 500GB, DVD-RW, BT, FPR, WWAN, Win 7 Prof. 64bit, 6cell	318552 Ft	12,5	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	1,8	3 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n	Nem	1	1	Igen	Igen	4.0		Igen	0,92	Nem	D-Sub + Display Port	eSATA	Beépítve	Ezüst	USB/dokkoló porton	-		Igen	http																
ACER NB V3-551G-10468G1TMaii_Lin 15.6" WXGA, AMD A10-4600M (Quad-Core 3.0 GHz / 2.3 GHz), 8GB, 1TB HDD, Ati HD7670M-2Gb, DVD-RW, BT 4.0, Card reader, Linux, 6cell, Fényes szürke	145496 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	8192	DDRIII	1000	AMD Radeon HD 7670M	2,4	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11a/b/g/n	Nem	2	1	Nem	Igen	4.0		Igen	1,3	Nem	HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
SONY NB Vaio VPC-Z21V9E 13.1" WXGA Core i7-2620M 2.7GHz, 8GB, 256GB SSD, DVD-RW, ATI HD 6650M + Intel HD, Win 7 Pro. 6cell, karbonfekete	702936 Ft	13,1	Matt	1600 x 900 (WUGA) 16	Intel Core i7	8192	DDRIII	256	ATI Radeon HD6650	1,2	2 év el- és visszaszállításos garancia	n.a.	DVD-RW SUPERMULTI DL	MS W. 7 Professional 64bit HU	10/100/1000	802.11b/g/n	Nem	1	1	Igen	Igen	3.0		Igen	1,31	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Igen	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i3-3110M 2.3GHz, 4GB, 500GB, DVD-RW, Intel HD 4000, Linux, 6cell, ezüst	122720 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Intel HD Graphics 4000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
SAMSUNG NB NP200B5B 15.6" LED Matt, 1366 x 768, Core i3 2350M 2.30 GHz, 4GB, 500GB, HDMI, DSUB, eSATA + USB, Intel HD 3000, Win 7 Prof. 64bit HU, 6cell, fekete	197590 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Intel HD Graphics 3000	2,5	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n	Nem	2	2	Igen	7-1	3.0		Igen	1,3	Nem	D-Sub + HDMI	eSATA	n.a.	Fekete	USB/dokkoló porton	WindowsŽ 7 Professional (64-bit)	TPM, Free Fall Sensor	Nem	http																
HPQ NB HP 630 15.6" HD Core i3-2310M 2.1GHz, 2GB, 500GB, DVD-RW, Linux, 6cell	96616 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i3	2048	DDRIII	500	Intel GMA HD	2,53	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
LENOVO NB IdeaPad G580GH, Intel Pentium B950, 15.6" HD, Intel HD Graphics, 4GB, 750GB, DVDąRW, DOS, 6 Cell Dark Brown	96304 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	Intel Pentium	4096	DDRIII	750	Intel HD Graphics 3000		2 év szervizben	6 cella	DVD-RW +/-	DOS	10/100	802.11g/n	Nem	4		Nem	Igen	2.1			0,3		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
HPQ NB HP G6-1313SH 15.6" HD BV A6-3420M QC 1.5GHz, 4GB, 750GB, DVD-RW, BT, AMD HD7450M 1GB, Win 7 HPrem. 64 bit, 6 cell, szénszürke	120536 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRIII	750	AMD Radeon HD 7450M	2,3	2 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11b/g/n	Nem	3		Nem	Igen	2.1		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
Packard Bell NB EASYNOTE_F5211-HC-454HG 15.6" LED, Intel Celeron B820 1.7GHz, 4GB, 500GB, DVD-RW SM, Intel UMA, Linux, 6cell, fekete	72488 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Celeron	4096	DDRIII	500	Alaplapi Integrált VGA	2,6	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	1,3	Nem	D-Sub	n.a.	Nincs	Fekete	USB porton			Nem	http																
