TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU	RAM	RAM Típus	HDD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	WLAN	Modem	USB	USB 3	FP	CR	BT	FW	Audio	Kamera	TV in	VGA ki	Portok	HSDPA	Szín	Dokk	Szoftverek	Tartozék	Backlit KB	Info	Mely típushoz	Méret	Foglalat típusa	Kiszerelés	Magszám	Valós frekvencia	Szorzó	Cache	L1 Cache	L2 Cache	L3 Cache	FSB	Egyéb képességek	FDD	Busz
LENOVO NB IdeaPad Z580G, Intel Core i5-3210M, 15.6" HD, nVidia Geforce GT 630M, 8GB, 1TB, DVDąRW, DOS, Fehér, 6 Cell	160472 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	Intel Core i5	8192	DDRIII	1000	nVIDIA GeForce GT 630M		2 év szervizben	6 cella	DVD-RW +/-	DOS	10/100	802.11g/n	Nem	4		Nem	Igen	2.1		Igen	1	Nem	HDMI	n.a.	Nincs	Fehér	USB porton	n.a.	n.a.	Nem	http																
TOSHIBA NB Satellite C870-13N, 17.3" 1600x900, Intel Core i3-2370M 2.1GHz, 4GB, 640GB, Radeon HD 7610M, DVD-RW DL, NoOs, 6 cell, Fekete	138424 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i3	4096	DDRIII	640	AMD Radeon Integrated Graphics	3,1	2 év szervizben	6 cella	DVD-RW	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1		Igen	4.0		Igen	1		HDMI	n.a.	n.a.	Fekete		n.a.	n.a.	n.a.	http																
LENOVO NB ThinkPad Edge E535, 15.6" HD, AMD A4-4300M Dual Core 2.50 GHz, 4GB, 500GB, DVD-RW, AMD Radeon Integrated, DOS, 6cell	113048 Ft	15,6	Matt	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRIII	500	AMD Radeon Integrated Graphics	2,36	1 év szervizgarancia	6 cella	DVD-RW +/- DL	DOS	10/100/1000	802.11b/g/n	Nem	4		Nem	Nem	3.0		Igen			D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton			Nem	http																
LENOVO NB ThinkPad Edge E335, 13.3" HD, AMD E2-1800 Dual Core 1.70 GHz, 4GB, 500GB, AMD Radeon HD 7340 Graphics, DOS, 6cell	109096 Ft	15,6	Matt	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRIII	500	AMD Radeon HD 7340	2,36	1 év szervizgarancia	6 cella	Nem	DOS	10/100/1000	802.11b/g/n	Nem	4		Nem	Nem	3.0		Igen			D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton			Nem	http																
LENOVO NB IdeaPad S300, Intel Core i5-3317U, 13.3" Flat LED HD, Intel HD Graphics, 4GB, 24GB+500GB, nincs optikai meghajtó, Win 7 Home Prem, szürke szín, 4 Cell	160472 Ft	13,3	n.a.	1360 x 768 (WXGA) HD Ready	Intel Core i5	4096	DDRIII	524	Intel GMA HD	1,8	2 év szervizben	4 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	3		Nem	Igen	4.0			1		HDMI	n.a.	n.a.	Szürke		n.a.	n.a.	n.a.	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i7-3632 2.2GHz, 6GB, 1TB, DVD-RW, Intel HD, Linux, 6cell, ezüst	164528 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i7	6144	DDRIII	1000	Intel HD Graphics 4000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 7720 17.3" FHD AG, Intel Core i5-3210M 2.50GHz 4GB 750GB DVD-RW, 2GB GeForce GT 650M, Linux, 6cell, Ezüst	186992 Ft	17,3	Matt	1920 x 1080 (HD1080) 16	Intel Core i5	4096	DDRIII	750	nVIDIA GeForce GT 650M	3,28	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100	802.11g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
DELL NB Inspiron 3520 15.6" HD, Intel Core i5-3210 2.50GHz, 4GB, 750GB, DVD-RW, Intel HD 4000, Linux, 6cell, Fekete	120328 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	750	Intel HD Graphics 4000	2,37	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem	3		Nem	3-1	3.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
LENOVO NB IdeaPad B580, 15.6" HD LED, Intel Core i5-3210M, 4GB, 500GB, DVD-RW, Intel HD Graphics, 6 Cell, DOS, Fekete	121264 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	2,7	2 év szervizben	6 cella	DVD-RW	DOS	10/100/1000	802.11b/g/n	Nem	3		Igen	n.a.	4.0		Igen	0,3	Nem	HDMI	n.a.	Nincs	Fekete	USB porton		Numerikus bill	Nem	http																
SAMSUNG NB NP700Z5C, 15.6 LED Matt 1600x900, Core i5 3210M 3.10GHz, 6GB, 1000GB, HDMI, DSUB, NVIDIA GT 640M 1GB DDR5, Win 8- 64 bit, 8cell, alumínium	234520 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	6	DDRIII	1000	nVIDIA GeForce GT 640M	2,4	2 év szervizben	8 cella	DVD-RW SUPERMULTI DL	MS W. 8 64bit HU	10/100/1000	802.11a/b/g/n	n.a.	1	2	n.a.	4-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Szürke	USB porton			n.a.	http																
TOSHIBA NB Satellite C855-1UT, 15.6" 1366x768, Intel Pentium B960 2.2GHz, 2GB, 500GB, Intel GMA HD, DVD-RW DL, NoOs, 6 cell, Fehér	90823 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	2048	DDRIII	500	Intel GMA HD	2,3	2 év szervizben	6 cella	DVD-RW +/- DL	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1		Igen	4.0			1		HDMI	n.a.	Nincs	Fehér		n.a.	n.a.	n.a.	http																
DELL NB Inspiron N5110 15.6" 1366x768, Intel Pentium B960 2.2GHz, 2GB, 320GB, DVD-RW, Radeon HD 6470M, Win 7 HPrem 64bit, 6cell, fekete	120536 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium	2048	DDRIII	320	Intel GMA HD	2,65	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU	10/100	802.11b/g/n	Nem	2	2	Nem	8-1	2.1		Igen	1	Nem	D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton		CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i3-2370M 2.4GHz, 4GB, 500GB, DVD-RW, Radeon 7670, Linux, 6cell, ezüst	138840 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Linux	10/100	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i3-2370M 2.4GHz, 4GB, 500GB, DVD-RW, Radeon 7670, Linux, 6cell, rózsaszín	138840 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Rózsaszín	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i3-2370M 2.4GHz, 4GB, 1TB, DVD-RW, Radeon 7670, Linux, 6cell, kék	144456 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	1000	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Kék	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Vostro 3360 13.3" Intel Core i7-3517 1.9GHz, 4GB, 320GB, Intel HD 4000, Linux, 4cell, Bronz	195000 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i7	4096	DDRIII	320	Intel HD Graphics 4000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Bronz	USB porton			Nem	http																
SONY NB Vaio VPC-CA4S1E 14" WXGA Core i3-2350M 2.3GHz, 4GB, 640GB, DVD-RW, ATI HD 6470M, Win 7 HPrem. 6cell, zöld	161096 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	640	AMD Radeon HD 6470	1,43	2 év el- és visszaszállításos garancia	n.a.	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem	3	1	Nem	Igen	4.0		Igen	1,31	Nem	D-Sub + HDMI	n.a.	Beépítve	Zöld	USB porton			Igen	http																
DELL NB Latitude E5430 14.0" HD+ Intel Core i5-3320M 2.60GHz 4GB 500GB, DVD-RW, Win 7 Prof 64bit, 6cell	217048 Ft	14,00	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4.096	DDRIII	500	Intel HD Graphics 4000	2,14	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n	Nem	1	3	Igen	n.a.	2.1		Igen	2,00	Nem	n.a.	n.a.	Nincs	Ezüst	USB/dokkoló porton			Igen	http																
LENOVO NB ThinkPad T430, 14.0" HD+, Intel Core i5-3320M 2.6 GHz, 4GB, 500GB HDD, DVD-RW, nVIDIA NVS 5400M 1GB Optimuss, vPro, SmartCard Reader, Win7Pro64, 6cell	270296 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	nVIDIA Quadro NVS 5400	2,8	3 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/g/n	Nem	3		Igen	4-1	n.a.		Igen	2	Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card (34mm)	Igen	http																
LENOVO NB ThinkPad T530, 15.6" HD+, Intel Core i5-3210M 2.50 GHz, 4GB, 128GB SSD, DVD-RW, NVIDIA NVS 5400M 1GB Optimus, Win7Pro64, 6cell	289016 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	128	Intel HD Graphics 3000	2,57	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/g/n	Nem	1	2	Igen	4-1	2.1		Igen	0,9	Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card	Igen	http																
HPQ NB Elitebook 2170p 11.6" HD Core i7-3667U 2GHz, 4GB, 180GB SSD, BT, FPR, WWAN, Win 7 Prof. 64bit, 6cell	453024 Ft	11,6	Matt	1366 x 768 (WXGA) 16	Intel Core i7	4096	DDRIII	180	Intel HD Graphics 4000	1,42	3 év szervizben	6 cella	Nem	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n	Nem		2	Igen	Igen	4.0		Igen	0,92	Nem	D-Sub + Display Port	eSATA	Beépítve	Ezüst	USB/dokkoló porton	-		Igen	http																
HPQ NB EliteBook 8470p 14" HD+ Core i7-3520M 2.9GHz, 4GB, 500GB, DVD-RW, AMD 7570M 1GB, BT, FPR, WWAN, Win 7 Prof 64 bit, 6cell	337168 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i7	4096	DDRIII	500	AMD Radeon HD 7570	2,25	3 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	1	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Beépítve	Ezüst	USB/dokkoló porton			Igen	http																
HPQ NB HP 655 15.6" HD E2-1800 1.7GHz, 2GB, 320GB, DVD-RW, Linux, 6cell, táska	83096 Ft	15,6	Matt	1366 x 768 (WXGA) 16	AMD E2-1800 Accelerated	2048	DDRIII	320	AMD Radeon Integrated Graphics	2,45	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
HPQ NB ProBook 4540s 15.6" HD Core i5-2450M 2.5GHz, 4GB, 750GB, DVD-RW, BT, Linux, 6cell, táska	153712 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4192	DDRIII	750	Intel HD Graphics 3000	2,47	3 év szervizben	6 cella	DVD-RW +/- DL	Linux	10/100/1000	802.11b/g/n	Nem	2	2	Nem	Igen	4.0		Igen	0,92	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton		táska	Nem	http																
TOSHIBA NB Satellite P770-12R, 17.3" 1366x768, Intel Core i5-2450M 2.5GHz, 8GB, 750GB, nV GF GT 570M, DVD-RW DL, Win7 Hprem, 6 cell, Fekete	193440 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i5	8192	DDRIII	750	nVIDIA GeForce GT 555	3	2 év szervizben	6 cella	DVD-RW	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n		3	1		Igen	4.0		Igen	1		HDMI	n.a.	n.a.	Fekete		n.a.	n.a.	n.a.	http																
LENOVO NB ThinkPad L430 14.0" HD, Core i5-3210M 2.50GHz, 4GB, 500GB, Win 7 Prof 64bit, 6cell	187720 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 3000		1 év szervizgarancia	6 cella	Nem	MS W. 7 Professional 64bit HU/ENG		n.a.				Igen		3.0		n.a.	0,98	n.a.	Nincs	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
LENOVO NB IdeaPad S300 Intel Core i3-2365, 13.3" Flat LED HD, Intel HD Graphics, 4GB, 24GB+500GB, nincs optikai meghajtó, Win 7 Home Prem, szürke szín, 4 Cell	136448 Ft	13,3	n.a.	1360 x 768 (WXGA) HD Ready	Intel Core i3	4096	DDRIII	524	Intel GMA HD	1,8	2 év szervizben	4 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	3		Nem	Igen	4.0			1		HDMI	n.a.	n.a.	Szürke		n.a.	n.a.	n.a.	http																
DELL NB Inspiron 5720 17.3" HD+, Intel Core i5-3210M 2.50GHz 4GB, 500GB, DVD-RW, Intel HD 4000, Linux, 6cell, Ezüst	140400 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	3,28	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
DELL NB Inspiron 3520 15.6" HD, Intel Core i3-2370 2.40GHz, 4GB, 500GB, DVD-RW, Intel HD 3000, Linux, 6cell, Fekete	104312 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Intel HD Graphics 3000	2,37	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem	3		Nem	3-1	3.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
SAMSUNG NB NP300E5C, 15.6 LED Matt 1366x768, Pentium B970 2,30GHz, 4GB, 750GB, HDMI, DSUB, NVIDIA GT 620M 1 GB DDR3, Windows 8 - 64 bit, 6cell, kék-ezüst	110656 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Pentium B970	4	DDRIII	750	nVIDIA GeForce GT 620	2,34	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 8 64bit HU	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			Nem	http																
HPQ NB Spectre XT Pro 13.3" HD BV Core i5-3317U 1.7GHz, 4GB, 128GB SSD, BT, Win 7 Prof. 64 bit, angol lokalizáció	261976 Ft	13,3	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	128	Intel GMA HD	1,42	1 év el- és visszaszállításos garancia	4 cella	Nem	MS W. 7 Professional 64bit ENG	10/100/1000	802.11b/g/n	Nem	1	1	Nem	Igen	4.0		Igen	0,92	Nem	HDMI	n.a.	Nincs	Ezüst	USB porton		Beats audio	Igen	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i3-2370M 2.4GHz, 4GB, 500GB, DVD-RW, Intel HD 3000, Linux, 6cell, kék	128336 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Intel HD Graphics 3000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Kék	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
LENOVO NB ThinkPad T530, 15.6" HD+, Intel Core i5-3210M 2.50 GHz, 4GB, 500GB, DVD-RW, NVIDIA NVS 5400M 1GB Optimus, Win7Pro64, 6cell	250744 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	nVIDIA NVS 5100	2,57	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/g/n	Nem	3		Igen	4-1	2.1		Igen	0,9	Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card	Igen	http																
DELL NB Vostro 3460 14.0" Intel Core i5-3210 2.5GHz, 4GB, 500GB, DVD-RW, Intel HD, Linux, 6cell, Piros	182936 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton		34mm Express Card	Igen	http																
LENOVO NB ThinkPad X230i, 12.5" HD, Intel Core i3-2370M 2.4GHz, 4GB, 500GB HDD, Intel HD Graphics, Win7 Prof 64, 6cell	221936 Ft	12,5	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	1,3	3 év szervizben	6 cella	Nem	MS W. 7 Professional 64bit ENG	10/100/1000	802.11a/g/n	Nem	1	2	Igen	Igen	n.a.		Igen	0,9	Nem	Mini-Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton			Igen	http																
HPQ NB ProBook 6570b 15.6" HD+, Core i5-3210M 2.5GHz, 4GB, 500GB, DVD-RW, AMD HD7570M 1GB, BT, FPR, Win 7 Prof 64 bit, 6cell	233792 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	AMD Radeon HD 7570	2,6	3 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	2	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Nincs	Szürke	USB/dokkoló porton	-	1x ExpressCard/54, 1x médiakártya-olvasó	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i5-3210M 2.5GHz, 4GB, 500GB, DVD-RW, Radeon 7670, Linux, 6cell, piros	140400 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i5-3210M 2.5GHz, 4GB, 500GB, DVD-RW, Radeon 7670, Linux, 6cell, ezüst	140400 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Vostro 3460 14.0" Intel Core i5-3210 2.5GHz, 6GB, 500GB, DVD-RW, Intel HD, Win 7 HPrem, 6cell, Ezüst + 3G/HSDPA	215072 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i5	6144	DDRIII	500	Intel HD Graphics 4000	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton		34mm Express Card	Igen	http																
LENOVO NB IdeaPad U410, Intel Core i3-2377M, 14.0" HD, nVidia Geforce GT 610M, 4GB, 500GB, nincs optikai meghajtó, Win 7 Home Prem, ruby red szín, 4 Cell	160472 Ft	14	n.a.	1360 x 768 (WXGA) HD Ready	Intel Core i3	4096	DDRIII	500	nVIDIA GeForce GT 610		2 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	4		Nem	Igen	3.0			1		HDMI	n.a.	n.a.	Vörös		n.a.	n.a.	n.a.	http																
TOSHIBA NB Portege R830-194, 13.3" 1366x768, Intel Core i5-2435M 2.4GHz, 4GB, 500GB, Itel GMA HD, DVD-RW DL, Win7 Prof, 6 cell, -	211744 Ft	13,3	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel GMA HD	1,63	3 év szervizben	6 cella	DVD-RW	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n		1	1	n.a.	Igen	3.0		Igen	1		HDMI	n.a.	Beépítve	Fekete	USB/dokkoló porton	n.a.	n.a.	Igen	http																
LENOVO NB IdeaPad Y580, Intel Core i7-3630QM, 15.6" Full HD, 8GB, 32GB SSD + 1TB, nVidia Geforce GTX 660M, DVDąRW, Win 7 Home Prem, metál szürke szín, BL Keyboard 6 Cell	280904 Ft	15,6	Fényes	1920 x 1080 (HD1080) 16	Intel Core i7	8192	DDRIII	1032	nVIDIA GeForce GTX 660M		2 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	4		Nem	Igen	3.0			1		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
LENOVO NB IdeaPad S400 Intel Core i3-2365, 14.0" Flat LED HD, AMD HD7450 1GB, 4GB, 500GB, nincs optikai meghajtó, DOS, szürke szín, 4 Cell	120328 Ft	14	n.a.	1360 x 768 (WXGA) HD Ready	Intel Core i3	4096	DDRIII	500	AMD Radeon HD 7450M	1,8	2 év szervizben	4 cella	DVD-RW +/-	DOS	10/100	802.11g/n	Nem	3		Nem	Igen	4.0		Igen	1	Nem	HDMI	n.a.	Nincs	Szürke		n.a.	n.a.	Nem	http																
DELL NB Inspiron 7720 17.3" FHD AG, Intel Core i7-3630QM 2.40GHz 8GB 1TB DVD-RW, 2GB GeForce GT 650M, Linux, 6cell, Ezüst	240760 Ft	17,3	Matt	1920 x 1080 (HD1080) 16	Intel Core i7	8192	DDRIII	1000	nVIDIA GeForce GT 650M	3,28	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100	802.11g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
SAMSUNG NB NP700Z3C, 14.0 LED Matt 1600x900, Core i5 3210M 3.10GHz, 6GB, 1000GB, HDMI, DSUB, NVIDIA GT 630M 1GB DDR5, Win 8- 64 bit, 8cell, alumínium	231192 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i5	6	DDRIII	1000	nVIDIA GeForce GT 630M	2,07	2 év szervizben	8 cella	DVD-RW SUPERMULTI DL	MS W. 8 64bit HU	10/100/1000	802.11a/b/g/n	n.a.	1	1	n.a.	4-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Szürke	USB porton			n.a.	http																
DELL NB Latitude E5520 15.6" HD Intel Core i3-2350M 2.30GHz 2GB 320GB, DVD-RW,HSDPA modem , Windows 7 Professional 32 bit, 6cell, Metál + táska	202696 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i3	2048	DDRIII	320	Intel GMA HD	2,33	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	MS W. 7 Professional 32bit HU	10/100/1000	802.11a/b/g/n	Nem	4		Igen	Igen	3.0	1	Igen	2	Nem	D-Sub + HDMI	eSATA	Beépítve	Ezüst	USB/dokkoló porton		táska	Igen	http																
