TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Lenovo B580 Black 59-340058 W7	129843 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN			fekete	10/100/1000	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	2 in 1	van			van											
Dell Inspiron M5110 Black E2 W7	129843 Ft	15.6ʺ HD (1366x768)	AMD E2-3000M (1800)	2048 (DDR3) MB	320 GB	AMD Radeon HD 6380G	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Acer Aspire 5742G-564G50Mnkk Black LX 2Y 8GB	130630 Ft	15.6ʺ HD LED (1366x768)	Core i5 560M (2660)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 610M	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)			fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Lenovo IdeaPad Z580G Black 59-334233 FD	130630 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad		fekete	10/100	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	van	van														
Dell Inspiron N5110 UTS i3 GF FD 3814579 8GB	131417 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 525M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Fujitsu LifeBook A531 i5 M NoOs	131417 Ft	15.6ʺ HD (1366x768)	Core i5 2430M (2400)	4096 (DDR3) MB	500 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Fujitsu LifeBook S751 Black W7 Pro D	133780 Ft	14ʺ HD LED (1366x768)	Core i5 2520M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics	DVDRW SM	3 év	6200 mAh	Windows7 Prof 64Bit HUN	Lifebook	Lifebook S	fekete	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	4 in 1			e-SATA/USB	van	van	Előkészítés modem nélkül	van	nincs							
Samsung NP300E5Z-S03HU M i3 Silver FD	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GT 520MX	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)	Samsung	Samsung N	ezüst	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	SD card	van														
HP Pavilion G6-2100SH B7F99EA W7 8GB	133780 Ft	15.6ʺ LED HD BV (1366x768)	AMD A8-4500M (2100)	8192 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		szürke	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	2 in 1	van														
Samsung NP300E5Z-S07HU Silver FD	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GT 520MX	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)	Samsung	Samsung N	ezüst	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	SD card	van														
Fujitsu LifeBook E751 Black W7 Pro D	133780 Ft	15.6ʺ HD LED (1366x768)	Core i5 2520M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics	DVDRW SM	3 év	6200 mAh	Windows7 Prof 64Bit HUN	Lifebook	Lifebook E	fekete	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Track point + Touch pad	Új	van	van	VGA	van	4 in 1			e-SATA/USB	van	van	Előkészítés modem nélkül	van	van							
Dell Inspiron N5110 Blue i3 FD 3614045	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		kék	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Dell Inspiron M5110 Black E2 W7 4GB	133780 Ft	15.6ʺ HD (1366x768)	AMD E2-3000M (1800)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6380G	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Dell Inspiron N5110 Red i3 FD 3514045	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		piros	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Samsung NP300E5A-S06HU Silver W7	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	6144 (DDR3) MB	750 GB	1024 MB NVIDIA GT 520MX	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	ezüst	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	SD card	van														
Samsung NP300E5C-S03HU Silver Blue W7	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF 610M	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell Inspiron N5110 Black i3 FD 3414045	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Dell. Inspiron N5110n Blue i3 RD FD 3114086	134567 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	512 MB AMD Radeon HD 6470M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		kék	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Dell. Inspiron N5110n Red i3 RD FD 3014088	134567 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	512 MB AMD Radeon HD 6470M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		piros	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Dell. Inspiron N5110n Black i3 RD FD 3014086	134567 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	512 MB AMD Radeon HD 6470M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Dell Inspiron N5110 Black i5 M NV FD 3914579	137717 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 2450M (2500)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 525M	DVDRW SM	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Lenovo B580 Black 59-340058 W7 8GB	137717 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN			fekete	10/100/1000	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	2 in 1	van			van											
Lenovo IdeaPad G580AH Brown 59-346897 FD	137717 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF 610M	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		5 in 1	van														
Toshiba Satellite L735-137 Silver W7	137717 Ft	13.3ʺ HD LED (1366x768)	Core i3 2330M (2200)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF 315M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Satellite	Satellite L	ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Dell. Inspiron 5520 Red i5 LX 3214423	138504 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Blue i5 LX 3114422	138504 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		kék	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Silver i5 LX 3514422	138504 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 White i5 LX 3214422	138504 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Toshiba Satellite C870-13N Black NoOs	139291 Ft	17.3ʺ LED HD+ (1600x900)	Core i3 2370M (2400)	4096 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 7610M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite		fekete	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell. Inspiron N5110n Red i3 NV FD 3114088	141654 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	1000 GB	1024 MB NVIDIA GF GT 525M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		piros	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Dell. Inspiron N5110n Black i3 NV FD 3314086	141654 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	1000 GB	1024 MB NVIDIA GF GT 525M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Toshiba Satellite L735-137 Silver W7 6GB	141654 Ft	13.3ʺ HD LED (1366x768)	Core i3 2330M (2200)	6144 (DDR3) MB	500 GB	1024 MB NVIDIA GF 315M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Satellite	Satellite L	ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
HP ProBook 4530s A6E11EA LX	141654 Ft	15.6ʺ HD LED (1366x768)	Core i5 2450M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 3000	DVDRW	1 év	6 cellás	nincs (L)	ProBook	ProBook	ezüst	10/100/1000	3x2.0.1x3.0	b/g 54mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van	Ajándék táska			van										
Dell. Inspiron N5110n Blue i3 NV FD 3414086	141654 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	1000 GB	1024 MB NVIDIA GF GT 525M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		kék	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Toshiba Satellite L830-119 White W7	141654 Ft	13.3ʺ HD LED (1366x768)	Core i3 2377M (1500)	4096 (DDR3) MB	640 GB	Intel integrált	DVDRW SM	2 év	4200 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Satellite	Satellite L	fehér	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0		van														
Packard Bell EasyNote TS11-HR-354HG	141654 Ft	15.6ʺ HD LED (1366x768)	Core i3 2330M (2200)	3072 MB	500 GB	Intel Media Accelerator HD	DVDRW SM	1 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN			fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	van	van														
Dell Inspiron N5110 Black i5 M NV FD 3914579 8GB	145591 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 2450M (2500)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 525M	DVDRW SM	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Toshiba Satellite L735-137 Silver W7 8GB	145591 Ft	13.3ʺ HD LED (1366x768)	Core i3 2330M (2200)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF 315M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Satellite	Satellite L	ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Lenovo IdeaPad Z575AM 59-310327 W7	145591 Ft	15.6ʺ HD LED (1366x768)	AMD A6-3400M (1400)	4096 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 6770	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad		ezüstszürke	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van		e-SATA/USB												
HP ProBook 4530s Silver A6D97EA LX	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 2450M (2500)	4096 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 6490M	DVDRW +/-	3 év	6 cellás	nincs (L)	ProBook	ProBook	ezüst	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van	Ajándék táska			van										
HP Pavilion G6-2230SH Herriot C6C56EA W8	149528 Ft	15.6ʺ LED HD BV (1366x768)	Core i5 3210M (2500)	6144 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	6 cellás	Windows 8 64Bit HUN	Pavilion		szürke	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	2 in 1	van														
Samsung NP300E5A-S02HU M i3 Silver W7	149528 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GT 520MX	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	ezüst	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	SD card	van														
Dell. Inspiron 5520 Orange i5 RD LX 3714423	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		narancssárga	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Samsung NP300E5C-S02HU Silver Blue W7	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF 610M	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell. Inspiron 5520 Blue i5 RD LX 3414422	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		kék	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Silver i5 RD LX 3414423	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 White i5 RD LX 3514423	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Pink i5 RD LX 3814423	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		rózsaszín	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Red i5 RD LX 3314422	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
HP ProBook 4530s A6E11EA LX 8GB	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 2450M (2500)	8192 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 3000	DVDRW	1 év	6 cellás	nincs (L)	ProBook	ProBook	ezüst	10/100/1000	3x2.0.1x3.0	b/g 54mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van	Ajándék táska			van										
Dell Vostro 3360 Coffee i3 LX 3014198	151102 Ft	13.3ʺ HD LED AntiGlare	Core i3 2367M (1400)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 3000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)	Vostro	Vostro 33xx	barna	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3360 Red i3 LX 3114198	151102 Ft	13.3ʺ HD LED AntiGlare	Core i3 2367M (1400)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 3000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)	Vostro	Vostro 33xx	piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3360 Silver i3 LX 3914197	151102 Ft	13.3ʺ HD LED AntiGlare	Core i3 2367M (1400)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 3000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)	Vostro	Vostro 33xx	ezüst	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Latitude E5420 i3 Metal Grey 3514067	151890 Ft	14ʺ HD LED AntiGlare	Core i3 2350M (2300)	2048 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (F)	Latitude	Latitude E54xx	szürke	10/100/1000	3 db	b/g/n 300mbps	magyar	Track point + Touch pad	Új		van	VGA	3.0	SD card	van		e-SATA/USB	van	van		van		van						
HP Pavilion G6-2230SH Herriot C6C56EA W8 8GB	153465 Ft	15.6ʺ LED HD BV (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	6 cellás	Windows 8 64Bit HUN	Pavilion		szürke	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	2 in 1	van														
Dell. Inspiron 5520 Orange i3 LX 3614174	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		narancssárga	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Blue i3 LX 3714179	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		kék	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 White i5 M RD LX 3014424	153465 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Silver i3 LX 3514179	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Red i5 M RD LX 3314423	153465 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 White i3 LX 3714174	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Pink i3 LX 3814179	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		rózsaszín	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Red i3 LX 3614179	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Blue i5 M RD LX 3014422	153465 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		kék	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Packard Bell EasyNote NX69-HR-453HG	156614 Ft	14ʺ HD LED (1366x768)	Core i3 2330M (2200)	4096 (DDR3) MB	640 GB	1024 MB NVIDIA GF GT540M	DVDRW SM	1 év	6 cellás	Windows7 HomePrem 64 HUN			ezüst	van	4 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	5 in 1	van														
Fujitsu LifeBook A531 i5 M Win7	157402 Ft	15.6ʺ HD (1366x768)	Core i5 2430M (2400)	4096 (DDR3) MB	500 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Lenovo. IdeaPad UltraBook U310 Grey 59-349012 W7	157402 Ft	13.3ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	500 + 24 SSD GB	Intel HD Graphics	nincs optikai meghajtó	2 év	3 cellás (extended)	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad U	szürke	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van		3.0	2 in 1	van														
HP ProBook 4530s Silver A6D97EA LX 8GB	157402 Ft	15.6ʺ HD LED (1366x768)	Core i5 2450M (2500)	8192 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 6490M	DVDRW +/-	3 év	6 cellás	nincs (L)	ProBook	ProBook	ezüst	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van	Ajándék táska			van										
