TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Dell Inspiron M5110 Red A6R LX 3514617	90472 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Fujitsu LifeBook A531 CL NoOs 4GB	90472 Ft	15.6ʺ HD (1366x768)	Celeron B815 (1600)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Asus X54C-SO344D Black FD	90472 Ft	15.6ʺ HD LED anti-glare	Core i3 2350M (2300)	2048 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	2600 mAh	nincs (F)			fekete	10/100	1x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Fujitsu LifeBook A512 Black NoOs 2Y	92047 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van				van										
Acer Aspire 7250-4504G50Mnkk Grey LX 2Y	92047 Ft	17.3ʺ LED HD+ (1600x900)	AMD DualCore E-450 (1650)	4096 (DDR3) MB	500 GB	AMD Radeon HD 6320	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)	Aspire	Aspire 7xxx	szürke	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Acer Aspire 4752Z-B9504G50Mnb Blue LX 2Y 8GB	94409 Ft	14ʺ HD LED (1366x768)	Pentium B950 (2100)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)	Aspire		kék	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
Dell Inspiron M5110 A6R LX 3414617 Big Giant Plaid	94409 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Lenovo IdeaPad G575GC 59-324664 Black W7	94409 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	4096 (DDR3) MB	500 GB	AMD Radeon HD 6320	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	fekete	10/100	2 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA																	
HP 650 B6N07EA W7 6GB	94409 Ft	15.6ʺ HD LED (1366x768)	Celeron B820 (1700)	6144 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			ezüstszürke	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
Dell Inspiron M5110 A6R LX 3414617 Peacock Blue	94409 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron			10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
