TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Dell Inspiron 5520 (INSP5520-4) Notebook	149900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-5) Notebook	149900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-6) Notebook	149900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad E330(NZS3NHV) Notebook	151900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	1,5 kg	1 év garancia	6 cella, 6 óra átlagos üzemidő, 62.4WHr		Windows 7 Home Premium Magyar 64bit	10/100/1000, Intel WiFi Link 1000 BGN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Fujitsu Lifebook AH532 (VFY:AH532MPAA2HU) Notebook	152900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	GeForce GT 620 1GB + Intel HD Graphics	2,4 kg, 378 x 252 x 34.2 mm	2 év garancia	6 cella, 6,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD Webkamera				
Lenovo Ideapad B580 (59-344142) Notebook	152900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo ideaPad Z580G (59-348059) Notebook	153900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Nvidia GeForce GT 630M 2GB	2,6 kg, 376 x 250 x 33 mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Hewlett Packard HP ProBook 4540s (B6M06EA) Notebook	153900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		750GB, SATA-2	Intel GMA HD	2,4 kg, 37,5 x 25,6 x 2,8 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP ProBook 4540s (B7A47EA) Notebook	154900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7650 / 1GB	2,4 kg, 37,5 x 25,6 x 2,8 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, HDMI out	Camera 1.3MPix				
Fujitsu Lifebook UH552-SH (VFY:UH552MF015HU) Notebook	155900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh			10/100, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Samsung NP300E5C-S06HU Notebook	155900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1600MHz		1 TB, SATA-2	NVIDIA GeForce GT 620M 1GB	2,3Kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Vostro 3360 (V3360_141980) Notebook	156900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2367M 1,4GHz /3MB Cache	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel Graphics 3000 HD	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera		eSATA		
Dell Latitude E5530 (E5530-4) Notebook	156900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel Graphics 3000 HD	2,3Kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Full HD Webkamera		eSATA		
Lenovo ideaPad Z580 (59-348019) Notebook	156900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Nvidia GeForce GT 630M 2GB	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad EDGE E430(NZNCHHV) Notebook	157900 Ft	14.0", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,2 kg, 339.4 x 234mm x 28.5-33.9mm	1 év garancia	6 cella, 5,5 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	Camera 2.0 Mp		eSATA		
Fujitsu Lifebook UH552-SMP (VFY:UH552MF051HU) Notebook	158900 Ft	13,3", 1366x768, 16:9	Intel Core i3, 3217U 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh		Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, HDMI out	HD Webkamera				
Samsung NP300E5C-S01HU Notebook	159900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1333MHz		1 TB, SATA-2	Nvidia Geforce GT 610M 1GB	2,4 kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Dell Inspiron 7520 (DI7520A-3210M-4GH1TBD6AL) Notebook	159900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 7730M 2GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad EDGE E530(NZQAJHV) Notebook	160900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia GeForce GT 630M 1GB	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 5,5 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	Camera 2.0 Mp		eSATA		
Lenovo ideaPad Z580 (59-348042) Notebook	160900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	Nvidia GeForce GT 630M 2GB	2,6 kg, 376 x 250 x 33 mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ideaPad U310 (59-349012) Notebook	160900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1333MHz		24GB SSD + 500GB HDD, SSD	Intel GMA HD Graphics 4000	1,7 kg, 333*225*18mm	2 év garancia	3 cella, 7 óra átlagos üzemidő, 46WHr		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo ideaPad U410 (59-349079) Notebook	160900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -2377M 1,5 GHz, 3 MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 1GB	1,9 kg, 344*235*21mm	2 év garancia	4 cella, 9 óra átlagos üzemidő, 59WHr		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (5520_146158) Notebook	161900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	6 GB, DDR3 1600MHz		750GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (5520_146157) Notebook	161900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	6 GB, DDR3 1600MHz		750GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad E330(NZS3RHV) Notebook	163900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia Geforce GT 610M 1GB	1,8 kg	1 év garancia	6 cella, 8 óra átlagos üzemidő, 62.4WHr		Windows 7 Home Premium Magyar 64bit	10/100/1000, Intel WiFi Link 1000 BGN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Samsung NP350V5C-S02HU Notebook	163900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1333MHz		750GB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,5 kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo ideaPad Z585A (59-348852) Notebook	163900 Ft	15,6", 1366x768, 16:9	AMD , A8-4500M / 1.9 GHz / 4MB Cache	4 GB, DDR3 1333MHz		1 TB, SATA-2	ATI Radeon HD 7670M 2GB DDR3	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 2.1, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ideaPad S300 (59-350170) Notebook	163900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1333MHz		32GB SSD + 500GB HDD, SSD	Intel GMA HD Graphics 4000	1,8 kg, 330x230.2x22.4 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Fujitsu Lifebook AH552-B5 (VFY:AH552MF055HU) Notebook	166900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 378 x 252 x 25,4 mm	2 év garancia	8 cella	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Dell Inspiron 5520 (5520_146162) Notebook	167900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	6 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (5520_146163) Notebook	167900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	6 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (5520_146164) Notebook	167900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	6 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-11) Notebook	167900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 a/b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Fujitsu Lifebook UH552-SHP (VFY:UH552MF021HU) Notebook	168900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh		Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Lenovo ideaPad Z580 (59-348003) Notebook	168900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Nvidia GeForce GT 630M 2GB	2,6 kg, 376 x 250 x 33 mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 3360 (V3360_141986) Notebook	170900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera		eSATA		
Samsung NP530U3C-A01HU Notebook	172900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2377M 1,5 GHz, 3 MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	1,5 kg, 315,1x17,6x218,9mm	2 év garancia	4 cella, 7 óra átlagos üzemidő, 4500Whr	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Samsung NP530U3C-A03HU Notebook	172900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	1,5 kg, 315,1x17,6x218,9mm	2 év garancia	4 cella, 7 óra átlagos üzemidő, 4500Whr	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP ProBook 6475b (B5U26AW) Notebook	173900 Ft	14,1'', 1366x768, 16:9	AMD , A6-4400M 3,2/2,7 GHz 1MB L2 cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7520G	2,1 kg, 33,8 x 23,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Express Card, DisplayPort	Camera 2.0 Mp		1*eSATA		
Toshiba Satellite Pro R850-12R Notebook	174900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2410M (2.3Ghz, 3MB cache, 1333Mhz FSB)	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 6450M 1GB	2,5 kg, 379,0 x 252,0 x 20,8 (elöl) / 25,4 (hátul) mm	2 év garancia	6 cella, 7 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, HDMI out	Camera 1.3MPix		eSATA		
Dell Inspiron N5110 (INSPN5110-57) Notebook	174900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	8 GB, DDR3 1333MHz		1 TB, SATA-2	Nvidia GeForce GT 525M 1GB	2,4 kg, 376,0 mm x 260,2 mm x (29,7 mm)/ hátul (33,8 mm)	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Dell Vostro 3360 (V3360-3) Notebook	176900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		320 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera				
Dell Vostro 3360 (V3360-6) Notebook	176900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		320 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera				
Dell Inspiron 5520 (5520_146050) Notebook	177900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	8 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (5520_146051) Notebook	177900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	8 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
