TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	VGA Típusa	LAN	Portok	Bill.	Softver	Bemeneti/Kimeneti csatlkozók	Billentyűzet/Touchpad	Súly/Méretek
acer Aspire 5560G-63424G75Mnkk - Fekete - Már 2 év garanciával!	114296 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD Llano Quad-Core A6-3420M (1,5GHz-2.4GHz, 4MB L2 cache)	4GB DDR3 memória	750GB S-ATA merevlemez			360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	AMD Radeon™ HD 7670M 1GB	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) 3x USB 2.0 HDMI™ port HDCP támogatással 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 vonalbemenet-csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, két Windows® gomb, gyorsgombok; hagyományos numerikus billentyűzet; nemzetközi nyelv támogatás, Acer PowerSmart gomb Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zárMedia gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés)					
acer TravelMate 5760ZG - B964G50MN - MOST 3 ÉV GARANCIÁVAL	93682 Ft	15,6"	1366x768	WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® DualCore B960 (2,2 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		NVIDIA® GeForce® GT 630M 1GB	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 fejhallgató csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer TravelMate 5760-32324G50MNKSL - MOST 3 ÉV GARANCIÁVAL	122033 Ft	15,6"	1366x768	WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-2328M (3M Cache, 2.20 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		intel HD Graphics 3000	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 fejhallgató csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer TravelMate 5760G-32324G50MNSK - MOST 3 ÉV GARANCIÁVAL	101789 Ft	15,6"	1366x768	WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-2328M (3M Cache, 2.20 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		NVIDIA® GeForce® GT 630M 1GB	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 fejhallgató csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Travelmate P453M-53214G50MN - Most 3 év garanciával!	138967 Ft	15.6"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i5-3210M (3M Cache, up to 3.10 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez 7200rpm!		Intel® HD Graphics 4000	n/a	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Windows 7 Professional		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 3.0* 1x USB/eSATA kombó * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó* 1 Express Card* 1 Acer ProDock csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés	Acer ePower Management Acer eRecovery Management Adobe® Flash® Player 10.1 Adobe® Reader® 9.1 Bing™ Bar eSobi™ Norton™ Online Backup Próbaverzió Windows Live™ Essentials McAfee® Internet Security Próbaverzió MyWinLocker® Acer clear.fi NTI Media Maker™ Acer Games powered by WildTangent® Acer Crystal Eye Acer Video Conference Manager Microsoft® Silverlight™ Skype™ Acer Identity Card Acer Registration Acer Updater Microsoft® Office 2010 Starter előtelepítve* *A Microsoft® Office 2010 Starter szoftver ingyenesen használható, bizonyos funkciókban korlátozott Excel® és Word® alkalmazást tartalmaz. A teljes verzió feloldásához termékkulcs megvásárlása szükséges!				
acer Aspire E1-531-B9604G50Mnks - Fekete - Már 2 év garanciával!	92000 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® B960 (2M Cache, 2.20 GHz)	4GB DDR3 memória	500GB SATA HDD		Intel®HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire V3-771G-736B8G1.5TMaii - Szürke - Már 2 év garanciával!	170248 Ft	17.3"	HD+ 1600*900	1600*900 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3630QM (6M Cache, 2.40GHz up to 3.40 GHz)	8GB DDR3 memória	2 X 750GB SATA HDD		NVIDIA® GeForce® GT 640M 2GB	414 x 275 x 34.8/36.1 mm3.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 2x USB 2.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-771G-33114G75TMaii - Szürke - Már 2 év garanciával!	112926 Ft	17.3"	HD+ 1600*900	1600*900 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)	4GB DDR3 memória	750GB SATA HDD		NVIDIA® GeForce® GT 630M 1GB	414 x 275 x 34.8/36.1 mm3.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 2x USB 2.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-771G-53214G1TMaii - Szürke - Már 2 év garanciával!	129304 Ft	17.3"	HD+ 1600*900	1600*900 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3210M (3M Cache, 2.5GHz up to 3.10 GHz)	4GB DDR3 memória	750GB SATA HDD		NVIDIA® GeForce® GT 630M 1GB	414 x 275 x 34.8/36.1 mm3.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 2x USB 2.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-471G-53214G75Makk - Fekete - Már 2 év garanciával!	118658 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3210M (3M Cache, 2.5GHz up to 3.10 GHz)	4GB DDR3 memória	750GB SATA HDD		NVIDIA® GeForce® GT 630M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-471G-33114G50Madd - Már 2 év garanciával!	106375 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-3310M (3M Cache, 2.40 , HyperThreading,)	4GB DDR3 memória	500GB SATA HDD		NVIDIA® GeForce® GT 630M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire E1-571-3114G50Mnks - Fekete - Már 2 év garanciával!	105112 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-3110M (3M Cache, 2.40 , HyperThreading,)	4GB DDR3 memória	500GB SATA HDD		Intel®HD Graphics 4000	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire E1-571-3114G75Mnks - Fekete - Már 2 év garanciával!	88359 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-3110M (3M Cache, 2.40 , HyperThreading,)	4GB DDR3 memória	750GB SATA HDD		Intel®HD Graphics 4000	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire V3-551G-10468G1TMaii - Szürke - Már 2 év garanciával!	114236 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	AMD A10-4600M Quad-core (4MB L2 cache, 2.3GHz - 3.0GHz)	8GB DDR3 memória	1TB SATA HDD		AMD Radeon™ HD 7670 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-471G-33114G50Makk - Fekete - Már 2 év garanciával!	106375 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3110M (3M Cache, 2.4GHz)	4GB DDR3 memória	500GB SATA HDD		NVIDIA® GeForce® GT 630M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-471G-53214G75Madd - Már 2 év garanciával!	118658 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3210M (3M Cache, 2.50GHz up to 3.10 GHz)	4GB DDR3 memória	750GB SATA HDD		NVIDIA® GeForce® GT 630M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire V3-571G-53216G75MAKK - Fekete - Már 2 év garanciával!	117512 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3210M (3M Cache, 2.50 - 3.1 GHz, 35W, HyperThreading, Turbo Boost)	6GB DDR3 memória	750GB SATA HDD		NVIDIA® GeForce® GT 630M 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
