TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	WLAN	Kamera Felb.	USB	VGA ki	Audio	LAN	CR	Kensington	Anyag	Szín	Széles	Magas	Mély	Család	RAM Modul	AC	Hangszóró	Mikrofon	Bill. num	HDMI	USB 3	Technológia	HSDPA	HDD 2	HDD 2 Méret	BT	TB	Egyéb	2.Háttértár fordulatszám	Tárolt energia	Elektromos töltés	3D Technológia	Mini DisplayPort ki	Billentyűzet világítás	Egyéb szín	Micro HDMI ki	Pixelhiba	Tanúsítvány(ok)	DisplayPort ki	Ujjlenyomat olvasó	Leejtés védelem	TPM	Dokkolható	eSATA ki	ExpressCard	FireWire 400 ki	Soros
ASUS Eee PC X101 10,1"/Intel Atom N455 1,6GHz/1GB/32GB/Win7/Fekete netbook	0 Ft	1024x600	10,1"	TFT LCD, LED háttérvilágítással	Matt	Intel	Atom	Intel Atom N455 (1,66 GHz, 512 kB)	1,0 GB	DDR3-1333		SSD	32 GB		Intel GMA 3150	0,92 kg	3	Windows 7 Starter		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	fekete	262,00 mm	17,60 mm	180,0 mm	X101	1 x 1	40 watt		Igen												28 wattóra	2600 mAh																	
ASUS Eee PC X101CH 10,1"/Intel Atom Dual-Core N2600 1,6GHz/1GB/320GB/Win7/Barna netbook	0 Ft	1024x600	10,1"	TFT LCD, LED háttérvilágítással	Matt	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	1,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	Intel GMA 3600	1,00 kg	3	Windows 7 Starter		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen	10/100 Mb/s	Igen	Igen	műanyag	barna	262,00 mm	22,00 mm	180,0 mm	X101CH	1 x 1	40 watt		Igen		1 db						Nincs		Microsoft Office Starter 2010		23 wattóra	2200 mAh																	
ASUS Eee PC X101CH 10,1"/Intel Atom Dual-Core N2600 1,6GHz/1GB/320GB/Win7/Fekete netbook	0 Ft	1024x600	10,1"	TFT LCD, LED háttérvilágítással	Matt	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	1,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	Intel GMA 3600	1,00 kg	3	Windows 7 Starter		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen	10/100 Mb/s	Igen	Igen	műanyag	fekete	262,00 mm	22,00 mm	180,0 mm	X101CH	1 x 1	40 watt		Igen		1 db						Nincs		Microsoft Office Starter 2010		23 wattóra	2200 mAh																	
ASUS Eee PC X101CH 10,1"/Intel Atom Dual-Core N2600 1,6GHz/1GB/320GB/Win7/Piros netbook	0 Ft	1024x600	10,1"	TFT LCD, LED háttérvilágítással	Matt	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	1,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	Intel GMA 3600	1,00 kg	3	Windows 7 Starter		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen	10/100 Mb/s	Igen	Igen	műanyag	piros	262,00 mm	22,00 mm	180,0 mm	X101CH	1 x 1	40 watt		Igen		1 db						Nincs		Microsoft Office Starter 2010		23 wattóra	2200 mAh																	
ASUS Eee PC X101CH 10,1"/Intel Atom Dual-Core N2600 1,6GHz/2GB/320GB/Fehér netbook	0 Ft	1024x600	10,1"	TFT LCD, LED háttérvilágítással	Matt	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	Intel GMA 3600	1,00 kg	3	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen	10/100 Mb/s	Igen	Igen	műanyag	Fehér	262,00 mm	22,00 mm	180,0 mm	X101CH	1 x 2	40 watt		Igen		1 db						Nincs				23 wattóra	2200 mAh																	
ASUS Eee PC X101CH 10,1"/Intel Atom Dual-Core N2600 1,6GHz/2GB/320GB/Fekete netbook	0 Ft	1024x600	10,1"	TFT LCD, LED háttérvilágítással	Matt	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	Intel GMA 3600	1,00 kg	3	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen	10/100 Mb/s	Igen	Igen	műanyag	fekete	262,00 mm	22,00 mm	180,0 mm	X101CH	1 x 2	40 watt		Igen		1 db						Nincs				23 wattóra	2200 mAh																	
ASUS Eee PC X101CH 10,1"/Intel Atom Dual-Core N2600 1,6GHz/2GB/320GB/Piros netbook	0 Ft	1024x600	10,1"	TFT LCD, LED háttérvilágítással	Matt	Intel	Atom	Intel Atom Dual-Core N2600 (1,6GHz, 1MB)	2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	Intel GMA 3600	1,00 kg	3	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen	10/100 Mb/s	Igen	Igen	műanyag	piros	262,00 mm	22,00 mm	180,0 mm	X101CH	1 x 2	40 watt		Igen		1 db						Nincs				23 wattóra	2200 mAh																	
ASUS G55VW 15,6" 3D/Intel Core i7-3610QM 2,3GHz/8GB/750GB+128GB SSD/Blu-ray író/Win7 notebook	0 Ft	1920x1080	15,6"	LED	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1333		HDD	750 GB	5400 rpm	NVIDIA GeForce GTX 660M 2GB GDDR5	3,80 kg	8	Windows 7 Home Premium 64 bit	Blu-ray író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		384,00 mm	51,00 mm	299,0 mm	G55VW	2 x 4	180 watt	Beépített mélynyomó	Igen	Igen	1 db	4 db			SSD	128 GB	4.0		táska, egér, headset, 3D kit	5400 rpm	5200 wattóra	5200 mAh	Nvidia 3D Vision	1 db	Igen														
ASUS G55VW 15,6" Full HD/Intel Core i7-3610QM 2,3GHz/8GB/500GB/DVD író notebook	0 Ft	1920x1080	15,6"	LED	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	NVIDIA GeForce GTX 660M 2GB GDDR5	3,80 kg	8	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		384,00 mm	51,00 mm	299,0 mm	G55VW	2 x 4	180 watt	Beépített mélynyomó	Igen	Igen	1 db	4 db					4.0				5200 wattóra	5200 mAh		1 db	Igen														
ASUS G55VW 15,6" Full HD/Intel Core i7-3610QM 2,3GHz/8GB/750GB+128GB SSD/DVD író/Win7 notebook	0 Ft	1920x1080	15,6"	LED	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1333		HDD	750 GB	5400 rpm	NVIDIA GeForce GTX 660M 2GB GDDR5	3,80 kg	8	Windows 7 Home Premium 64 bit	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		384,00 mm	51,00 mm	299,0 mm	G55VW	2 x 4	180 watt	Beépített mélynyomó	Igen	Igen	1 db	4 db			SSD	128 GB	4.0		Táska és egér	5400 rpm	5200 wattóra	5200 mAh		1 db	Igen														
ASUS G55VW 15,6"/Intel Core i7-3610QM 2,3GHz/8GB/750GB+128GB SSD/VGA/DVD író notebook	0 Ft	1920x1080	15,6"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1600		HDD	128 GB	5400 rpm	NVIDIA GeForce GTX 660M 2GB GDDR5		8	Windows 8	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				G55VW				Igen						SSD	128 GB	3.0		Táska és egér			5200 mAh			Igen														
ASUS G75VW 17,3" Full HD/Intel Core i7-3610QM 2,3GHz/8GB/500GB/DVD író notebook	0 Ft	1920x1080	17,3"	LED	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	NVIDIA GeForce GTX 660M 2GB GDDR5	4,50 kg	8	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		415,00 mm	52,00 mm	320,0 mm	G75VW	2 x 4	180 watt	Beépített mélynyomó	Igen	Igen	1 db	4 db					4.0				5200 wattóra	5200 mAh		1 db	Igen														
ASUS G75VW 17,3" Full HD/Intel Core i7-3610QM 2,3GHz/8GB/750GB+160GB SSD/DVD író/Win7 notebook	0 Ft	1920x1080	17,3"	LED	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1333		HDD	750 GB	5400 rpm	NVIDIA GeForce GTX 660M 2GB GDDR5	4,50 kg	8	Windows 7 Home Premium 64 bit	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		415,00 mm	52,00 mm	320,0 mm	G75VW	2 x 4	180 watt	Beépített mélynyomó	Igen	Igen	1 db	4 db			SSD	160 GB	4.0		Táska és egér	5400 rpm	5200 wattóra	5200 mAh		1 db	Igen														
ASUS G75VX 17,3" 3D/Intel Core i7-3630QM 2,4GHz/8GB/750GB+256GB SSD/VGA/DVD író/Win8 notebook	0 Ft	1920x1080	17,3"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i7	Intel Core i7-3630QM (2,4-3,4 GHz, 6 MB)	8,0 GB	DDR3-1600		HDD	750 GB	5400 rpm	NVIDIA GeForce GTX 670M 3 GB GDDR5		8	Windows 8	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				G75VX				Igen						SSD	256 GB	3.0		táska, egér, headset, 3D kit			5200 mAh			Igen														
ASUS G75VX 17,3"/Intel Core i7-3630QM 2,4GHz/8GB/750GB/VGA/DVD író/Win8 notebook	0 Ft	1920x1080	17,3"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i7	Intel Core i7-3630QM (2,4-3,4 GHz, 6 MB)	8,0 GB	DDR3-1600		HDD	750 GB	5400 rpm	NVIDIA GeForce GTX 670M 3 GB GDDR5		8	Windows 8	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				G75VX				Igen								3.0		táska, egér, headset			5200 mAh			Igen														
ASUS K53E 15,6"/Intel Dual-Core Pentium B960 2,2GHz/2GB/320GB/DVD író/Kék notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	Intel HD 3000	2,60 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	Kék	378,00 mm	34,90 mm	253,0 mm	K53E	1 x 2	65 watt		Igen	Igen	1 db																												
ASUS K53SD 15,6"/Intel Core i3-2350M 2,3GHz/6GB/750GB/DVD író/Fehér notebook	0 Ft	1366x768	15,6"			Intel	Core i3		6,0 GB	DDR3-1333		HDD	750 GB	5400 rpm	NVIDIA GeForce G610M 2GB			FreeDOS	DVD író	NVIDIA	802.11 b/g/n		2 db	1 db	Igen		Igen	Igen	műanyag	Fehér				K53SD				Igen	Igen		1 db																											
ASUS K53SD 15,6"/Intel Dual-Core Pentium B960 2,2GHz/4GB/500GB/DVD író/Rózsaszín notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	NVIDIA GeForce G610M 2GB	2,60 kg	6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	Rózsaszín	378,00 mm	34,90 mm	253,0 mm	K53SD	1 x 4	90 watt		Igen	Igen	1 db	1 db					3.0 + HS		Táska és egér		5200 wattóra																		
ASUS K53SV 15,6"/Intel Core i7-2630QM 2,0GHz/4GB/500GB/DVD író/Win7 notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Core i7	Intel Core i7-2630QM (2,0 GHz, 6MB)	4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	NVIDIA GeForce GT 540M 1GB	2,60 kg	6	Windows 7 Home Premium 64 bit	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	34,90 mm	253,0 mm	K53SV	2 x 2	120 watt		Igen	Igen	1 db	1 db							Táska és egér		5200 wattóra	5200 mAh																	
ASUS K55VD 15,6"/Intel Core i5-3210M 2,5GHz/4GB/500GB/VGA/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i5	Intel Core i5-3210M (3,1 GHz, 3 MB)	4,0 GB	DDR3-1600	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce G610M 2GB	2,52 kg	6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	barna	378,00 mm	31,90 mm	251,0 mm	K55VD		65 watt		Igen	Igen	1 db	2 db					3.0				50 wattóra	4700 mAh																	
ASUS K55VD 15,6"/Intel Core i5-3210M 3,1GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i5	Intel Core i5-3210M (3,1 GHz, 3 MB)	4,0 GB	DDR3-1600	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce G610M 2GB	2,52 kg	6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	barna	378,00 mm	31,90 mm	251,0 mm	K55VD	2 x 2	65 watt	Sztereó	Igen	Igen	1 db	2 db					3.0				50 wattóra	4700 mAh				Fekete													
ASUS K55VD 15,6"/Intel Core i5-3210M 3,1GHz/6GB/750GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i5	Intel Core i5-3210M (3,1 GHz, 3 MB)	6,0 GB	DDR3-1600	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce G610M 2GB	2,52 kg	6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	barna	378,00 mm	31,90 mm	251,0 mm	K55VD		65 watt		Igen	Igen	1 db	2 db					3.0				50 wattóra	4700 mAh																	
ASUS K55VD 15,6"/Intel Core i7-3610QM 2,3GHz/4GB/1TB/VGA/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	4,0 GB	DDR3-1600	2 db	HDD	1000 GB	5400 rpm	NVIDIA GeForce G610M 2GB	2,52 kg	6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	Barna	378,00 mm	31,90 mm	251,0 mm	K55VD	2 x 2	65 watt		Igen	Igen	1 db	2 db	Lítium-ion				4.0				50 wattóra	4700 mAh																	
ASUS K55VJ 15,6"/Intel Core i7-3610QM 2,3GHz/8GB/1TB/VGA/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1600		HDD	1000 GB	5400 rpm			6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP		1 db	Igen		Igen	Igen	műanyag	fekete				K55JV				Igen								3.0					4700 mAh																	
ASUS K56CA 15,6"/Intel Core i5-3317U 1,7GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i5	Intel Core i5-3317U (1,7 GHz)	4,0 GB	DDR3-1600	2 db	HDD	500 GB	5400 rpm		2,30 kg	4	FreeDOS	DVD író	Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	fekete	380,00 mm	21,00 mm	266,0 mm	K56CA		65 watt		Igen	Igen	1 db	1 db					4.0					2950 mAh																	
ASUS K56CA 15,6"/Intel Core i7-3517U 1,9GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i7	Intel Core i7-3517U (1,9 GHz)	4,0 GB	DDR3-1600	2 db	HDD	500 GB	5400 rpm		2,30 kg	4	FreeDOS	DVD író	Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	fekete	380,00 mm	21,00 mm	266,0 mm	K56CA		65 watt		Igen	Igen	1 db	1 db					3.0					2950 mAh																	
ASUS K75VJ 17,3"/Intel Core i7-3610QM 2,3GHz/8GB/750GB/VGA/DVD író notebook	0 Ft	1600x900	17,3"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1600		HDD	750 GB	5400 rpm			6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP		1 db	Igen		Igen	Igen	műanyag	fekete				K75VJ				Igen								3.0					4700 mAh																	
ASUS N56VM 15,6"/Intel Core i5-3210M/4GB/750GB/Blu-ray Combo/Win7 notebook	0 Ft	1920x1080	15,6"	LED	Fényes	Intel	Core i5	Intel Core i5-3210M (2,5 GHz, 3 MB)	4,0 GB	DDR3-1333		HDD	750 GB	5400 rpm	NVIDIA GeForce GT 630M 2GB	2,70 kg	6	Windows 7 Home Premium 64 bit	Blu-ray Combo	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		380,00 mm	32,40 mm	255,0 mm	N56VM	2 x 2	90 watt	Bang&Olufsen + USB mélynyomó	Igen	Igen	1 db	4 db					4.0		táska, egér, subwoofer		5200 wattóra	5200 mAh																	
ASUS N56VZ 15,6"/Intel Core i5-3210M 2,4GHz/4GB/750GB/VGA/DVD író/Win8 notebook	0 Ft	1920x1080	15,6"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i5	Intel Core i5-3210M (3,1 GHz, 3 MB)	4,0 GB	DDR3-1600		HDD	750 GB	5400 rpm	NVIDIA GeForce GT 650M 2GB		6	Windows 8	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				N56VZ				Igen								3.0		táska, egér, subwoofer			5200 mAh			Igen														
ASUS N56VZ 15,6"/Intel Core i7-3610QM 2,3GHz/8GB/1TB/VGA/DVD író/Win8 notebook	0 Ft	1920x1080	15,6"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1600		HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 650M 2GB		6	Windows 8	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				N56VZ				Igen								3.0		táska, egér, subwoofer			5200 mAh			Igen														
ASUS N76VZ 17,3"/Intel Core i7-3610QM 2,3GHz/8GB/1TB/VGA/DVD író/Win8 notebook	0 Ft	1920x1080	17,3"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i7	Intel Core i7-3610QM (2,3 GHz, 6 MB)	8,0 GB	DDR3-1600		HDD	1000 GB	5400 rpm	NVIDIA GeForce GT 650M 2GB		6	Windows 8	DVD író	NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				N76VZ				Igen								3.0		táska, egér, subwoofer, távirányító			5200 mAh			Igen														
ASUS S56CM 15,6"/Intel Core i5-3317U 1,7GHz/8GB/750GB+24GB SSD/VGA/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i5	Intel Core i5-3317U (1,7 GHz)	8,0 GB	DDR3-1600	2 db	HDD	750 GB	5400 rpm	NVIDIA GeForce G610M 2GB	2,30 kg	4	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	fekete	380,00 mm	21,00 mm	266,0 mm	S56CM		65 watt		Igen		1 db	1 db			SSD	24 GB	4.0					2950 mAh																	
ASUS S56CM 15,6"/Intel Core i7-3517U 1,9GHz/8GB/750GB+24GB SSD/VGA/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i7	Intel Core i7-3517U (1,9 GHz)	8,0 GB	DDR3-1600	2 db	HDD	750 GB	5400 rpm		2,30 kg	4	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	fekete	380,00 mm	21,00 mm	266,0 mm	S56CM		65 watt		Igen		1 db	1 db			SSD	24 GB	3.0					2950 mAh																	
ASUS TAICHI 21 Dual 11,6" touch/Intel Core i7-3517U 1,9GHz/4GB/256GB SSD/Win8 notebook	0 Ft	1920x1080	11,6"	TFT LCD, LED háttérvilágítással, érintőkijelző	Fényes	Intel	Core i7	Intel Core i7-3517U (1,9 GHz)	4,0 GB	DDR3-1600		SSD	256 GB		Intel HD 4000		6	Windows 8		Intel	802.11 b/g/n	1,00 MP			Igen		Igen	Igen	műanyag	fekete				TAICHI21				Igen			2 db					4.0		Táska és stylus			3200 mAh			Igen		1 db												
ASUS TAICHI 31 Dual 13,3" touch/Intel Core i7-3517U 1,9GHz/4GB/256GB SSD/Win8 notebook	0 Ft	1366x768	13,3"	TFT LCD, LED háttérvilágítással, érintőkijelző	Fényes	Intel	Core i7	Intel Core i7-3517U (1,9 GHz)	4,0 GB	DDR3-1600		SSD	256 GB				4	Windows 8		Intel	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				TAICHI31				Igen								4.0		Táska és stylus			3535 mAh			Igen														
ASUS TX300CA 13,3" touch/Intel Core i7-3517U 1,9GHz/4GB/500GB+128GB SSD/Win8 notebook	0 Ft	1920x1080	13,3"	TFT LCD, LED háttérvilágítással, érintőkijelző	Fényes	Intel	Core i7	Intel Core i7-3517U (1,9 GHz)	4,0 GB	DDR3-1600		HDD	128 GB	5400 rpm			2	Windows 8		Intel	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				TX300CA				Igen						SSD	128 GB	3.0		Védőtok			5000 mAh			Igen														
ASUS U32VJ 13,3"/Intel Core i5-3210M 2,5GHz/4GB/750GB/VGA/DVD író/Win8 Pro notebook	0 Ft	1366x768	13,3"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Core i5	Intel Core i5-3210M (3,1 GHz, 3 MB)	4,0 GB	DDR3-1600		HDD	750 GB	5400 rpm	NVIDIA GeForce GT 635M 1GB		6	Windows 8 Professional		NVIDIA	802.11 b/g/n	0,30 MP		1 db	Igen		Igen	Igen	műanyag	fekete				U32VJ				Igen								3.0		Táska és egér			5600 mAh																	
ASUS U38N 13,3"/AMD A10-4655M 2GHz/6GB/128GB SSD/VGA/Win8 notebook	0 Ft	1366x768	13,3"	TFT LCD, LED háttérvilágítással, érintőkijelző	Fényes	AMD	A-Series	AMD A10-4655M (2-2,8 GHz, 4 MB)	6,0 GB	DDR3-1600		SSD	128 GB		AMD Radeon HD 7620G		6	Windows 8		AMD	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				U38N				Igen								3.0		Táska és egér			6570 mAh			Igen														
ASUS U500VZ 15,6" touch/Intel Core i7-3632QM 2,2 GHz/8GB/2x256GB SSD/VGA/Win8 notebook	0 Ft	1920x1080	15,6"	TFT LCD, IPS panel, LED háttérvilágítással, érintőkijelző	Fényes	Intel	Core i7	Intel Core i7-3632QM	8,0 GB	DDR3-1600		SSD	256 GB		NVIDIA GeForce GT 650M 2GB		8	Windows 8		NVIDIA	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				U500VZ				Igen						SSD	256 GB	3.0		táska, egér, subwoofer, külső optikai meghajtó			4750 mAh			Igen														
ASUS X201E 11,6"/Intel Core i3-3217U 1,8GHz/2GB/320GB/fehér notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	fehér	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
ASUS X201E 11,6"/Intel Core i3-3217U 1,8GHz/2GB/320GB/kék notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	kék	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
ASUS X201E 11,6"/Intel Core i3-3217U 1,8GHz/2GB/320GB/piros notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	sárga	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
ASUS X201E 11,6"/Intel Core i3-3217U 1,8GHz/2GB/320GB/szürke notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	szürke	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
ASUS X201E 11,6"/Intel Pentium 987 1,5GHz/2GB/320GB/fehér notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core ULV 987	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	fehér	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
