TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Asus Eee PC 1025CE-PUR011S Bíbor	74693 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2800 (1,86 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3650	1,25 kg	2 év	6 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	262 x 178 x 20.7 ~34.4 mm	1 db			
Packard Bell Easynote TK-F4011-BZ-253HG	69496 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E300 (1,3 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6310	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános	A50M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100 Mb/s	3 db					
Acer Aspire E1-531-B9604G50MNKS	83622 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,4 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db		1 db			
Acer M3-581TG-32364G52MNkk 15.6" (NX.RYKEU.012)	162677 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2377M (1,5 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 640M	2,16 kg	3 év	3 cellás	DVD+-RW DL	Windows 7 Professional	Ultrabook	Mobile Intel® HM77 Express Chipset	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	2 db	376.4 x 253 x 19.7/20.7 mm	1 db			
Asus Eee PC X101CH-BRN028S Barna	58102 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3150	1 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
Acer Aspire AS5742G-384G75MNkk	105827 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 380M (2,53 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Igen	750 GB 5400 rpm SATA	NVIDIA GeForce GT 610M	2,88 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia	Intel HM55 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100/1000 Mb/s	3 db	360 x 267 x 30.3-43 mm				
Dell Inspiron 5520 HD Ci5-3210M 4GB 500GB Kék	138898 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Nem	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Dell Vostro 3360 Ci3-2367 6GB 500GB HD3000 Ezüst	200866 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2367 (1,4 GHz, 3 MB cache)	6144 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	1,67 kg	3 év	4 cellás	Nincs	Windows 7 Professional 64 bit	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	3 db			
Acer Aspire One AO725-C6CBB 11,6" Kék	66858 Ft	11,6 " (1366x768 pixel)	Nem	AMD C Series AMD Ontario C-60 Brazos (1 GHz, 1 MB cache)	4096 MB DDR III 1066 MHz	Igen	500 GB 5400 rpm SATA	AMD Radeon HD 6290	1,2 kg	2 év	4 cellás	Nincs	Linux	Netbook	A68M Fusion	MS-Sound kompatibilis, HD-audió támogatással	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100 Mb/s	3 db	285 x 202 x 25,4 mm				
Acer TravelMate TM5760ZG-B964G50MNSK	117874 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 520M	2,6 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI		10/100/1000 Mb/s	3 db					
