TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
HP Pavilion G6-1313sh B2A11EA	119213 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-3420M (1,5 GHz, 4 MB cache)	4096 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 6520G + HD 7450M Dual Graphics	2,55 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	AMD RS880M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100 Mb/s	3 db	374x245x36,3 mm				
Apple MacBook Pro 13 Ci5 4GB 500GB HD4000 magyar	308110 Ft	13,3 " (1280 x 800 pixel)	Nem	Intel Core i5 (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	2,06 kg	1 év		Nincs	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0, FireWire	SDXC	10/100/1000 Mb/s		325x227x24,1 mm	2 db			
Asus K53SD-SX1239D Piros	102677 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B970 (2,3 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	1 db			
Packard Bell Easynote F5211-HC-851HG	84094 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B970 (2,3 GHz, 2 MB cache)	8192 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,25 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Nem	Igen	802.11 h, 802.11 n, 802.11 b	Nem	Nem	3,5 Jack, D-Sub, USB		10/100/1000 Mb/s	3 db					
Dell Latitude E5530 Ci3-2350M 4GB 500GB Linux	153937 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,38 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	2 db	388x251x30,20–33,20 mm	2 db			
Lenovo ThinkPad T530 HD+ i5-3210M 4GB 128GB SSD	286063 Ft	15,6 " (1600 x 900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics	2,5 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio® 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	245.1x372.8x31.8-35.6 mm	2 db			
Lenovo ThinkPad X230 12,5" i7-3520M 8GB 180GB SSD	397559 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i7 3520M (2,9 GHz, 4 MB cache)	8192 MB DDR III 1600 MHz	Nem	180 GB Nincs rpm SSD	Intel HD Graphics	1,34 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby ® Advanced Audio ® v2	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, Mini Display Port, USB, USB 3.0, ExpressCard 54mm	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	305x206.5x19 - 26.6 mm	2 db			
Acer Aspire One AOD270-26DW 10,1" Balloon	64181 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,3 kg	2 év	6 cellás	Nincs	Windows 7 Starter Edition	Netbook	Intel® NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100 Mb/s	3 db	256,5 x 184 x 24 mm				
Asus N56VM-S4073V	205906 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,7 kg	2 év	6 cellás	Blu-Ray olvasó + DVD SuperMulti	Windows 7 Home Premium 64 bit	Multimédia	Intel® HM76	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, MMC, MS, MS Pro	10/100/1000 Mb/s		380x255x27,2~32,4 mm	4 db			
Lenovo IdeaPad B575G-INT (59-325679)	74173 Ft	15,6 " (1366 x 768 pixel)	Nem	AMD E Series E-300 (1,3 GHz, 1 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6310	2,35 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	AMD A50M (Hudson M1) Fusion™	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 33.1 mm				
Asus Eee PC X101CH-RED035S Piros	58102 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3150	1 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
Asus P53E-SO212D	86142 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B970 (2,3 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,6 kg	3 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti	Intel ® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, E-SATA, USB, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 253 x 31,7-36 mm				
Asus X54C-SO476D	93622 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2310M (2,1 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,6 kg	2 év	4 cellás	DVD+-RW DL	Free DOS	Általános	Mobile Intel® HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, FireWire	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s	1 db	378 x 253 x 35,6-37,2 mm	1 db			
Asus Eee PC X101CH-BLK068S Fekete	59646 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3150	1 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
Lenovo IdeaPad Y580 15,6" 59-349175	227559 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GTX 660M	2,8 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Gamer	Intel HM76	Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, XD, MS, MS Pro	10/100/1000 Mb/s	2 db	385x255x35,7 mm	2 db			
Toshiba Satellite L750-1NF 15,6"	145984 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	640 GB 5400 rpm SATA	NVIDIA GeForce GT 520M	2,5 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC, MS, MS Pro	10/100 Mb/s	2 db	380,0 x 250,0 x 27,7 / 37,5 mm	1 db			
Acer Aspire One 756-B847CSS 11,6" Ezüst	70638 Ft	11,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core 847B (1,1 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,38 kg	2 év	4 cellás	Nincs	Linux	Netbook	HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	285x202x27,4 mm				
Acer Aspire V3-571G-53214G50MAKK	140630 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (3,1 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Igen	500 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Ultrabook	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db		1 db			
Apple MacBook Pro 13,3" i5-2430M 2.4GHz 4GB 500GB	322520 Ft	13,3 " (1280x800 pixel)	Nem	Intel Core i5 (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,04 kg	1 év		DVD+-RW DL	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Mini Display Port, Thunderbolt port, USB, FireWire	SDXC	10/100/1000 Mb/s	2 db	325 x 227 x 24 mm				
Apple MacBook Pro 15 Ci7 4GB 500GB GT650 magyar	466693 Ft	15,4 " (1440x900 pixel)	Nem	Intel Core i7 (2,3 GHz, 6 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	2,54 kg	1 év		DVD+-RW DL	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Thunderbolt port, USB 3.0, FireWire	SDXC	10/100/1000 Mb/s		364 x 249 x 24,1 mm	2 db			
Dell Vostro 3360 Ci7-3517U 4GB 500GB Linux Ezüst	194724 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i7 3517U (1,9 GHz, 4 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		332 x 232,5 x 18,6/19,2 mm	3 db			
Acer Aspire AS5560-63424G50MN Kék	95591 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-3420 (1,5 GHz, 4 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7480M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db		1 db			
Toshiba Portégé Z830-11M	232992 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 2467M (1,6 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 3000	1,12 kg	3 év	8 cellás	Nincs	Windows 7 Home Premium 64 bit	Üzleti	Intel® Mobil QS67	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Igen	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC	10/100/1000 Mb/s	3 db	316,0 x 227,0 x 8,3/15,9 mm	1 db			
Apple MacBook Pro 15 Ci7 4GB 500GB GT650 angol	464488 Ft	15,4 " (1440x900 pixel)	Nem	Intel Core i7 (2,3 GHz, 6 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	2,54 kg	1 év		DVD+-RW DL	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Thunderbolt port, USB, FireWire	SDXC	10/100/1000 Mb/s	2 db	364 x 249 x 24,1 mm				
Acer Aspire TimelineUltra M5-481T-323a4G52Mass	183386 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i3 2377M (1,5 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	1,95 kg	3 év	3 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Ultrabook	Mobile Intel® HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s		340 x 245 x 20.7 mm	2 db		20GB SSD	
Toshiba Satellite C850-176 15,6"	100945 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2310M (2,1 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,3 kg	2 év		DVD+-RW DL	OP. rendszer nélkül	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100 Mb/s	2 db	380x242x33 mm	1 db			
Packard Bell Easynote TS-F5211-BZ-231HG Fekete	75614 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E450 (1,66 GHz, 1 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6320		2 év		DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem			10/100 Mb/s						
Asus Eee PC 1225B-GRY082M Szürke	88110 Ft	11,6 " (1366x768 pixel)	Nem	AMD C Series C60 (1 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6290	1,44 kg	2 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	296 x 200 x 28 ~35 mm	1 db			
Dell Vostro 3360 Ci5-3317U 4GB 500GB Linux Ezüst	166142 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		332 x 232,5 x 18,6/19,2 mm	3 db			
Dell Inspiron 5520 HD Ci3-3110M 4GB 500GB	121339 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
HP ProBook 4540s 15,6" B0Y54EA	132362 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics	2,33 kg	1 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Mobil Intel® HM76 Express	SRS Premium Sound PRO	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	375x256x28 mm	2 db			
Toshiba Tecra R850-17C 15,6"	232835 Ft	15,6 " (1600 x 900 pixel)	Nem	Intel Core i5 2520M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	AMD Radeon HD 6450M	2,49 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0	SD, SDHC, XD, MMC, MS, MS Pro, Micro SD	10/100/1000 Mb/s	3 db	379x252x20,8-25,4 mm	1 db			
HP ProBook 6560b LG658EA 15,6"	238504 Ft	15,6 " (1600*900 pixel)	Nem	Intel Core i5 2520M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	AMD Radeon HD 6470M	2,5 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, ExpressCard 34mm, Soros (RS232), USB, FireWire, HDMI	SD, MMC	10/100/1000 Mb/s	5 db	374 x 251 x 34 mm				
Lenovo ThinkPad T430i 14" HD+ i3-2370M 4GB 500GB	231890 Ft	14 " (1600x900 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	NVIDIA Quadro NVS 5100M	2,16 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio TM 2.0	Igen	Igen	802.11 a, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	350.5x232x29.9 mm	2 db			
Toshiba Satellite C855-1MX 15,6"	100945 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	640 GB 5400 rpm SATA	AMD Radeon HD 7610M	2,3 kg	2 év		DVD+-RW DL	OP. rendszer nélkül	Általános		HD audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100 Mb/s	2 db	380x242x33 mm	1 db			
Dell Inspiron N5110 B960 2GB 320GB HD6470	119134 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,65 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	376x260x31,37-35,2 mm	2 db			
Packard Bell Easynote F5211-HC-232HG	68921 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100/1000 Mb/s	3 db					
Toshiba Portégé Z830-10F	217244 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i5 2467M (1,6 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 3000	1,12 kg	3 év		Nincs	Windows 7 Home Premium 64 bit	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	2 db	316,0 x 227,0 x 8,3 mm	1 db			
Acer Aspire One 756-967B2kk Fekete	91890 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core 967 (1,3 GHz, 2 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	1,38 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Netbook	Intel® HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	285 x 202 x 27,4 mm				
Asus U32VM-RO006X	198425 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics 4000	1,89 kg	2 év	8 cellás	Nincs	Windows 7 Professional 64 bit	Multimédia	Mobile Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Micro HDMI, Mini VGA, USB, USB 3.0		10/100/1000 Mb/s	1 db	328 x 238 x 13,4-26,1 mm	1 db			
Acer Aspire V3-771G-736B8G1.5TMAII szürke	211575 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, MB cache)	8192 MB DDR III 1066 MHz	Nem	1500 GB 5400 rpm SATA	NVIDIA GeForce GT 640M	3,2 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	414,8 x 275 x 31-34,6 mm	2 db			
Lenovo Thinkpad Edge E130 (NZU37HV)11,6"	111024 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i3 2367M (1,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,55 kg	1 év	6 cellás	Nincs	OP. rendszer nélkül	Üzleti		Dolby ® Home Theater ® v4	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	1 db	287x212x21,7 mm	2 db			
Packard Bell Easynote TS11-SB-452HG 15,6"	93622 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-3300M (1,9 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,7 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	AMD® A70M	HD	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100 Mb/s	3 db	372 x 250 x 37.5 mm				
Dell Inspiron 5520 HD Ci7-3632 6GB 1TB Linux Piros	162756 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	6144 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	Intel HD Graphics 4000	2,9 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Toshiba Satellite P770-12R 17,3"	188346 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	8192 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 540M	3 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro, Micro SD	10/100/1000 Mb/s	3 db	413,6x274x28-36 mm	1 db			
Asus Eee PC R11CX-BRN003S Barna	59929 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
