TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
Dell Vostro 3460 141996 Ezüst Notebook	181024 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 4000	2,232 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	345,5 x 244 x 28 x 30,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3460 141997 Bronz Notebook	181024 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 4000	2,232 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	345,5 x 244 x 28 x 30,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3460 141998 Piros Notebook	181024 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 4000	2,232 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	345,5 x 244 x 28 x 30,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-771G-52454G75Makk NX.RYNEU.002 Fekete	182598 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	414.8 x 275 x 31 / 34.65 mm	nincs raktáron	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera						
HP ProBook 4530s B0X69EA_TC Notebook	184961 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)	8GB DDR3 1333MHz	750GB SATA 5400rpm	AMD Radeon™ HD 6490M 1GB GDDR5	37,4 x 25,6 x 2,87 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS	beépített HD webkamera, médiakártya-olvasó	3 év			ujjlenyomat olvasó		
HP ProBook 4530s B0X69EA Notebook	181024 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)	8GB DDR3 1333MHz	750GB SATA 5400rpm	AMD Radeon™ HD 6490M 1GB GDDR5	37,4 x 25,6 x 2,87 cm	nincs raktáron	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS	beépített HD webkamera, médiakártya-olvasó	3 év			ujjlenyomat olvasó		
Acer V3-551G-10468G1TMakk NX.M0FEU.007 Fekete	182598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Trinity A10-4600M Quad-Core (2.3 - 3.2 GHz, 4 MB)	8GB DDR3 1333MHz	1TB SATA 5400rpm	AMD Radeon™ HD 7670M 2GB GDDR3	378 x 259 x 24.8 - 29.7 mm	nincs raktáron	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	AMD® A70M Fusion™	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera						
Dell Inspiron 17R DI5720N-3612-6GH1TBD6MS Notebook	182598 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i7-3612QM (6M Cache, 2.10 - 3.10GHz)		1TB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	3,28 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	2.1 hangszórók, Waves MaxxAudio® 3	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	416,8 x 276 x 31,9 - 37,37 mm	nincs raktáron				
HP ProBook 6460b LY436EA Notebook	183386 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 3000	33,8 x 23,1 x 3,4 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (51WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	SRS Premium Surround Sound	magyar, csepálló	56K modem, VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, Docking port ( dokkolható ), Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0, DisplayPort	2 az 1-ben kártyaolvasó, beépített HD webkamera	3 év el- és visszaszállításos (Pick Up and Return)			ujjlenyomat olvasó, TPM chip		
HP ProBook 4540s B6M08EA Notebook	183386 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7650M 1GB DDR3	37,5 x 25,6 x 2,8 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített HD webkamera, médiakártya-olvasó	3 év					
HP ProBook 4740s B6M21EA Notebook	188898 Ft	17,3" HD+ LED matt TFT 16:9 (1600 x 900)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		750GB SATA 5400rpm	AMD Radeon™ HD 7650M 2GB DDR3	2,92 kg	3 év	8cellás (73WHr) Lithium-Ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített HD webkamera, médiakártya-olvasó	41,3 x 27,9 x 2,9 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Fujitsu Lifebook AH552 VFY:AH552MF031HU Slimbook	188110 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	378 x 252 x 25.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	8 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	2 év					
Samsung Series 3 NP350V5C-S01HU Ezüst Notebook	184646 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i7-3610QM (6M Cache, 2.3 - 3.3 GHz)	8GB DDR3 1333MHz	1000GB SATA 5400rpm	AMD Radeon™ HD 7670M 2GB GDDR3	372.5 x 243 x 33mm	nincs raktáron	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	2 év					
Dell Vostro 3560 142372 Ezüst Notebook	184961 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	375 x 259 x 28,8 - 32,5 mm	nincs raktáron	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	3 év helyszíni garancia			ujjlenyomat olvasó		
Dell Vostro 3560 142365 Ezüst Notebook	184961 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Dell Vostro 3560 142262 Bronz Notebook	184961 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Dell Vostro 3560 142224 Piros Notebook	184961 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Fujitsu Lifebook AH552 VFY:AH552MF041HU Slimbook	188110 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	378 x 252 x 25.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	8 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	2 év					
Acer V3-571G-53218G1TMAII8 NX.RZMEU.007 Notebook	188110 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)	8GB DDR3 1333MHz	1000GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	2,60 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows® 8	Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	382,0 - 253,0 - 33,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-771G-53216G75MAII8 NX.M1YEU.004 Notebook	188110 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	3.2 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows® 8	Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	414.8 x 275 x 31 / 34.65 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Latitude E5530 L0655301014_SPL Notebook	186535 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	388 x 251 x 30,20 – 33,20 mm	nincs raktáron	6cellás (60WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, LED háttérvilágítású	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, USB 3.0 (2db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS	SD/SDHC kártyahely, beépített HD webkamera	3 év helyszíni garancia			ujjlenyomat olvasó	Panda Antivirus Pro 2012 1 éves 1 gépre 1990Ft	
Toshiba Satellite Pro R850-18K Notebook	185748 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2430M (3M Cache, 2.40 - 3.00 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 6450M 1GB DDR3 VRAM	379,0 x 252,0 x 20,8 / 25,4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	24 bites sztereó	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, USB 3.0 (1db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, Univerzális kártyaolvasó	2 év nemzetközi					
Toshiba Portégé R830-194 3G Notebook 8GB	0 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i5-2435M (3M Cache, 2.40 - 3.00 GHz)	8GB DDR3 1333MHz	500GB SATA 7200rpm	Intel® HD Graphics 3000	316,0 x 227,0 x 18,3 / 44,1 mm	következő munkanapon	9 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	24 bites sztereó	magyar	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), Docking port ( dokkolható ), HDMI csatlakozó, beépített 3G mobil internet modem, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), kombinált eSATA/USB 2.0, Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, Univerzális kártyaolvasó	3 év el- és visszaszállításos (Pick Up and Return)			ujjlenyomat olvasó, TPM chip		
Dell Inspiron 17R SE 7720_146181 Notebook	192047 Ft	17,3" Full HD LED matt TFT 16:9 (1920 x 1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® GT 650M 2GB DDR3	3,28 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	2.1 Skullcandy hangszórók, Waves MaxxAudio® 4	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db), WiDi támogatás	8 az 1-ben kártyaolvasó, beépített HD webkamera	416,8 x 276 x 31,9 - 37,37 mm	nincs raktáron				
Dell Inspiron 17R 5720 146171 Notebook	192047 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)	8GB DDR3 1600MHz	1TB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	3,28 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	2.1 hangszórók, Waves MaxxAudio® 3	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	416,8 x 276 x 31,9 - 37,37 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP ProBook 6560b LY445EA Notebook	192835 Ft	15,6" HD+ LED matt TFT 16:9 (1600 x 900)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 3000	37,4 x 25,1 x 3,4 cm	nincs raktáron	6cellás (51WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	56K modem, VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (4db), soros port, Express card kártyahely, Docking port ( dokkolható ), Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0, DisplayPort	2 az 1-ben kártyaolvasó, beépített HD webkamera	3 év el- és visszaszállításos (Pick Up and Return)			ujjlenyomat olvasó, TPM chip		
ASUS N56VM-S3052V Ezüst Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	38.0 x 25.5 x 2.72 ~ 3.24 cm	következő munkanapon	6cellás (56WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Bang & Olufsen ICEpower®	magyar, LED háttérvilágítású	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), S/PDIF, Bluetooth v4.0 + HS, USB 3.0 (4db)	3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera						
Lenovo IdeaPad Y580 59-349166 Notebook 8GB	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)	8GB DDR3 1600MHz	1TB SATA 5400rpm	NVIDIA® GeForce® GTX 660M 2GB GDDR5 VRAM	2.8 kg	2 év	6 cellás lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar, LED háttérvilágítású	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v3.0 + HS	6 az 1-ben kártyaolvasó, beépített HD webkamera	385 x 255 x 35.7 mm	következő munkanapon				
Dell Vostro 3360 141987 Ezüst Notebook	193622 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i7-3517U (4M Cache, 1.90 - 3.00 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 4000	1,670 kg	3 év helyszíni garancia	4 cellás (49WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	332 x 232 x 18,6 - 19,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3360 141988 Bronz Notebook	193622 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i7-3517U (4M Cache, 1.90 - 3.00 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 4000	1,670 kg	3 év helyszíni garancia	4 cellás (49WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	332 x 232 x 18,6 - 19,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3360 141989 Piros Notebook	193622 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i7-3517U (4M Cache, 1.90 - 3.00 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 4000	1,670 kg	3 év helyszíni garancia	4 cellás (49WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	332 x 232 x 18,6 - 19,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Fujitsu Lifebook NH532 LKN:NH532M0001HU	198347 Ft	17,3" Full HD LED matt TFT 16:9 (1920 x 1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® GT 640M 2GB DDR3	3.0 kg	2 év	8cellás (83WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), kombinált eSATA/USB 2.0, Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített Full HD webkamera	410 x 270 x 20.4 - 35 mm	nincs raktáron				
