TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
ASUS Zenbook UX32A-R3013V	220393 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	6GB DDR3/1600 MHz	500GB 5400RPM SATA + 24GB ExpressCache	Intel® GMA HD 4000	1.45kg	24 hónap	6570 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	Bang & Olufsen ICEpower®	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	ASUS notebook védőtok, Backlight keyboard	326 x 223 x 5,5 / 18 mm	
Fujitsu Lifebook UH572 MF031HU Red	220393 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	32GB SSD + 500Gb SATA 5400RPM	Intel® GMA HD 4000	1.57kg	24 hónap	2840 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	323 x 234 x 18 mm	
LENOVO IdeaPad Y580 (59-349200)	220393 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	6GB DDR3/1600 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GTX 660M 2048MB GDDR5	2.8kg	24 hónap	6700 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	JBL® speakers with Dolby HomeTheater V4	Van	Van	Nincs	Nincs	720p HD webcam	6in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	SPDIF kimenet, Háttérvilágítású billentyűzet	385 x 255 x 35,7 mm	
FUJITSU Lifebook P702-E	220393 Ft	12.1" WXGA LED AntiGlare (matt kijelző) 1280x800 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® GMA HD 4000	1.48kg	36 hónap	5800 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	2in1 Card reader	Van	Nincs	Nincs	3db USB 2.0, 1db USB 3.0	SmartCard reader, Docking port, TPM module, Anytime USB Charge	283 x 215 x 25 / 32 mm	
Lenovo IdeaPad U410 59-349074	220393 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3517U Processor (4M Cache, up to 3.00 GHz)	4GB DDR3/1333 MHz	24GB SSD + 750Gb SATA 5400RPM	NVIDIA® GeForce® GT610 / 1GB VRAM	1.8kg	24 hónap	3200 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM77 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Dolby® Home Theater® v4 hangrendszer	Nincs	Van	Nincs	Nincs	HD-minőségű webkamera	2in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nem	344 x 235 x 21 mm	
Dell Latitude E5430 143040	237716 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3320M Processor (3M Cache, up to 3.30 GHz	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.0kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobil Intel® HM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	1db USB 2.0 - 2db USB 3.0	Backlit keyboard	350 x 240 x 29.9-32.5 cm	
HP ProBook 6560b LY448EA	222441 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	AMD Radeon™ HD6470 512MB	2.5kg	36 hónap	4600 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Nincs	Van	Van	720p HD webkamera	SD/MMC Slot	Van	Van	Van	4db USB 2.0	RS-232 (soros) port,	374 x 251 x 34 mm	
FUJITSU Lifebook S752-E	224330 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.2 kg	36 hónap	5800 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	4in1 Card reader	Van	Nincs	Nincs	2db USB 2.0, 2db USB 3.0	SmartCard reader, Docking port, TPM module, Anytime USB Charge, Modular Bay Concept, Shock Sensor	340 x 245 x 35 mm	
DELL Inspiron 7520 146190	224330 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	8GB DDR3/1600 MHz	1000GB 5400RPM SATA + 32GB SSD	AMD Radeon™ HD 7730M 2048MB	2.766kg	36 hónap	4400 mAh (Lithium-ion)	Blu-ray / DVD combo	Windows 7 Home Premium 64Bit	Mobile Intel® 7 Series Express chipkészlet (HM77)	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Waves MaxxAudio 4.0 stúdióminőségű hangzás csomag + Skullcandy hangszórók	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Nem	378 x 252 x 30,3-34,1 mm	
DELL Vostro 3560 142268 Red	224330 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-3612QM Processor (6M Cache, up to 3.10 GHz) BGA	8GB DDR3/1600 MHz	750GB 7200RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
LENOVO ThinkPad T430i N1T4XHV	225118 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	2.17kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	340.5 x 232.0 x 29.8–29.9mm	
SAMSUNG NP700Z3A-S01HU	241653 Ft	Nem	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	6GB DDR3/1333 MHz	1000GB 5400RPM SATA + 8GB ExpressCache	AMD Radeon™ HD6490 1024MB	2.1kg	24 hónap	5800 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	http://www.youtube.com/watch?feature=player_embedded&v=2I8RVFRo5G4	HD Audio	Van	Van	Nincs	Nincs	1,3 megapixel HD	4in1 Card reader	Nincs	Nincs	Nincs	2db USB 3.0 - 1db USB 2.0	Nem	325 x 226 x 23.7 mm	
N76VM-V2G-T1095V	228267 Ft	17.3" FULL HD-LED GlareType 1920x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	6GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	3.6kg	24 hónap	5200 mAh (Lithium-ion)	Blu-ray / DVD combo	Windows 7 Home Premium 64Bit	Mobile Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	http://www.youtube.com/watch?v=n9nFY0k25CQ&feature=player_embedded#!	Bang & Olufsen ICEpower® 2.1	Van	Van	Nincs	Nincs	Webkamera 2.0MPixel HD	3in1 Card reader	Nincs	Nincs	Nem	4db USB 3.0	SPDIF kimenet, SonicMaster külső mélysugárzó	415 x 280 x 32,9 mm	
TOSHIBA Satellite P875-10R	271574 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	8GB DDR3/1333 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Sound 3D™	Van	Van	Nincs	Nincs	1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	Nincs	Nincs	Nincs	4db USB 3.0	Háttérvilágítású billentyűzet	417,6 x 272,5 x 28-33,7 mm	
LENOVO ThinkPad T430 N1T4ZHV	228267 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.17kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	340.5 x 232.0 x 29.8–29.9mm	
ASUS Zenbook UX32VD-R3001V + Norton 360!	228267 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA + 24GB ExpressCache	NVIDIA® GeForce® GT 620M 1024MB	1.45kg	24 hónap	6570 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	Bang & Olufsen ICEpower®	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	ASUS notebook védőtok, Backlight keyboard, Ajándék Norton 360 v6!	326 x 223 x 5,5 / 18 mm	
ASUS B53S-SO180X	232204 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	750GB 7200RPM SATA	AMD Radeon™ HD6470 1024MB	2.69Kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® QM67 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nem	http://www.youtube.com/watch?v=KtTpfs5H5-c&feature=player_embedded	Altec Lansing® hangszórók	Van	Van	Van	Van	2.0MPixel HD	5in1 Card reader	Van	Nincs	Van	2db USB 2.0 - 1db USB 3.0	Ajándék táska	384 x 263 x 33-35 mm	
LENOVO ThinkPad T530i N1B3UHV	229055 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	2.45kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	372.8 x 245.1 x 31.8-35.6mm	
Dell Latitude E5530 143041	241338 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3320M Processor (3M Cache, up to 3.30 GHz	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobil Intel® HM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	1db USB 2.0 - 2db USB 3.0	Backlit keyboard	388 x 251 x 30.2-33.2 cm	
Dell Latitude E6220 138068	240787 Ft	12.5" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Nem	4GB DDR3/1333 MHz	320GB 7200RPM SATA	Intel® GMA HD 3000	1.4kg	36 hónap	5200 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM67 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Dell Bluetooth 375	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader, SmartCard olvasó	Van	Van	Van	3db USB 2.0	Dokkolócsatlakozó, Backlit keyboard	309 x 226 x 24.7 mm	
HP ProBook 6570b B6Q04EA	235826 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7570M 1024MB	2.51kg	36 hónap	4800 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Nincs	Van	Van	720p HD webkamera	SD/MMC Slot	Van	Van	Van	2db USB 2.0 - 2db USB 3.0	RS-232 (soros) port, Intel® Anti-Theft támogatás	374 x 251 x 34 mm	
FUJITSU LIFEBOOK T580	275511 Ft	10,1" WXGA HD LED AntiGlare Multi-Touch (1366x768)	Intel® Core™ i5-560UM Processor (3M Cache, 1.33 GHz)	4GB DDR3/1066 MHz	500GB 7200RPM SATA	Intel® Graphics Media Accelerator HD	1.4kg	36 hónap	5800 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® HM55 Express	Gigabit LAN	Intel® Centrino® 6200 802.11 a/b/g/n	Bluetooth 2.1	Sierra Wireless Gobi 3000 3G/UMTS/GPS modul	Nem	RealTek ALC260	Van	Van	Nincs	Van	1.3MPixel HD	2in1 Card reader	Nincs	Van	Nincs	2db USB 2.0	SmartCard reader,	270 x 189 x 39,7mm	
FUJITSU Lifebook S751 0002HU	251889 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-2520M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1066 MHz	500GB 7200RPM SATA	Intel® Graphics Media Accelerator HD	2.3kg	36 hónap	6200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Intel® Centrino® 6200 802.11 a/b/g/n	Bluetooth 3.0	UMTS module Sierra Wireless Gobi 3000	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	2in1 Card reader	Van	Nincs	Van	3db USB 2.0	SmartCard reader,	340 x 245 x 35 mm	
LENOVO IdeaPad Y580 (59-349175)	236141 Ft	15.6" FULL HD-LED GlareType 1980x1080 pixel	Intel® Core™ i7-3610QM Processor (6M Cache, up to 3.30 GHz)	4GB DDR3/1600 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GTX 660M 2048MB GDDR5	2.8kg	24 hónap	6700 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	JBL® speakers with Dolby HomeTheater V4	Van	Van	Nincs	Nincs	720p HD webcam	6in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	SPDIF kimenet, Háttérvilágítású billentyűzet	385 x 255 x 35,7 mm	
FUJITSU Lifebook E751 V210 + kiegészítők!	251889 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2520M Processor (3M Cache, 2.50 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.3kg	36 hónap	6200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM67 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 3.0	UMTS module Sierra Wireless Gobi 3000	http://www.youtube.com/watch?v=wBgbr35aZjE&feature=player_embedded	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	4in1 Card reader	Van	Nincs	Van	3db USB 2.0 - 1db USB 3.0	+ a hozzá járó kiegészítők: Mouse 400NB Black + CASUAL TOP CASE 16 + Port Replicator	372 x 245 x 35 mm	
FUJITSU Lifebook S752-M	236141 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.2 kg	36 hónap	5800 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	4in1 Card reader	Van	Nincs	Nincs	2db USB 2.0, 2db USB 3.0	SmartCard reader, Docking port, TPM module, Anytime USB Charge, Modular Bay Concept, Shock Sensor	340 x 245 x 35 mm	
LENOVO ThinkPad T530 N1B3QHV	240078 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.45kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	372.8 x 245.1 x 31.8-35.6mm	
TOSHIBA Tecra R850-17C	243228 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-2520M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	AMD Radeon™ HD6450 1024MB	2.49kg	36 hónap	5700 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	UMTS/3G (HSDPA 14,4 Mb/s, HSPA Evolution 21 Mb/s, illetve HSUPA 5,76 Mb/s átviteli sebességig)	Nem	SRS Premium Surround Sound	Van	Nincs	Van	Van	beépített VGA-felbontású webkamera beépített mikrofonnal	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 256 MB-os Memory Stick®, 16 GB-os Memory Stick Pro™, 2 GB-os MultiMedia Card™ és 2 GB-os xD-Picture Card™ kártyákhoz)	Nincs	Nincs	eSATA/USB 2.0 USB Sleep-and-Charge technológiával	2db USB 2.0 - 1db USB 3.0	Intel® Anti-Theft technológia támogatás	379,0 x 252,0 x 20,8/25,4 mm	
FUJITSU Lifebook S751 MXP51HU	244015 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-2520M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1066 MHz	500GB 7200RPM SATA	Intel® Graphics Media Accelerator HD	2.3kg	36 hónap	5600 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM67 Express	Gigabit LAN	Intel® Centrino® 6200 802.11 a/b/g/n	Bluetooth 3.0	Nincs	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	2in1 Card reader	Van	Nincs	Van	3db USB 2.0 - 1db USB 3.0	SmartCard reader, SIM card slot, Dokkoló csatlakozó	340 x 245 x 35 mm	
Sony Vaio VPCF24M1E/B Black	244015 Ft	16.4" FULL HD-LED GlareType	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	640GB 5400RPM SATA	NVIDIA® GeForce® GT 540M / 2048MB DDR3 VRAM	3.3kg	24 hónap helyszíni garancia	4400 mAh (Lithium-ion)	Blu-ray / DVD combo	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	Belső sztereó hangfalak, Dolby kodek: Dolby® Home Theater® v4	Van	Van	Nincs	Nincs	1,31 megapixel, Valós pixelszám:1280 x 1024	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Backlight keyboard	398,5 x 271,5 x 33,1mm	
Dell Latitude E6330 146780	251102 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	1.7kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader, SmartCard olvasó	Van	Nincs	Van	3db USB 2.0	Dokkolócsatlakozó, Backlit keyboard	335 x 223,3 x 25.4-20.1 mm	
ASUS Zenbook Prime UX31A-R5006V	251889 Ft	13.3" WXGA HD+ LED GlareType 1600x900 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.3kg	24 hónap	6840 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	Bang & Olufsen ICEpower® 2.0	mini VGA	micro HDMI	Nincs	Nincs	0,3MPixel	Nincs	Nincs	Nincs	Nem	1db USB 2.0 - 1db USB 3.0	Ajándék tok, háttérvilágítású billentyűzet	325 x 223 x 3-18 mm	
Sony Vaio VPCSB4S9E/B Black	251960 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	640GB 5400RPM SATA	AMD Radeon™ HD6470 512MB	1.72kg	24 hónap helyszíni garancia	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Intel® HM67 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Belső sztereó hangfalak, Dolby kodek: Dolby® Home Theater® v4	Van	Van	Nincs	Van	0.3 megapixeles kamera	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Backlight keyboard, Ház anyaga: Magnézium; Alumínium kéztámasz	225 x 24 x 331mm	
LENOVO ThinkPad T430 N1T52HV	252677 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® Quadro NVS 5400M 1024MB	2.17kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	340.5 x 232.0 x 29.8–29.9mm	
