TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
ASUS P53E-SO211D	82598 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Celeron® Processor B820 (2M Cache, 1.70 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6Kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nem	http://www.youtube.com/watch?v=KtTpfs5H5-c&feature=player_embedded	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3 Mega Pixel	4in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	378 x 253 x 31,7-36 mm	
Packard Bell EasyNote F5211-HC-851HG	82598 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B970 (2M Cache, 2.30 GHz)	8GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2-33,2 mm	
ASUS X55U-SX035D	82598 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 6320M	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	AMD A68M	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 26,2-31,9 mm	
HP 630 A6E83EA	86606 Ft	Nem	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Ajándék Táska	376 x 247 x 31.8 mm	
ASUS K53BY-SX119D + ajándék Skin!	94409 Ft	Nem	AMD® E-350 Dual-Core (1.6Ghz, 1MB L2)	3GB DDR3/1066 MHz	500GB 5400RPM SATA	AMD Radeon™ HD6470 512MB	2.5kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A50M (Hudson M1) Fusion™	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	378 x 253 x 34.9mm	
ASUS U32U-RX004D	86535 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1066 MHz	320GB 5400RPM SATA	AMD Radeon™ HD 6320M	1.55kg	24 hónap	3000 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	FreeDos	AMD® A50M chipset	Gigabit LAN	Wireless 802.11b/g/n	Nem	Nem	Nem	Bang & Olufsen ICEpower® 2.0	Van	Van	Nincs	Nincs	0.3 Mega Pixel	3in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 2db USB 3.0	Nem	328 x 238 x 22-24 mm	
DELL Inspiron N5050-145800 BLACK	86535 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	3in1 Card reader	Nincs	Nincs	Van	3db USB 2.0	Nem	376 x 260 x 29.7-33.8mm	
LENOVO IdeaPad G570 59-324359	94409 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	5in1 Card reader	Nincs	Nincs	Nincs	4db USB 2.0	Nincs	376.8 x 249.8 x 17.3-34.9mm	
ASUS X53BR-SX029D	86535 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	ATI Mobility™ Radeon® HD7470M / 1GB VRAM	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	AMD A50M	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	378 x 253 x 35,6 / 37,2 mm	
ASUS X54C-SO476D	86535 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2310M Processor (3M Cache, 2.10 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® GMA HD 3000	2.6kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nem	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 1db USB 3.0	Nincs	378 x 253 x 35,6 / 37,2 mm	
