TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
HP-Compaq Spectre XT Pro Ultrabook™	264952 Ft	13,3 "	1366x768 WXGA HD	Fényes, LED	BrightView	Intel	Core i5	3317U 1.70 GHz	3 MB L3 cache, 2 mag	4 GB	DDR3 1600 MHz	alaplapon, nem bővíthető	128 GB	SSD	mSATA Solid State Drive	Intel	HD Graphics 4000	Alaplapi integrált		1.39 kg	1 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	4-cellás (45 WHr) Li-Ionmax. 8 óra		Mobile Intel® HM76 Express	2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Ezüst hátlap	Nem	Angol			HP Beats Audio™; High Definition Beats hangszórók, beépített mikrofon1 combo stereo headphone/mic jack	Webkamera, HDMI, USB 3.0, Bluetooth	Bluetooth 4.01 USB 3.01 USB 2.0 töltő1 HDMI	1 2-in-1 médiakártya-olvasó	HP TrueVision HD Webkamera TPM 1.2		Intel Centrino Advanced-N 6235 802.11a/b/g/n (2x2) 10/100/1000 LAN	Windows 7 Professional		31.65 x 22.45 x 1.45 cm	Microsoft® Office StarterHP Quick LaunchHP Support AssistantHP CoolSenseIntel Wireless Display and Music	Angol		64 bit			Video megtekintése ->		
Dell Precision M4600	336212 Ft	15,6 "	1920x1080 HD 1080	LED, Matt	UltraSharp™, szélesvásznú, tükröződéscsökkentő bevonattal	Intel	Core i7	2670QM 2.40GHz	Quad Core	8 GB	DDR3 1333 MHz	4*2GB	750 GB	HDD	7200rpm SATA	nVidia	Quadro 1000M 2GB GDDR3	Dedikált, saját memóriával		Induló tömeg: 2,79 kg	3 év (1 év az akkura és töltőre)	Helyszíni, Világ	9 cellás (97WHr)	DVD író	Mobile Intel® QM67 Express	Üzleti, Játék/3D grafika, Professzionális	Notebook / Laptop	Új	Barna hátlap	Nem	Magyar	háttérvilágítással ellátott	Többérintéses érintőpad három gombbal; pöcökegér három gombbal	Két beépített minőségi hangszóró és két beépített digitális zajelnyomó mikrofonmikrofon és fejhallgató csatlakozó	HDMI, eSATA, IEEE 1394 FireWire, ExpressCard, Dokkolócsatlakozó, Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, USB 3.0, DisplayPort, VGA, Bluetooth	Dell Wireless 375 Bluetooth® 3.02*USB 2.0, IEEE 1394, VGA, HDMI, eSATA / USB 2.0, 2*USB 3.0, DisplayPort	dokkolható54 mm-es ExpressCard bővítőhely, 10 az 1-ben memóriakártya-olvasó	2.1Mp kameraTrusted Platform Module, TPM 1.2	WLAN	Intel Centrino® Ultimate-N 6300 3x310/100/1000 Gigabit Ethernet	Külön vásárolható	Free DOS CD	Szélesség: 376 mmMélység: 256 mmMagasság: 32,7–36,8 mm					8x DVD+/-RW tálcás		Alumínium és magnéziumötvözet ház	2048 MB	
Lenovo ThinkPad X230+UltraBase dokkoló + Ultrabay DVD író	412432 Ft	12,5 "	1366x768 WXGA HD	LED, Matt	Premium anti-glare, 200 nit, 16:9, 300:1	Intel	Core i7	3520M 2.9 GHz	dual-core, 4MB Cache	8 GB	DDR3 1600 MHz	16GB max.	180 GB	SSD	Active Protection System™, Shock Mounted Hard Drive	Intel	HD Graphics 4000	Alaplapi integrált		1.50kg	3 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás Li-Ion, max. 10.3 óra	DVD író	Mobile Intel QM77 Express Chipset	Üzleti, Ultrahordozható, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	6-soros, 84-gombos, ThinkVantage gomb, cseppálló, multimedia Fn gombok, ThinkLight™ megvilágítás	TrackPoint és UltraNav™ touchpad	High Definition (HD) Audio, Conexant 20672 codec / sztereo hangszórók: 1 watt x 2duál mikrofon, combo audio/mic jack	ExpressCard, Dokkolócsatlakozó, Memóriakártya olvasó, Ujjlenyomat olvasó, Webkamera, Bluetooth, USB 3.0, DisplayPort, VGA	Bluetooth 4.0, 2*USB 3.0, 1*powered USB 2.0, VGA DB-15, Mini DisplayPort	4-in-1 kártyaolvasó (SD, SDHC, SDXC, MMC)ExpressCard 34/54	TCG 1.2 Secure Chip, AuthenTec ujjlenyomat-olvasóHD720p webkamera	WLAN	Intel 6205agn WiFiIntel 82579LM Gigabit Ethernet	Windows 7 Professional		305mm x 206.5mm x 19.0-26.6mm	HUN/ENG C&L	Magyar, Angol		64 bit	UltraBase dokkolón Ultrabay DVD író				
HP-Compaq Folio¹³	272590 Ft	13,3 "	1366x768 WXGA HD	LED, Fényes	BrightView	Intel	Core i5	2467M 1.60 GHz	3 MB L3 cache	4 GB	DDR3 1333 MHz	max. 4GB	128 GB	SSD		Intel	HD 3000	Alaplapi integrált		1.5 kg	1 év (1 év az akkura és töltőre)	Szerviz, Világ	6-cellás (59 WHr) Li-Ion; max. 9 óra		Mobile Intel® HM65 Express	2 kg alatt, Ultrabook™	Notebook / Laptop	Új		Nem	Angol	teljes méretű cseppálló, háttérvilágítással	Touchpad, on/off gombbal	Dolby Advanced Audio, Sztereo hangszórók, mikrofon1 combo stereo headphone/mic jack	Webkamera, HDMI, USB 3.0, Bluetooth, Memóriakártya olvasó	Bluetooth 3.0, 1 USB 3.0, 1 USB 2.0, 1 HDMI	1 SD/MMC	1.3MP HP TrueVision HD WebkameraTPM 1.2 Security Chip	WLAN	Intel Centrino Wireless-N1030 802.11b/g/n Wi-FiEthernet 10/100/1000	Windows 7 Professional	HP Connection Manager 4.1; HP Support Assistant; Adobe Flash Player; HP CoolSense; HP Quick Launch; Skype; Intel Wireless Display (WiDi)	22.02 x 31.85 x 1.8 cm		Angol		64 bit					
Toshiba PORTÉGÉ R830-113	273062 Ft	13,3 "	1366x768 WXGA HD	LED, Matt	Tükröződésmentes, nagy fényerejű Toshiba HD kijelző 16: 9 oldalaránnyal és LED-es háttérvilágítással	Intel	Core i7	2620M 2,70/3,40 Turbo GHz	Elülső busz : 1333 MHz 3. szintű gyorsítótár : 4 MB	4 GB	DDR3 1333 MHz	max. 8,192 MB	500 GB	HDD	7,200 fordulat/percMerevlemez-védelem és térbeli gyorsulásérzékelő	Intel	HD Graphics 3000	Alaplapi integrált		min. 1,64 kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	technológia : lítiumionos, 9 cellás, nagy kapacitású akkumulátor maximális üzemidő : akár 12 óra 10 perc (Mobile Mark™ 2007)	DVD író		Üzleti, Professzionális	Notebook / Laptop	Új	Fekete magnéziumház szálcsiszolt fémes bevonattal, fekete billentyűzet	Nem	Magyar	billentyűk : 87 Windows billentyűk : Igen speciális szolgáltatások : matt fekete billentyűzetCseppálló billentyűzet	A kétujjas görgetést, csippentést, tükrözést és forgatást támogató, több érintést érzékelő érintőtábla. A számítógépen az érintőtáblához külön be- és kikapcsológomb is található	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszóró 1 × beépített mikrofon 1 × sztereó fejhallgató1 × külső mikrofon	eSATA, Bluetooth, USB 3.0, HDMI, Dokkolócsatlakozó, Memóriakártya olvasó, Ujjlenyomat olvasó, Webkamera	Bluetooth® 3.0 + HS1 (a jobb oldalon) × USB 3,0 1 (bal) × USB 2.01 (bal) × eSATA/USB 2.0 USB Sleep-and-Charge technológiával 1 × HDMI, 1080p jelformátum támogatása	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)1 × csatlakozó a Toshiba Hi-Speed Port Replicator II porttöbszörözőhöz 1 × csatlakozó a Toshiba nagy sebességű Hi-Speed Port Replicator porttöbszörözőjéhez	1 × beépített VGA-felbontású webkameraTPM, ujjlenyomat azonosítás	WWAN modem (HSDPA/3G), WLAN	Mobil szélessáv (Ericsson F5521gw) UMTS/3G (HSDPA 14,4Mbps, HSPA Evolution 21Mbps / HSUPA 5,76Mbps)Wi-Fi™ Hálózati támogatás : 802.11a/b/g/nGigabit Ethernet LAN	Windows 7 Professional	Toshiba Bluetooth™ Stack Toshiba Bluetooth™ Monitor Toshiba Disc Creator Toshiba felhasználói kézikönyv Felügyelői jelszót kezelő segédprogram Toshiba Assist Chicony kamerakezelő szoftver Toshiba Face Recognition Toshiba értéknövelő csomag (Toshiba Power Saver, Toshiba Zooming Utility, Toshiba PC Diagnostic Tool, Toshiba Flash Cards, Toshiba Components Common Driver, Toshiba Accessibility, Toshiba Button Support) McAfee® Internet Security (30 napig ingyenesen frissíthető az interneten keresztül) WildTangent Games Console Toshiba Photo Service Toshiba Recovery Media Creator Nero BackItUp és Burn Autobackup EssentialsToshiba Video Player Nero Multimedia Suite 10 Essential Connectivity Doctor ConfigFree™ Toshiba segédprogramok és eszközillesztők	Sz x H x M : 316,0 x 227,0 x 18,3 (elöl) / 44,1 (hátul) mm	előtelepítve, Toshiba merevlemez-helyreállítással	Magyar	akár 1696 MB megosztott memória 4 GB telepített rendszermemóriával (előre telepített 64 bites operációs rendszer esetén) memória típusa : megosztott	64 bit	Univerzális kétrétegű, vékony DVD-meghajtó		Tartós kialakítás Rázkódás- és ütéselnyelő kialakítás		
Toshiba Satellite P755-12G	274244 Ft	15,6 "	1366x768 WXGA HD	3D, LED, Fényes	Nagy fényerejű, Toshiba TruBrite® HD TFT-kijelző a 3D Vision technológia használatáhozválaszidő (kigyújtás + eloltás, tip.) : 8 ezredmásodperc	Intel	Core i7	2670QM 2,20/3,10 Turbo GHz	Elülső busz : 1333 MHz 3. szintű gyorsítótár : 6 MB	8 GB	DDR3 1333 MHz	8,192 (4,096 + 4,096) MB, max. 8GB	500 GB	SSD	Solid State Hybrid 4G Drive meghajtó 500 GB kapacitással és 4 GB NAND Flash memória, 7,200 fordulat/perc	nVidia	GeForce® GT 540M, 2 048 MB	Dedikált, saját memóriával		min. 2,62 kg	2 év (1 év az akkura és töltőre)	Szerviz, Világ	lítiumionos maximális üzemidő : akár 3 óra (Mobile Mark™ 2007)	Blu-ray író/olvasó		Játék/3D grafika, Multimédiás	Notebook / Laptop	Új	Fémes fekete fényes peremmel és mintázott felülettel, fekete billentyűzet	Nem	Magyar	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Matt fekete billentyűzet teljes méretű billentyűkkel, háttérvilágítással és tíz számjegyű számbillentyűzettel Gyorskezelő felület 7 érintőgombbal (ECO UTILITY, vezeték nélküli üzemmód be- és kikapcsolása, LED-es megvilágítás be- és kikapcsolása (érintőtábla, Satellite embléma, vezérlőgombok, billentyűzet háttérvilágítása), CD vagy DVD indítása és lejátszása/szüneteltetése, Toshiba LifeSpace Bulletin Board, hangerő +/-)	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla. A számítógépen az érintőtáblához külön be- és kikapcsológomb is található	támogatott hangformátum : 24 bites sztereó hangszórók : beépített Harman Kardon® sztereó hangszórók gyártó : Toshiba hangrendszer mélyhangkiemeléssel, Dolby® Advanced Audio technológiával 1 × sztereó fejhallgató 1 × a „Sleep-and-Music” funkciót támogató külső mikrofon	Memóriakártya olvasó, Webkamera, Numerikus billentyűzet, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth® 3.0 + HS 1 × külső monitor 1 × HDMI-CEC (REGZA-Link), 1080p jelformátum támogatása 3 (1 a bal, 2 a jobb oldalon) × USB 2.01 (bal) × USB 3.0 USB Sleep-and-Charge támogatással	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™ Card, 64 GB-os SDXC™, 256 MB-os Memory Stick®, 16 GB-os Memory Stick Pro™, 2 GB-os MultiMedia Card™ és 2 GB-os xD-Picture Card™ kártyákhoz)	1,3 megapixeles webkamera beépített mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nGigabit Ethernet LAN	Windows 7 Home Premium	Toshiba Bluetooth™ Stack Toshiba Disc Creator Toshiba felhasználói kézikönyv Felügyelői jelszót kezelő segédprogram Toshiba Assist Chicony kamerakezelő szoftver Toshiba értéknövelő csomag (Toshiba Power Saver, Toshiba Zooming Utility, Toshiba PC Diagnostic Tool, Toshiba Flash Cards, Toshiba Components Common Driver, Toshiba Accessibility, Toshiba Button Support) McAfee® Internet Security (30 napig ingyenesen frissíthető az interneten keresztül) WildTangent Games Console Toshiba Photo Service Toshiba Recovery Media Creator WinDVD® BD Toshiba-termékekhezToshiba Video Player Nero Multimedia Suite 10 Essential Toshiba Music Place Connectivity Doctor ConfigFree™ Toshiba segédprogramok és eszközillesztők Nero BackItUp és Burn Autobackup Essentials	Sz x H x M : 380,5 x 254,0 x 30,0 (elöl)/37,6 (hátul) mm	előtelepítve, Toshiba merevlemez-helyreállítással	Magyar	CUDA™ technológiával, A rendelkezésre álló grafikus memória a rendszermemória használatával bővíthető a TurboCache™ technológia segítségével: akár 4095 MB memória 5 GB telepített rendszermemóriával (előre telepített 64 bites operációs rendszer esetén). memória típusa : DDR3 Video RAM (illetve Video RAM és rendszermemória kombinálva) csatlakoztatott busz : PCI Express®	64 bit	Blu-ray Disc™ lemezmeghajtó (BD-RE) DVD Super Multi meghajtófunkcióval	NVIDIA® 3D Vision™ csomag (aktív folyadékkristályos szemüveg, tárolórekesz, törlőkendő, állítható orrnyereg-támasz, dokumentáció)	Video megtekintése ->	2048 MB	
HP-Compaq EliteBook 8570p	302039 Ft	15,6 "	1600x900 WXGA HD+	LED, Matt	anti-glare	Intel	Core i5	3360M 2,80GHz	3 MB L3 gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	Legfeljebb 16 GB	500 GB	HDD	7200 rpm SATA IIHP 3D DriveGuard	AMD/ATI	Radeon HD 7570M 1GB GDDR5	Dedikált, saját memóriával		2,61 kg kezdősúly	3 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás (62 Wh) lítiumionakár 8 óra 15 perc	DVD író	Mobil Intel® QM77 Express	Üzleti, Professzionális, Játék/3D grafika	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	Folyadékelvezető, cseppálló billentyűzet, numerikus billentyűzettel	Érintőtábla be- és kikapcsológombbal, kétirányú görgetéssel, kézmozdulat-érzékeléssel és kétválasztógombbal; Mutatópálca, két további választógomb	SRS Premium Sound PRO; Beépített sztereó hangszórók; Sztereó fejhallgató-/vonali kimenet; Sztereó mikrofonbemenet; Beépített két tömbmikrofon	Soros, Memóriakártya olvasó, Dokkolócsatlakozó, Smart Card olvasó, VGA, DisplayPort, USB 3.0, Bluetooth, eSATA, IEEE 1394 FireWire, ExpressCard, Webkamera	Bluetooth 4.0+ EDR 2 USB 3.0 1 USB 2.0 1 USB 2.0 töltő 1 kombinált eSATA/USB 2.0 1 külső VGA-monitor 1 DisplayPort 1 1394a 1 soros	1 dokkolócsatlakozó 1 másodlagos akkumulátorcsatlakozó 1 Express Card/54 1 SD/MMC, Smart Card	720p HD webkameraTPM Embedded Security Chip 1.2	WLAN	Intel Centrino 802.11a/b/g/n WLANIntel 82579LM Gigabit LAN (10/100/1000 NIC)	Windows 7 Professional	Microsoft® Office Starter: csak a Word és az Excel® programot tartalmazza, csökkentett funkcionalitással és hirdetésekkel. A PowerPoint® és az Outlook®alkalmazást nem tartalmazza. A teljes szoftvercsomag használatához meg kell vásárolnia az Office 2010 szoftvert; Microsoft Security Essentials; HP ConnectionManager; HP gyorsbillentyű támogatása; HP Power Assistant; HP ProtectTools for Central Management; HP ProtectTools Security Manager; HP Recovery Manager;HP Support Assistant; HP webkameraszoftver (egyes típusok esetén); Adobe® Flash Player; Corel WinDVD (egyes típusoknál); PDF Complete vállalati kiadás;Roxio MyDVD Business 2010 (egyes típusoknál); Roxio Secure Burn (egyes típusoknál); A Skype használatára felkészítve (internet-hozzáférés szükséges); WinZipBasic	37,4 x 25,1 x 3,4 cm		Magyar		64 bit	DVD+/-RW SuperMulti DL			1024 MB	
Fujitsu Lifebook S761 Premium selectionajándék dokkoló!	275511 Ft	13,3 "	1366x768 WXGA HD	LED, Matt	anti-glare, 300:1, 200cd/m²magnézium fedlap	Intel	Core i7	2640M 2.8GHz	4MB L2 cache	4 GB	DDR3 1333 MHz	(1x4GB), max. 8 GB	128 GB	SSD	SATA, 2,5”ShockSensor: aktív merevlemez rázkódás elleni védelem	Intel	HD Graphics	Alaplapi integrált		1,66-1,9 kg	3 év (1 év az akkura és töltőre)	Szerviz	Hatcellás Li-Ion akkumulátor 5600mAh, másodlagos akkumulátor (2500mAh)akár 11,5 óra üzemidő (második akkumulátorral akár 16,5 óra!)	DVD író	Intel QM67 chipsetG-sensor	Professzionális, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	Billentyűk száma: 85, billentyűméret: 19 mm, leütési mélység 2,7 mm, folyadékálló billentyűzetAlkalmazásindító gombok	Többpontos érintésvezérlést támogató touchpad két egérgombbal és ergonomikus gördülésérzékelővel	Realtek ALC269 Audio codec Sztereó hangszórók, Belső mikrofonAudio: vonalbemenet/mikrofonAudio: vonalkimenet/fejhallgató	Memóriakártya olvasó, Ujjlenyomat olvasó, Webkamera, ExpressCard, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth V3.0, 1x USB3.0, 2x USB2.0, 1x VGA, 1x HDMI	Kártyaolvasó (SD), ExpressCard slot(34/54) mm, Sim card slot, Dokkcsatlakozó	1,3Mp webkameraUjjlenyomat-olvasó, TPM modul	WWAN modem (HSDPA/3G), WLAN	3G/UMTS/GPS modem (Sierra Wireless Gobi 3000)Gigabit LAN, Intel Centrino 6205 802.11ag WLAN	Windows 7 Professional	Application PanelDisplay ManagerShockSensor segédprogramEnergiatakarékos segédprogramPlugfree NetworkEasyGuide online felhasználói dokumentációNero Essentials S (CD/DVD-író szoftver)Norton Internet Security (tűzfallal) a Microsoft Windows XP meghajtó- és segédprogramokat tartalmazó DVD-jénFujitsu Recovery (merevlemez-alapú visszaállítás)Helyreállító DVD (Windows® 7)Meghajtó- és segédprogramokat tartalmazó DVD (DUDVD)UMTS csatlakozást kezelő szoftver (opcionálisan az UMTS-hez)DVD-lejátszó szoftver	321 x 228 x 27,1-35,5 mm		Magyar		64 bit	DVD SuperMulti	notebooktartó mappa			
Lenovo Thinkpad T420 + dokkoló!	279448 Ft	14,1 "	1600x900 WXGA HD+	LED, Matt	16:9, 250 nit, 300:1, anti-glare	Intel	Core i5	2450M 2,50 GHz / 3,10 Turbo GHz	3M Cache	4 GB	DDR3 1333 MHz	1x4GB, max. 8GB	128 GB	SSD		nVidia	Quadro NVS4200M (1GB)	Dedikált, saját memóriával		2.24kg-tól (kiépítéstől függően)	3 év (1 év az akkura és töltőre)	Szerviz, Világ	9 cellás 94WHr Li-Ion akkumulátormax. 5,5 óra	DVD író	Mobile Intel QM67 Express chipset	Üzleti, Professzionális, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	89 gombos ”folyadékálló” billentyűzet, Fn funkcióbillentyűk, Windows gombokThink Light: billentyűzet megvilágítás	UltraNav (wide multi-touch tapipad és TrackPoint pöcökegér)	HD audio, Conexant 20672 codec, sztereo hangszóró (2 x 1watt), beépített dual array mikrofonkombinált mikrofon bemenet / fejhallgató kimenet (3.5 jack)	ExpressCard, Dokkolócsatlakozó, Memóriakártya olvasó, Webkamera, VGA, DisplayPort, Bluetooth, eSATA	Bluetooth 3.0, 3 x USB 2.0, 1 x USB2.0/eSATA, VGA (DB-15) és DisplayPort	1 db ExpressCard/34 foglalat, 4 az 1-ben kártyaolvasó (MMC, SD, SDHC, SDXC)	Kamera: beépített, HD720p, széles látószög, fix fókusz Security Chip 2 Enabled	WLAN	Gigabit Ethernet, ThinkPad 1x1 b/g/n WiFi, WWAN előkészítés	Külön vásárolható		340mm x 229.8mm x 29.9-30.4mm					Ultrabay Enhanced DVD±RW DL		felsőrész: Carbon-Fiber Reinforced (szénszál erősítésű) műanyag, oldalfal: Glass-Fiber Reinforced (üvegszál erősítésű) műanyag alsórész: Carbon-Fiber Reinforced (szénszál erősítésű) műanyag	1024 MB	
Acer Aspire Timeline Ultra M5-581TG-73516G52Mass_W8	280936 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal™ (200-nit)	Intel	Core i7	3517UB 1.9 GHz	4MB cache, 3.0GHz Turbo Boost, 17W	6 GB		2+4GB, max. 6 GB	20 GB	SSD	mini-SATA (mSATA™) +500GB Serial ATA HDD	nVidia	GeForce® GT 640M 1GB GDDR5	Dedikált, saját memóriával		2.3 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	54 Wh 4850 mAh 3-cellás Li-polymermax. 8 óra	DVD író	Mobile Intel® HM77 Express	Játék/3D grafika, Ultrabook™	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby Home Theater® v4 audio Acer 3DSonic sztereo hangszórók, mikrofonHeadphone/speaker jack	Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, HDMI	Bluetooth 4.0, 2*USB 3.0, USB 2.0, HDMI®	2-in-1 Memóriakártya olvasó (SD, SDHC, SDXC, MMC)	720p HD Webkamera 1280 x 1024	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-FiGigabit Ethernet LAN	Windows 8	• Acer Backup Manager• Acer ePower Management• Acer eRecovery Management• Acer Instant Update Utility• Microsoft® Office Starter 2010• Norton™ Online Backup• Acer Theft Shield• McAfee® Internet Security Suite Trial• MyWinLocker®• Acer clear.fi• NTI Media Maker™• Cyberlink® MediaEspresso• Acer Crystal Eye• Acer Identity Card• Acer Registration• Acer Updater	366.3 (W) x 255.5 (D) x 20.1/20.6 (H) mm		Magyar	NVIDIA® CUDA™, PhysX™, PureVideo® HDtechnology, OpenEXR High Dynamic-Range (HDR),Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1,OpenCL™ 1.1		8X DVD-Super Multi double-layer			1024 MB	
Asus ZENBOOK UX32VD-R4002V	281094 Ft	13,3 "	1920x1080 HD 1080	LED		Intel	Core i7	3517U 1.90 GHz		4 GB	DDR3 1333 MHz		24 GB	SSD	+ 500GB SATA HDD	nVidia	GeForce® GT 620M 1GB DDR3	Dedikált, saját memóriával		1.45 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás 48 Whr Polymer		Intel® HM76 Express Chipset	2 kg alatt, Ultrabook™, Játék/3D grafika	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar			Bang & Olufsen ICEpower®beépített hangszórók és mikrofon1 x Headphone-out jack (Audio-in Combo)	VGA, USB 3.0, Memóriakártya olvasó, Webkamera, Bluetooth, HDMI	Bluetooth 4.0, HDMI 1.4 (1080p), VGA mini DSUB, 3*USB3.0 / USB 2.0	2 az 1ben SD/MMC Kártyaolvasó	720p HD WebkameraTPM (Trusted Platform Module)	WLAN	802.11bgn WLAN10/100 LAN	Windows 7 Home Premium		325 x 223 x 5.5 ~18 mm (WxDxH)		Magyar	(NV13M-GS)			Táska		1024 MB	
Dell Latitude E6430	282039 Ft	14,1 "	1600x900 WXGA HD+	LED, Matt	AntiGlare tükröződéscsökkentő bevonattal	Intel	Core i5	3320M 2.60GHz	3MB cache, Dual Core	6 GB	DDR3 1600 MHz	(1x4096+ 1X2048MB)	750 GB	HDD	Serial ATA II (7200RPM)	Intel	HD Graphics	Alaplapi integrált		Induló tömeg: 2,014 kg	3 év (1 év az akkura és töltőre)	Helyszíni, Világ	6 cellás (60 Wh-s) lítiumion akkumulátor ExpressCharge™ funkcióval	DVD író	Mobile Intel® QM77 Express chipkészlet	Professzionális, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	háttérvilágítással ellátottKét mutatóeszközt tartalmazó billentyűzet	Többérintéses érintőpad	Kiváló minőségű hangszóróKombinált sztereó fejhallgató/mikrofonIntegrált, zajcsökkentő tömbmikrofonKombinált sztereó fejhallgató-/mikrofoncsatlakozó	Webkamera, Ujjlenyomat olvasó, USB 3.0, Bluetooth, eSATA, ExpressCard, Dokkolócsatlakozó, Memóriakártya olvasó	Dell Wireless 380 Bluetooth® 4.0USB 2.0 (2) – 1 kombinált USB/eSATA; USB3.0 (2), VGA, HDMI	Memóriakártya-olvasó, 54 mm-es ExpressCardDokkolócsatlakozó	Full HD Webkamera Ujjlenyomat olvasó	WLAN	Intel Centrino Advanced-N 6205 (802.11 a/b/g/n)10/100/1000 Gigabit Ethernet	Windows 7 Professional		Szélesség: 352 mmMagasság: (elöl/hátul) 26,60–32,40 mmMélység: 241,00 mm		Magyar		64 bit	DVD+/-RW				
Asus Zenbook Prime UX21A-K1010V	283850 Ft	11,6 "	1920x1080 HD 1080	Fényes, LED	IPS	Intel	Core i7	3517U - 1,90GHz	4MB cache	4 GB	DDR3 1600 MHz	OnBoard	128 GB	SSD	SATA III	Intel	HD Graphics 4000	Alaplapi integrált		1,1 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cella 35 Whr Polymer		Intel® HM76 Express Chipset	2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	háttérvilágítású billentyűzet, 286mm		Bang & Olufsen ICEpower® 2.0beépített hangszórók és mikrofon	Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth 4.02 x USB 3.0 port 1 x micro HDMI1 x Mini VGA		720p Webkamera	WLAN	WLAN 802.11 a/b/g/n10/100 Mbps Ethernet USB Adapteren keresztül	Windows 7 Home Premium		299 x 196.8 x 3 ~17 mm (WxDxH)		Magyar		64 bit		Táska			
