TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
LENOVO IdeaPad G570GT 59-346001	98165 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2310M 2.1GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G575 59-353537	82928 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD6320	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G575GC 59-324664	86097 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6320	 2,7 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G575GC 59-324665	79649 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6320	 2,7 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G575GL 59-336163	77978 Ft	 15,6"	 1366x768	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6320	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G575GL 59-345819	69167 Ft	 15,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6320	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G575GL 59-345827	78701 Ft	 15,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6310	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G575GL 59-345828	74129 Ft	 15,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6320	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580 59-341950	98745 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580 59-346867	106633 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2328M 2.20GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580 59-351257	110526 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580 59-351270	106379 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 Intel HD Graphics 4000	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580 59-353502	101613 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,5 kg	 DVD-RW	 Windows 8	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580AH 59-346881	97962 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 610	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580AH 59-353496	134307 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,5 kg	 DVD-RW	 Windows 8	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580GH 59-336871	93805 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 750 GB	 Intel HD Graphics 3000	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580GH 59-346857	122453 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad G580GH 59-346892	103234 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2328M 2.20GHz	 4GB	 DDR3	 1000 GB	 Intel HD Graphics 3000	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G580GL 59-346348	77978 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B830 1.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G585A 59-334362	85894 Ft	 15,6"	 1366x768	 Igen	 AMD A1-1200 1.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6370	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G585A 59-346424	89231 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6470	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G585A 59-353961	91634 Ft	 15,6"	 1366x768	 Igen	 AMD E1-1200 1.40GHz	 2GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD3000	 2,5 kg	 DVD-RW	 Windows 8	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G585A 59-353963	109421 Ft	 15,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6370	 2,5 kg	 DVD-RW	 Windows 8	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad G585G 59-341994	86857 Ft	 15,6"	 1366x768	 Igen	 AMD A1-1200 1.40GHz	 6GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD7310	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad S300 59-350164	114897 Ft	 13,3"	 1366x768	 Igen	 Intel Pentium 997 1.60GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S300 59-350165	101613 Ft	 13,3"	 1366x768	 Igen	 Intel Pentium 977 1.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,8 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S300 59-350170	155395 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 24 GB		
LENOVO IdeaPad S300 59-350176 Pink	106927 Ft	 13,3"	 1366x768	 Igen	 Intel Celeron 887 1.50GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S300 59-350185	132949 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-2365M 1.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 24 GB		
LENOVO IdeaPad S400 59-350200 Piros	114897 Ft	 14"	 1366x768	 Igen	 Intel Pentium 997 1.60GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S400 59-350206	102678 Ft	 14"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,8 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S400 59-350207	117230 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2365M 1.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7450	 1,8 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S400 59-350220	138276 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2365M 1.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 24 GB		
LENOVO IdeaPad S400 59-350221	110526 Ft	 14"	 1366x768	 Igen	 Intel Pentium 997 1.60GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7450	 1,8 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S400 59-356221	118497 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2365M 1.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7450	 1,8 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
LENOVO IdeaPad S400 59-356715	134307 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2365M 1.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,8 kg	 Nincs	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 24 GB		
LENOVO IdeaPad U310 59-349003	208082 Ft	 13,3"	 1366x768	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,68 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 24 GB		
LENOVO IdeaPad U310 59-349012	153529 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000		 Nincs	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 24 GB		
LENOVO IdeaPad U310 59-356263	184526 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,7 kg	 Nincs	 Windows 8	 Igen	 10/100MBps	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 24 GB		
LENOVO IdeaPad U410 59-349068	176806 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 24 GB		
LENOVO IdeaPad U410 59-349074	220044 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 610	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 24 GB		
LENOVO IdeaPad U410 59-349079 Piros	153529 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2377M 1.44GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 1,8 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad U410 59-356286	184526 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 1,8 kg	 Nincs	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 24 GB		
LENOVO IdeaPad U410 59-356288 Kék	172840 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 1,8 kg	 Nincs	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad U410 59-356299 Piros	157108 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2365M 1.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 1,8 kg	 Nincs	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad Y580 59-349166	188470 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GTX 660	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad Y580 59-349171	211663 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3610QM 2.30GHz	 6GB	 DDR3	 1000 GB	 NVIDIA GeForce GTX 660	 2,5 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad Y580 59-349175	232163 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3610QM 2.30GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GTX 660	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad Y580 59-349188	272066 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3630QM 2.40GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GTX 660	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar			 32 GB		
LENOVO IdeaPad Y580 59-349200	216403 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 6GB	 DDR3	 1000 GB	 NVIDIA GeForce GTX 660	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad Z580 59-348042 Fehér	155395 Ft	 15,4"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 8GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 630	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad Z580 59-348064	141873 Ft	 15,4"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 630	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad Z580A 59-348003	156730 Ft	 15,4"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 630	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad Z580A 59-348019	153176 Ft	 15,4"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 630		 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad Z580A 59-348059	146386 Ft	 15,4"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 630	 2,6 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad Z580G 59-334233	106379 Ft	 15,4"	 1366x768	 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics		 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad Z580G 59-354121	171025 Ft	 15,4"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 635		 DVD-RW	 Windows 8	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad Z580G 59-356325	138271 Ft	 15,4"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 635		 DVD-RW	 FreeDOS	 Igen	 10/100MBps	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO IdeaPad Z585A 59-348852	155395 Ft	 15,4"	 1366x768	 Igen	 AMD A8-4500M 1.90GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO IdeaPad Z585A 59-348854	132949 Ft	 15,4"	 1366x768	 Igen	 AMD A6-4400M 2.60GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,6 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
LENOVO ThinkPad Edge E130 NZU34HV	90965 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 977 1.40GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 1,47 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO ThinkPad Edge E130 NZU37HV	114290 Ft	 11,6"	 1366x768	 Igen	 Intel Core i3-2367M 1.40GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 1,47 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO ThinkPad Edge E135 NZV4RHV	86706 Ft	 11,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6310	 1,47 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO ThinkPad Edge E135 NZV63HV	90660 Ft	 11,6"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD7340	 1,47 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO ThinkPad Edge E330 NZS3KHV	101297 Ft	 13,3"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,74 kg	 Nincs	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO ThinkPad Edge E330 NZS3NHV	143455 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,74 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
LENOVO ThinkPad Edge E330 NZS3RHV	141873 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 610	 1,74 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar				 Intel HD Graphics 3000	
LENOVO ThinkPad Edge E330 NZT64HV	102526 Ft	 13,3"	 1366x768	 Igen	 AMD E2-1800 1.70GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7340	 2,36 kg	 Nincs	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar				 Intel HD Graphics 3000	
