TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Audio	LAN	WLAN	Modem	Portok	CR	Bill.	Egyéb	Állapot	Méret	Ajándék	2. Merevlemez mérete
HP 630 Notebook	116457 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2310M	2100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 3000	- MB	2.53 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új				
Toshiba Satellite L750D-1F3 Notebook	99921 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A4-3305M	1900 - 2500 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Mobility Radeon™ HD6480G	- MB	2.50 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS Pro, MMC, mini SD, micro SD, SDHC, SDXC	magyar	Webcamera	új	380 x 250 x 37 mm			
Asus X55U -SX003V Notebook	102283 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E-450	1650 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	AMD Radeon™ HD6320	- MB	2.45 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 26,2-31,9 mm			
Toshiba Satellite C660D-1H9 Notebook	103858 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E-450	1650 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Radeon™ HD6320	- MB	2.30 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth	SD, MMC, mini SD, micro SD, SDHC, SDXC	magyar	Webcamera	új	380 x 254 x 35 mm			
Lenovo ThinkPad Edge E525 Notebook	105433 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-3000M	1800 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Mobility Radeon™ HD6480G	- MB	2.36 Kg	1 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, Bluetooth, HDMI, eSATA		magyar	Webcamera, Ujjlenyomat olvasó	új				
Packard Bell EASYNOTE TS11-SB-452HG Notebook	106220 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD Dual Core processzor A4-3300	1900 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Mobility Radeon™ HD6470M	512 MB		1 év	6 cella	DVD SuperMulti	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS, MS Pro, MMC, XD	magyar	HD Webcamera	új				
Packard Bell EASYNOTE TS45-HR-455HG Notebook	107795 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2330M	2200 MHz	4096 MB	DDR3 1066MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 520M	1024 MB		1 év	6 cella	DVD SuperMulti	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS, MS Pro, MMC, XD	magyar	HD Webcamera	új				
Lenovo ThinkPad Edge E535 Notebook	113307 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A4-3300M	1900 - 2500 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ integrated graphics	- MB	2.36 Kg	1 év	6 cella	DVD+-RW	Android 2.2	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, VGA, Bluetooth, HDMI, eSATA	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Samsung NP300E5Z -A04HU Notebook	108583 Ft	15.60 inch	WXGA (1366x768) LED	Intel Pentium processzor B950	2100 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	Intel® GMA HD	- MB	2.34 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS Pro, MMC, XD	magyar	Webcamera	új	366.9 x 240 x 29.9 x 31.6 mm			
Toshiba Satellite C855-12X Notebook	109370 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Radeon™ HD 7610M	1024 MB	2.30 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MMC, mini SD, micro SD, SDHC, SDXC	magyar	HD Webcamera	új	380.0 x 242.0 x 33.52 mm			
