TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
ACER Aspire E1-571 notebook (fekete)	107000 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,5 kg	ACER Aspire E1-5xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire E series	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	253 mm	33 mm					Igen			65 W	5400 fordulat/perc						Igen							
ACER Aspire 5560 notebook (kék)	92039 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3305M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	1 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7480M	AMD	Radeon	dedikált (közép kategória)	0,5 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	ACER Aspire 5560 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 55xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	26 mm			0 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
HP Pavilion g6-1306sh Charcoal Grey notebook	106220 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A6-3420M	AMD	A6 Series	4	1,40 GHz	2,4 GHz	Igen	4 MB	0 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	750 GB	HDD			Radeon HD 7450M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,6 kg	HP Pavilion g6-1xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	374 mm	245 mm	30 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
HP 630 notebook (Renew*)	66850 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Celeron B800	Intel	Celeron	2	1,50 GHz	1,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	320 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	2,5 kg	HP 630/635 6-cell	6	47 Wh	Li-Ion	kiváló	DVD+/-RW DL LS	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP 63x series	belépő szint	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	247 mm	32 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc												Igen	
Packard Bell Easynote TS44 notebook (fehér)	106212 Ft	15.6" HD (1366x768) GlareType LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3300M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6510G2 / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	32 nm	11,0	5,0	4,1	2,7 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	PACKARD BELL Easynote TS	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	381 mm	253 mm	34 mm					Igen		Igen		5400 fordulat/perc						Igen							
Packard Bell Easynote TS13 notebook (piros)	106212 Ft	15.6" HD (1366x768) GlareType LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3300M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6480G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,1	2,6 kg	PACKARD BELL Easynote TS11 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	PACKARD BELL Easynote TS	belépő szint	otthoni		802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek				381 mm	253 mm	33 mm					Igen		Igen		5400 fordulat/perc													
ACER Aspire E1-531 notebook (fekete)	88102 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B960	Intel	Pentium	2	2,20 GHz	2,2 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	2,5 kg	ACER Aspire E1-5xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire E series	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	253 mm	33 mm					Igen			65 W	5400 fordulat/perc						Igen							
ACER V3-531G notebook (fekete)	103063 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B970	Intel	Pentium	2	2,30 GHz	2,3 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,5 kg	ACER Aspire V3-5xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER V3	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	33 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
LENOVO ThinkPad Edge E135 notebook	93614 Ft	11.6" HD (1366x768) AG LED	WXGA	11,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E-300	AMD	E-Series	2	1,30 GHz	1,3 GHz	Igen	1 MB	0 GB	Igen	40 nm	18 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6310	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	1,5 kg											FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	287 mm	212 mm	23 mm					Igen		Igen		5400 fordulat/perc													
ACER V3-531G notebook (szürke)	103063 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B970	Intel	Pentium	2	2,30 GHz	2,3 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce GT 630M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,5 kg	ACER Aspire V3-5xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER V3	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	33 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
HP Pavilion g6-1206eh Charcoal Grey notebook	102283 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2330M	Intel	Core i3	2	2,20 GHz	2,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6470M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	HP Pavilion g6-1xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	374 mm	245 mm	30 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
ASUS X53BR notebook (barna)	84960 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E-450	AMD	E-Series	2	1,66 GHz	1,3 GHz	Igen	1 MB	0 GB	Igen	40 nm	18 W			2GB DDR3	2 GB	DDR3	500 GB	HDD			Radeon HD 6320	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	2,6 kg	ASUS K53 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS K5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	253 mm	35 mm					Igen		Igen	65 W	5400 fordulat/perc						Igen							
HP 655 notebook	70779 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E1-1200	AMD	E-Series	2	1,40 GHz	1,4 GHz	Igen	1 MB	16 GB	Igen	40 nm	18 W	Igen		2GB DDR3	2 GB	DDR3	320 GB	HDD			Radeon HD 7310	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	2,5 kg	HP 650/655 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	HP 65x series	belépő szint	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	247 mm	36 mm					Igen		Igen	65 W	5400 fordulat/perc													
HP 635 notebook	70787 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E-450	AMD	E-Series	2	1,66 GHz	1,3 GHz	Igen	1 MB	0 GB	Igen	40 nm	18 W			2GB DDR3	2 GB	DDR3	320 GB	HDD			Radeon HD 6320	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	2,5 kg	HP 630/635 6-cell	6	47 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	HP 63x series	belépő szint	üzleti	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	247 mm	32 mm			0 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
TOSHIBA Satellite C855 notebook (fekete)	100701 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B950	Intel	Pentium	2	2,10 GHz	2,1 GHz	Igen	2 MB	8 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 7610M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,3 kg	TOSHIBA Satellite C855 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite C	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	380 mm	242 mm	34 mm			1 db USB3		Igen		Igen	75 W	5400 fordulat/perc						Igen							
TOSHIBA Satellite C660D notebook	99126 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E-450	AMD	E-Series	2	1,66 GHz	1,3 GHz	Igen	1 MB	0 GB	Igen	40 nm	18 W			4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6320	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	2,5 kg	TOSHIBA Satellite C660 6-cell	6	55 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite C	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	2 db USB	Igen		Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	381 mm	254 mm	28 mm			0 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
HP Pavilion g6-1307sh Charcoal Grey notebook	94401 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD Graphics (Sandy Bridge)	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,6 kg	HP Pavilion g6-1xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	374 mm	245 mm	30 mm			0 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
ASUS X54C notebook	70787 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Celeron B815	Intel	Celeron	2	1,60 GHz	1,6 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	320 GB	HDD	250 GB	HDD	GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,6 kg	ASUS X54 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS X5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	253 mm	36 mm			0 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen	Igen						
ACER Aspire 7250G notebook	98338 Ft	17.3" HD+ (1600x900) CrystalBright LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		AMD E-450	AMD	E-Series	2	1,66 GHz	1,3 GHz	Igen	1 MB	0 GB	Igen	40 nm	18 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7470M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	3,3 kg	ACER Aspire 7250 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 72xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	415 mm	275 mm	27 mm					Igen		Igen	65 W	5400 fordulat/perc						Igen							
ACER Aspire 5750ZG notebook (fekete)	98338 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B950	Intel	Pentium	2	2,10 GHz	2,1 GHz	Igen	2 MB	8 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 520M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,2	2,6 kg	ACER Aspire 5750 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 57xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	26 mm			1 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
HP 655 notebook (akciós*)	66929 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E1-1200	AMD	E-Series	2	1,40 GHz	1,4 GHz	Igen	1 MB	16 GB	Igen	40 nm	18 W	Igen		2GB DDR3	2 GB	DDR3	320 GB	HDD			Radeon HD 7310	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	2,5 kg	HP 650/655 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP 65x series	belépő szint	üzleti	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	247 mm	36 mm					Igen		Igen	65 W	5400 fordulat/perc													
ASUS X301A notebook (fehér)	96764 Ft	13.3" HD (1366x768) ColorShine LED	WXGA	13,3 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B980	Intel	Pentium	2	2,40 GHz	2,4 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			2GB DDR3	2 GB	DDR3	320 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	1,7 kg	ASUS X301 6-cell	6	47 Wh	Li-Ion	normál						FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS X3xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	331 mm	226 mm	27 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
ASUS U82U notebook	95976 Ft																																																																																																						
ACER Aspire 5560G notebook (piros)	95976 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3305M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	1 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7470M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,6 kg	ACER Aspire 5560 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 55xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	26 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
ACER Aspire 5750Z notebook (fekete)	95976 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B960	Intel	Pentium	2	2,20 GHz	2,2 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	750 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	2,6 kg	ACER Aspire 5750 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 57xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	26 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
TOSHIBA Satellite L750D notebook (szürke)	94409 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3305M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	1 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6480G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,1	2,5 kg	TOSHIBA Satellite L750 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite L	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen		3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	380 mm	250 mm	28 mm			0 db USB3				Igen	75 W	5400 fordulat/perc						Igen							
HP Pavilion g6-1211eh Charcoal Grey notebook	90472 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3300M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6510G2 / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	32 nm	11,0	5,0	4,1	2,6 kg	HP Pavilion g6-1xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	374 mm	245 mm	30 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
